category,kegg_drug,pubchem_cid,ligand_title,kegg_target,uniprot_id,target_uniprot_count,target_yamanishi_degree,ligand_yamanishi_degree,label,ligand_MolecularWeight,ligand_MonoisotopicMass,ligand_TPSA,ligand_Complexity,ligand_Charge,ligand_HBondDonorCount,ligand_HBondAcceptorCount,ligand_RotatableBondCount,ligand_HeavyAtomCount,ligand_IsotopeAtomCount,ligand_AtomStereoCount,ligand_DefinedAtomStereoCount,ligand_UndefinedAtomStereoCount,ligand_BondStereoCount,ligand_DefinedBondStereoCount,ligand_UndefinedBondStereoCount,ligand_CovalentUnitCount,ligand_Volume3D,ligand_FeatureCount3D,ligand_FeatureAcceptorCount3D,ligand_FeatureDonorCount3D,ligand_FeatureAnionCount3D,ligand_FeatureCationCount3D,ligand_FeatureRingCount3D,ligand_FeatureHydrophobeCount3D,ligand_ConformerModelRMSD3D,ligand_EffectiveRotorCount3D,ligand_ConformerCount3D,ligand_XLogP,ligand_MW,target_length,target_mass,target_degree_up,affinity,rank,total,inverted_rank,proportion
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:126,P00326,1,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,375,39868,1,-11.8248,1,20,19,0.05
enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:191,P23526,2,1,37,1,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,-5.9,664.4,432,47716,3,-12.2837,10,20,10,0.5
enzyme,D00050,493570,Riboflavin,hsa:55312,Q969G6,2,1,2,1,376.4,376.1382844,155,680,0,5,7,5,27,0,3,3,0,0,0,0,1,273,16,7,6,0,0,3,0,0.8,5,10,-1.5,376.4,155,17623,3,-11.0514,19,20,1,0.95
enzyme,D00055,967,Orotic Acid,hsa:1723,Q02127,1,2,1,1,156.1,156.0171066,95.5,268,0,3,4,1,11,0,0,0,0,0,0,0,1,106.5,8,4,2,1,0,1,0,0.4,1,2,-1.4,156.1,395,42867,2,-7.5378,17,20,3,0.85
enzyme,D00097,338,Salicylic Acid,hsa:3551,O14920,1,3,11,1,138.12,138.031694,57.5,133,0,2,3,1,10,0,0,0,0,0,0,0,1,105.1,5,2,1,1,0,1,0,0.4,1,3,2.3,138.12,756,86564,25,-7.2763,11,20,9,0.55
enzyme,D00097,338,Salicylic Acid,hsa:4353,P05164,1,5,11,1,138.12,138.031694,57.5,133,0,2,3,1,10,0,0,0,0,0,0,0,1,105.1,5,2,1,1,0,1,0,0.4,1,3,2.3,138.12,745,83869,3,-7.4258,14,20,6,0.7
enzyme,D00118,156391,Naproxen,hsa:4048,P09960,2,8,8,1,230.26,230.0942943,46.5,277,0,1,3,3,17,0,1,1,0,0,0,0,1,183.5,7,3,0,1,0,2,1,0.6,3,10,3.3,230.26,611,69285,1,-10.0563,18,20,2,0.9
enzyme,D00126,3672,"Ibuprofen, (+-)-",hsa:4048,P09960,2,8,8,1,206.28,206.1306798,37.3,203,0,1,2,4,15,0,1,0,1,0,0,0,1,172.2,6,2,0,1,0,1,2,0.6,4,8,3.5,206.28,611,69285,1,-8.8581,11,20,9,0.55
enzyme,D00139,4114,8-Methoxypsoralen,hsa:1544,P05177,1,24,43,1,216.19,216.0422587,48.7,325,0,0,4,1,16,0,0,0,0,0,0,0,1,163.1,6,3,0,0,0,3,0,0.6,1,1,1.9,216.19,516,58407,1,-9.5235,17,20,3,0.85
enzyme,D00139,4114,8-Methoxypsoralen,hsa:1545,Q16678,2,18,43,1,216.19,216.0422587,48.7,325,0,0,4,1,16,0,0,0,0,0,0,0,1,163.1,6,3,0,0,0,3,0,0.6,1,1,1.9,216.19,543,60846,1,-10.1071,19,20,1,0.95
enzyme,D00217,1983,Acetaminophen,hsa:1543,P04798,2,19,17,1,151.16,151.0633285,49.3,139,0,2,2,1,11,0,0,0,0,0,0,0,1,120.2,4,1,2,0,0,1,0,0.4,2,2,0.5,151.16,512,58165,2,-7.4373,17,20,3,0.85
enzyme,D00217,1983,Acetaminophen,hsa:4353,P05164,1,5,17,1,151.16,151.0633285,49.3,139,0,2,2,1,11,0,0,0,0,0,0,0,1,120.2,4,1,2,0,0,1,0,0.4,2,2,0.5,151.16,745,83869,3,-7.3502,15,20,5,0.75
enzyme,D00380,5505,Tolbutamide,hsa:1543,P04798,2,19,44,1,270.35,270.1038136,83.7,354,0,2,3,5,18,0,0,0,0,0,0,0,1,207,7,3,2,0,0,1,1,0.8,7,10,2.3,270.35,512,58165,2,-8.7413,4,20,16,0.2
enzyme,D00417,4197,Milrinone,hsa:5144,Q08499,2,20,47,1,211.22,211.0745619,65.8,419,0,1,3,1,16,0,0,0,0,0,0,0,1,166.2,6,3,1,0,0,2,0,0.6,1,1,0,211.22,809,91115,12,-9.8783,19,20,1,0.95
enzyme,D00418,4201,Minoxidil,hsa:6799,P50226,1,2,1,1,209.25,209.1276601,88.9,329,0,3,3,1,15,0,0,0,0,0,0,0,1,154.3,6,0,2,0,2,2,0,0.6,2.2,4,1.2,209.25,295,34310,1,-8.3476,7,20,13,0.35
enzyme,D00501,4740,Pentoxifylline,hsa:5142,Q07343,2,20,52,1,278.31,278.1378905,75.5,426,0,0,4,5,20,0,0,0,0,0,0,0,1,214.1,6,3,0,0,1,2,0,0.8,5,10,0.3,278.31,736,83343,2,-8.333,3,20,17,0.15
enzyme,D00518,3038,Dichlorphenamide,hsa:771,O43570,1,10,13,1,305.2,303.9146044,137,452,0,2,6,2,16,0,0,0,0,0,0,0,1,187.1,7,4,2,0,0,1,0,0.6,2,4,0.3,305.2,354,39451,0,-7.9269,4,20,16,0.2
enzyme,D00528,2519,Caffeine,hsa:1543,P04798,2,19,89,1,194.19,194.0803756,58.4,293,0,0,3,0,14,0,0,0,0,0,0,0,1,143.9,5,2,0,0,1,2,0,0.4,0,1,-0.1,194.19,512,58165,2,-7.414,11,20,9,0.55
enzyme,D00528,2519,Caffeine,hsa:1544,P05177,1,24,89,1,194.19,194.0803756,58.4,293,0,0,3,0,14,0,0,0,0,0,0,0,1,143.9,5,2,0,0,1,2,0,0.4,0,1,-0.1,194.19,516,58407,1,-7.3846,10,20,10,0.5
enzyme,D00528,2519,Caffeine,hsa:1545,Q16678,2,18,89,1,194.19,194.0803756,58.4,293,0,0,3,0,14,0,0,0,0,0,0,0,1,143.9,5,2,0,0,1,2,0,0.4,0,1,-0.1,194.19,543,60846,1,-7.9814,19,20,1,0.95
enzyme,D00569,4754,Phenacetin,hsa:1543,P04798,2,19,2,1,179.22,179.0946287,38.3,162,0,1,2,3,13,0,0,0,0,0,0,0,1,145.6,4,2,1,0,0,1,0,0.6,4,8,1.6,179.22,512,58165,2,-7.4598,15,20,5,0.75
enzyme,D00670,5741,Donepezil Hydrochloride,hsa:590,P06276,1,11,2,1,416,415.1914215,38.8,510,0,1,4,6,29,0,1,0,1,0,0,0,2,,,,,,,,,,,0,,416,602,68418,11,-10.9087,5,20,15,0.25
enzyme,D00771,2733,Chlorzoxazone,hsa:1543,P04798,2,19,4,1,169.56,168.9930561,38.3,185,0,1,2,0,11,0,0,0,0,0,0,0,1,118.7,4,1,1,0,0,2,0,0.4,0,1,1.8,169.56,512,58165,2,-7.4157,5,20,15,0.25
enzyme,D00813,84003,Ketorolac Tromethamine,hsa:5742,P23219,1,61,2,1,376.4,376.1634365,146,430,0,5,7,6,27,0,1,0,1,0,0,0,2,,,,,,,,,,,0,,376.4,599,68686,4,-11.4214,10,20,10,0.5
enzyme,D00947,441401,Linezolid,hsa:4128,P21397,3,19,1,1,337.35,337.1437843,71.1,472,0,1,6,4,24,0,1,1,0,0,0,0,1,252.6,8,3,1,0,1,3,0,0.8,7,10,0.7,337.35,527,59682,1,-10.4058,16,20,4,0.8
enzyme,D01425,151114,Exatecan Mesylate,hsa:1543,P04798,2,19,24,1,567.6,567.1686789,171,1040,0,5,12,1,39,0,2,2,0,0,0,0,4,,,,,,,,,,,0,,567.6,512,58165,2,-14.6101,5,20,15,0.25
enzyme,D01425,151114,Exatecan Mesylate,hsa:1545,Q16678,2,18,24,1,567.6,567.1686789,171,1040,0,5,12,1,39,0,2,2,0,0,0,0,4,,,,,,,,,,,0,,567.6,543,60846,1,-14.5107,4,20,16,0.2
enzyme,D01966,150311,Ezetimibe,hsa:8435,O75908,1,4,2,1,409.4,409.1489499,60.8,567,0,2,5,6,30,0,3,3,0,0,0,0,1,316.6,8,2,2,0,0,4,0,0.8,6.6,10,4,409.4,522,59896,1,-11.3218,7,20,13,0.35
enzyme,D02560,44571,Brofaromine,hsa:4129,P27338,1,20,2,1,310.19,309.03644,34.4,283,0,1,3,2,18,0,0,0,0,0,0,0,1,206.8,8,2,1,0,1,3,1,0.6,3.2,10,3.1,310.19,520,58763,20,-8.991,1,20,19,0.05
enzyme,D02561,4235,Moclobemide,hsa:4128,P21397,3,19,2,1,268.74,268.0978555,41.6,262,0,1,3,4,18,0,0,0,0,0,0,0,1,203.7,6,2,1,0,1,2,0,0.8,6.2,10,1.5,268.74,527,59682,1,-8.9079,16,20,4,0.8
enzyme,D02561,4235,Moclobemide,hsa:4129,P27338,1,20,2,1,268.74,268.0978555,41.6,262,0,1,3,4,18,0,0,0,0,0,0,0,1,203.7,6,2,1,0,1,2,0,0.8,6.2,10,1.5,268.74,520,58763,20,-8.9473,19,20,1,0.95
enzyme,D02563,60824,Befloxatone,hsa:4128,P21397,3,19,2,1,349.3,349.1137072,68.2,412,0,1,8,7,24,0,2,2,0,0,0,0,1,251.5,7,4,1,0,0,2,0,1,8.8,10,2.2,349.3,527,59682,1,-9.1257,12,20,8,0.6
enzyme,D02563,60824,Befloxatone,hsa:4129,P27338,1,20,2,1,349.3,349.1137072,68.2,412,0,1,8,7,24,0,2,2,0,0,0,0,1,251.5,7,4,1,0,0,2,0,1,8.8,10,2.2,349.3,520,58763,20,-9.3747,17,20,3,0.85
enzyme,D02581,52542,Cimoxatone,hsa:4129,P27338,1,20,2,1,338.4,338.1266571,71.8,495,0,0,5,6,25,0,1,0,1,0,0,0,1,264.4,7,4,0,0,0,3,0,0.8,6.8,10,2.6,338.4,520,58763,20,-10.5043,15,20,5,0.75
enzyme,D03012,166558,Avasimibe,hsa:8435,O75908,1,4,2,1,501.7,501.29128,80.9,734,0,1,4,10,35,0,0,0,0,0,0,0,1,407.8,11,3,1,0,0,2,5,1.2,11,10,8.2,501.7,522,59896,1,-10.5743,15,20,5,0.75
gpcr,D00113,174174,Npc209773,hsa:1129,P08172,4,21,5,1,289.4,289.1677936,49.8,353,0,1,4,5,21,0,3,2,1,0,0,0,1,228.6,6,2,1,0,1,2,0,0.8,6.2,10,1.8,289.4,466,51715,0,-9.5836,17,20,3,0.85
gpcr,D00136,3559,Haloperidol,hsa:1813,P14416,1,22,4,1,375.9,375.1401348,40.5,451,0,1,4,6,26,0,0,0,0,0,0,0,1,289.9,7,2,1,0,1,3,0,0.8,7.2,10,3.2,375.9,443,50619,3,-10.9739,3,20,17,0.15
gpcr,D00306,16078,Tetrahydrocannabinol,hsa:1268,P21554,1,1,1,1,314.5,314.2245802,29.5,439,0,1,2,4,23,0,2,2,0,0,0,0,1,260.6,8,1,1,0,0,3,3,0.8,4.8,10,7,314.5,472,52858,2,-11.1799,19,20,1,0.95
gpcr,D00380,5505,Tolbutamide,hsa:3577,P25024,1,10,1,1,270.35,270.1038136,83.7,354,0,2,3,5,18,0,0,0,0,0,0,0,1,207,7,3,2,0,0,1,1,0.8,7,10,2.3,270.35,350,39791,4,-9.0748,18,20,2,0.9
gpcr,D00397,5593,Tropicamide,hsa:1132,P08173,1,8,3,1,284.35,284.1524779,53.4,310,0,1,3,6,21,0,1,0,1,0,0,0,1,229,6,3,1,0,0,2,0,0.8,7,10,1.5,284.35,479,53049,0,-8.7085,7,20,13,0.35
gpcr,D00432,39147,Nadolol,hsa:153,P08588,1,31,3,1,309.4,309.1940083,82,344,0,4,5,6,22,0,3,2,1,0,0,0,1,244.5,12,4,4,0,1,2,1,0.8,6.8,10,0.7,309.4,477,51224,5,-8.9923,7,20,13,0.35
gpcr,D00598,107952,Betaxolol Hydrochloride,hsa:154,P07550,2,35,2,1,343.9,343.1914215,50.7,286,0,3,4,11,23,0,1,0,1,0,0,0,2,,,,,,,,,,,0,,343.9,413,46459,24,-8.5435,7,20,13,0.35
gpcr,D00779,2381,Biperiden,hsa:1129,P08172,4,21,2,1,311.5,311.2249145,23.5,422,0,1,2,5,23,0,4,0,4,0,0,0,1,257.2,6,1,1,0,1,3,0,0.8,6.8,10,4.3,311.5,466,51715,0,-9.9545,7,20,13,0.35
gpcr,D02340,3964,Loxapine,hsa:3356,P28223,1,19,3,1,327.8,327.1138399,28.1,450,0,0,3,1,23,0,0,0,0,0,0,0,1,247.6,7,1,0,0,2,4,0,0.6,2.4,8,3.1,327.8,471,52603,6,-10.7321,17,20,3,0.85
ion_channel,D00332,3446,Gabapentin,hsa:781,P54289,1,12,46,1,171.24,171.1259288,63.3,162,0,2,3,3,12,0,0,0,0,0,0,0,1,134.8,6,2,1,1,1,1,0,0.6,4.2,10,-1.1,171.24,1103,124568,0,-7.2111,18,20,2,0.9
ion_channel,D00512,1775,Phenytoin,hsa:777,Q15878,2,10,45,1,252.27,252.0898776,58.2,350,0,2,2,2,19,0,0,0,0,0,0,0,1,197.2,7,2,2,0,0,3,0,0.6,2.6,3,2.5,252.27,2313,261731,0,-10.1078,9,20,11,0.45
ion_channel,D00542,3562,Halothane,hsa:781,P54289,1,12,34,1,197.38,195.89022,0,60,0,0,3,0,7,0,1,0,1,0,0,0,1,89.9,1,0,0,0,0,0,1,0.4,1,2,2.3,197.38,1103,124568,0,-5.3084,5,20,15,0.25
