kegg_drug,pubchem_sid,pubchem_cid
D00002,7847070,5893
D00005,7847073,643975
D00007,7847075,33032
D00014,7847082,124886
D00018,7847086,54670067
D00021,7847089,6140
D00027,7847095,1174
D00029,7847097,171548
D00032,7847100,6274
D00035,7847103,145742
D00036,7847104,936
D00037,7847105,311
D00038,7847106,243
D00039,7847107,6287
D00040,7847108,5997
D00041,7847109,6288
D00043,7847111,5936
D00045,7847113,60961
D00049,7847117,938
D00050,7847118,493570
D00052,7847120,6049
D00054,7847122,135398641
D00055,7847123,967
D00059,7847127,6047
D00065,7847133,6306
D00066,7847134,5994
D00067,7847135,5870
D00070,7847138,135398658
D00075,7847143,6013
D00079,7847147,5280360
D00086,7847154,864
D00088,7847156,5754
D00094,7847162,444795
D00095,7847163,5816
D00097,7847165,338
D00103,7847171,444305
D00105,7847173,5757
D00106,7847174,5280427
D00107,7847175,5282315
D00109,7847177,2244
D00110,7847178,122142
D00113,7847181,174174
D00118,7847186,156391
D00120,7847188,1548887
D00125,7847193,36462
D00126,7847194,3672
D00127,7847195,54676228
D00129,7847197,5280453
D00130,7847198,3059
D00131,7847199,3117
D00132,7847200,3825
D00136,7847204,3559
D00139,7847207,4114
D00141,7847209,3715
D00142,7847210,126941
D00143,7847211,8955
D00145,7847213,5578
D00148,7847216,5280483
D00151,7847219,4044
D00153,7847221,13769
D00155,7847223,439693
D00158,7847226,23677829
D00160,7847228,564
D00163,7847231,10133
D00168,7847236,6253
D00169,7847237,23663959
D00180,7847248,5280723
D00182,7847250,6230
D00183,7847251,4421
D00184,7847252,5280754
D00185,7847253,5756
D00186,7847254,2764
D00187,7847255,5280793
D00188,7847256,5280795
D00195,7847263,5362471
D00196,7847264,5983
D00198,7847266,5280954
D00203,7847271,5280965
D00208,7847275,5746
D00211,7847278,135398735
D00216,7847283,41774
D00217,7847284,1983
D00218,7847285,1986
D00219,7847286,1989
D00222,7847289,135398513
D00224,7847291,135401907
D00225,7847292,2118
D00227,7847294,9433
D00228,7847295,2170
D00231,7847298,3698
D00232,7847299,657201
D00234,7847301,2247
D00235,7847302,2249
D00241,7847307,2284
D00246,7847312,5281004
D00251,7847317,44093
D00252,7847318,2554
D00255,7847321,2585
D00270,7847336,2726
D00274,7847340,2769
D00279,7847345,2796
D00281,7847347,2803
D00283,7847349,135398737
D00285,7847351,358641
D00293,7847359,3016
D00294,7847360,3019
D00295,7847361,2756
D00298,7847364,2724385
D00299,7847365,5311071
D00300,7847366,3100
D00301,7847367,23724775
D00303,7847369,3114
D00306,7847372,16078
D00312,7847378,23667301
D00315,7847381,3308
D00316,7847382,5282375
D00317,7847383,3324
D00318,7847384,5702160
D00319,7847385,3333
D00322,7847388,3365
D00324,7847390,11954221
D00325,7847391,9642
D00326,7847392,3386
D00327,7847393,6446
D00328,7847394,15209
D00329,7847395,3393
D00330,7847396,3394
D00331,7847397,3440
D00332,7847398,3446
D00333,7847399,135398740
D00335,7847401,3478
D00336,7847402,3488
D00338,7847404,31640
D00340,7847406,3639
D00342,7847408,5905
D00345,7847411,3702
D00348,7847414,5282379
D00349,7847415,3784
