dr:D00001	pubchem:7847069
dr:D00002	pubchem:7847070
dr:D00003	pubchem:7847071
dr:D00004	pubchem:7847072
dr:D00005	pubchem:7847073
dr:D00006	pubchem:7847074
dr:D00007	pubchem:7847075
dr:D00008	pubchem:7847076
dr:D00009	pubchem:7847077
dr:D00010	pubchem:7847078
dr:D00011	pubchem:7847079
dr:D00012	pubchem:7847080
dr:D00013	pubchem:7847081
dr:D00014	pubchem:7847082
dr:D00015	pubchem:7847083
dr:D00016	pubchem:7847084
dr:D00017	pubchem:7847085
dr:D00018	pubchem:7847086
dr:D00019	pubchem:7847087
dr:D00020	pubchem:7847088
dr:D00021	pubchem:7847089
dr:D00022	pubchem:7847090
dr:D00023	pubchem:7847091
dr:D00024	pubchem:7847092
dr:D00025	pubchem:7847093
dr:D00026	pubchem:7847094
dr:D00027	pubchem:7847095
dr:D00028	pubchem:7847096
dr:D00029	pubchem:7847097
dr:D00030	pubchem:7847098
dr:D00031	pubchem:7847099
dr:D00032	pubchem:7847100
dr:D00033	pubchem:7847101
dr:D00034	pubchem:7847102
dr:D00035	pubchem:7847103
dr:D00036	pubchem:7847104
dr:D00037	pubchem:7847105
dr:D00038	pubchem:7847106
dr:D00039	pubchem:7847107
dr:D00040	pubchem:7847108
dr:D00041	pubchem:7847109
dr:D00042	pubchem:7847110
dr:D00043	pubchem:7847111
dr:D00044	pubchem:7847112
dr:D00045	pubchem:7847113
dr:D00046	pubchem:7847114
dr:D00047	pubchem:7847115
dr:D00048	pubchem:7847116
dr:D00049	pubchem:7847117
dr:D00050	pubchem:7847118
dr:D00051	pubchem:7847119
dr:D00052	pubchem:7847120
dr:D00054	pubchem:7847122
dr:D00055	pubchem:7847123
dr:D00056	pubchem:7847124
dr:D00057	pubchem:7847125
dr:D00058	pubchem:7847126
dr:D00059	pubchem:7847127
dr:D00060	pubchem:7847128
dr:D00061	pubchem:7847129
dr:D00062	pubchem:7847130
dr:D00063	pubchem:7847131
dr:D00064	pubchem:7847132
dr:D00065	pubchem:7847133
dr:D00066	pubchem:7847134
dr:D00067	pubchem:7847135
dr:D00068	pubchem:7847136
dr:D00069	pubchem:7847137
dr:D00070	pubchem:7847138
dr:D00071	pubchem:7847139
dr:D00072	pubchem:7847140
dr:D00073	pubchem:7847141
dr:D00074	pubchem:7847142
dr:D00075	pubchem:7847143
dr:D00076	pubchem:7847144
dr:D00077	pubchem:7847145
dr:D00078	pubchem:7847146
dr:D00079	pubchem:7847147
dr:D00080	pubchem:7847148
dr:D00081	pubchem:7847149
dr:D00082	pubchem:7847150
dr:D00083	pubchem:7847151
dr:D00084	pubchem:7847152
dr:D00085	pubchem:7847153
dr:D00086	pubchem:7847154
dr:D00087	pubchem:7847155
dr:D00088	pubchem:7847156
dr:D00089	pubchem:7847157
dr:D00090	pubchem:7847158
dr:D00091	pubchem:7847159
dr:D00092	pubchem:7847160
dr:D00093	pubchem:7847161
dr:D00094	pubchem:7847162
dr:D00095	pubchem:7847163
dr:D00096	pubchem:7847164
dr:D00097	pubchem:7847165
dr:D00098	pubchem:7847166
dr:D00099	pubchem:7847167
dr:D00100	pubchem:7847168
dr:D00101	pubchem:7847169
dr:D00102	pubchem:7847170
dr:D00103	pubchem:7847171
dr:D00104	pubchem:7847172
dr:D00105	pubchem:7847173
dr:D00106	pubchem:7847174
dr:D00107	pubchem:7847175
dr:D00108	pubchem:7847176
dr:D00109	pubchem:7847177
dr:D00110	pubchem:7847178
dr:D00111	pubchem:7847179
dr:D00112	pubchem:7847180
dr:D00113	pubchem:7847181
dr:D00114	pubchem:7847182
dr:D00115	pubchem:7847183
dr:D00116	pubchem:7847184
dr:D00117	pubchem:7847185
dr:D00118	pubchem:7847186
dr:D00119	pubchem:7847187
dr:D00120	pubchem:7847188
dr:D00121	pubchem:7847189
dr:D00122	pubchem:7847190
dr:D00123	pubchem:7847191
dr:D00124	pubchem:7847192
dr:D00125	pubchem:7847193
dr:D00126	pubchem:7847194
dr:D00127	pubchem:7847195
dr:D00128	pubchem:7847196
dr:D00129	pubchem:7847197
dr:D00130	pubchem:7847198
dr:D00131	pubchem:7847199
dr:D00132	pubchem:7847200
dr:D00133	pubchem:7847201
dr:D00134	pubchem:7847202
dr:D00135	pubchem:7847203
dr:D00136	pubchem:7847204
dr:D00137	pubchem:7847205
dr:D00138	pubchem:7847206
dr:D00139	pubchem:7847207
dr:D00140	pubchem:7847208
dr:D00141	pubchem:7847209
dr:D00142	pubchem:7847210
dr:D00143	pubchem:7847211
dr:D00144	pubchem:7847212
dr:D00145	pubchem:7847213
dr:D00146	pubchem:7847214
dr:D00147	pubchem:7847215
dr:D00148	pubchem:7847216
dr:D00149	pubchem:7847217
dr:D00150	pubchem:7847218
dr:D00151	pubchem:7847219
dr:D00152	pubchem:7847220
