CID,MolecularWeight,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,Volume3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,ConformerModelRMSD3D,EffectiveRotorCount3D,ConformerCount3D,Title,XLogP,XLogP_Source,Status,Formula,MW
7,163.18,163.0857953,69.6,162,0,1,4,1,12,0,0,0,0,0,0,0,1,121,7,0,1,0,4,2,0,0.4,1,4,9-Ethyladenine,0.2,PubChem XLogP,OK,C7H9N5,163.18
243,122.12,122.0367794,37.3,103,0,1,2,1,9,0,0,0,0,0,0,0,1,98.2,4,2,0,1,0,1,0,0.4,1,2,Benzoic Acid,1.9,PubChem XLogP,OK,C7H6O2,122.12
311,192.12,192.0270026,132,227,0,4,7,5,13,0,0,0,0,0,0,0,1,132.7,11,7,1,3,0,0,0,0.6,5,10,Citric Acid,-1.7,PubChem XLogP,OK,C6H8O7,192.12
338,138.12,138.031694,57.5,133,0,2,3,1,10,0,0,0,0,0,0,0,1,105.1,5,2,1,1,0,1,0,0.4,1,3,Salicylic Acid,2.3,PubChem XLogP,OK,C7H6O3,138.12
564,131.17,131.0946287,63.3,83,0,2,3,5,9,0,0,0,0,0,0,0,1,108.3,6,2,1,1,1,0,1,0.6,5,10,6-Aminohexanoic Acid,-3,PubChem XLogP,OK,C6H13NO2,131.17
864,206.3,206.043522,87.9,150,0,1,4,5,12,0,1,0,1,0,0,0,1,155.6,5,2,0,1,0,1,1,0.6,6,10,alpha Lipoic acid,1.7,PubChem XLogP,OK,C8H14O2S2,206.3
876,149.21,149.0510498,88.6,97,0,2,4,4,9,0,1,0,1,0,0,0,1,113.8,6,2,1,1,1,0,1,0.6,4,10,(+-)-Methionine,-1.9,PubChem XLogP,OK,C5H11NO2S,149.21
936,122.12,122.0480128,56,114,0,1,2,1,9,0,0,0,0,0,0,0,1,95.2,4,2,1,0,0,1,0,0.4,1,2,Nicotinamide,-0.4,PubChem XLogP,OK,C6H6N2O,122.12
938,123.11,123.0320284,50.2,114,0,1,3,1,9,0,0,0,0,0,0,0,1,94.6,5,3,0,1,0,1,0,0.4,1,2,Nicotinic Acid,0.4,PubChem XLogP,OK,C6H5NO2,123.11
967,156.1,156.0171066,95.5,268,0,3,4,1,11,0,0,0,0,0,0,0,1,106.5,8,4,2,1,0,1,0,0.4,1,2,Orotic Acid,-1.4,PubChem XLogP,OK,C5H4N2O4,156.1
