pubchem_cid,ranked_uniprots,supported_hits,sampled_unsupported_hits
10133,7523,1,300
104152,7474,0,300
10429215,7623,5,300
10457278,6769,1,300
104741,7344,2,300
10547,7336,2,300
10649,7514,2,300
10660,7281,1,300
107706,7381,1,300
107807,7388,1,300
107952,7472,2,300
107979,7618,1,300
107994,7380,1,300
108173,7540,3,300
10917,7482,1,300
110635,7456,13,300
11065,7579,1,300
11224,7384,2,300
115366,7311,1,300
11693,7573,2,300
1174,7544,1,300
119442,6847,1,300
11954253,7622,2,300
11954363,7621,1,300
11954368,6528,1,300
119607,7403,2,300
119828,7393,2,300
121586,7402,1,300
121587,7401,6,300
122142,7534,7,300
122824,7230,2,300
123596,6273,3,300
123619,7400,2,300
123631,7206,43,860
124886,7392,2,300
126941,7262,19,380
129791,7460,2,300
13109,7532,2,300
13221,7373,5,300
132228,7531,1,300
13290219,7623,11,300
133264,7472,1,300
1349907,7545,2,300
135398513,7409,1,300
135398641,7403,1,300
135398658,7355,1,300
135398735,7040,1,300
135398737,7402,25,500
135398740,7406,1,300
135398741,7302,1,300
135398745,7403,19,380
135398748,7327,1,300
135400182,7189,1,300
135401907,7482,1,300
135403648,7257,0,300
135409453,7464,1,300
135413520,5690,1,300
135413523,7094,12,300
135462830,6652,1,300
13769,7581,1,300
145742,7482,3,300
14677,7534,1,300
150311,7384,4,300
151114,6817,15,300
151166,7331,2,300
151170,7467,1,300
15130,7532,1,300
15209,7454,1,300
1547484,7578,2,300
1548887,7396,3,300
1549008,7581,1,300
1549120,7407,1,300
156391,7538,15,300
156422,7348,2,300
156665,7284,3,300
157313,7173,20,400
157838,7211,1,300
157920,7459,0,300
15851,7474,6,300
158550,7065,3,300
158781,7275,1,300
15895902,7617,1,300
159271,7318,2,300
159324,7277,2,300
160024,7471,1,300
16078,7532,1,300
1613,7217,1,300
16362,7375,17,340
163727,7411,2,300
166558,7448,2,300
16759173,6867,1,300
1676,7415,0,300
16760658,7622,2,300
170321,7311,2,300
171548,7412,3,300
174174,7472,5,300
176871,6967,46,920
1775,7534,30,600
185462,7623,21,420
189729,7283,2,300
190816,7303,1,300
1967,7531,1,300
1978,7461,2,300
1981,7385,2,300
1983,7479,12,300
1986,7417,11,300
1989,7471,1,300
20179,7478,3,300
20279,7246,1,300
204101,7153,1,300
2083,7534,1,300
208850,7427,2,300
208910,7532,2,300
2097,7478,2,300
2118,7474,34,680
2145,7536,27,540
21467,7290,3,300
2153,7479,13,300
2157,7455,1,300
2161,7397,1,300
216322,7257,1,300
216457,7443,2,300
2170,7326,1,300
2176,7287,2,300
2179,7385,2,300
21850,7328,2,300
2187,7532,17,340
2244,7544,8,300
2247,7281,5,300
2249,7470,2,300
22502,7213,3,300
2266,7544,2,300
2284,7416,1,300
229455,7576,1,300
2315,7385,4,300
2329,7450,6,300
2337,7544,10,300
2343,7304,4,300
23663959,7622,2,300
23663992,7277,1,300
23667301,7393,1,300
23667962,6696,0,300
23669229,7622,5,300
23675769,7622,2,300
23678981,6562,1,300
23679527,7343,1,300
23681059,7621,2,300
23683779,7623,1,300
23706210,7406,1,300
23724775,7066,1,300
23724780,7381,1,300
23724898,7206,4,300
2375,7211,1,300
2381,7532,3,300
2405,7471,3,300
24244,7054,1,300
243,7544,2,300
247839,7532,1,300
2479,7541,1,300
2482,7541,1,300
2519,7544,64,1280
2520,7454,56,1120
2541,7281,1,300
2554,7475,9,300
2585,7454,4,300
259331,7386,2,300
2662,7225,22,440
26757,7582,1,300
26758,7581,2,300
27072,7407,5,300
2720,7331,12,300
2724385,7424,1,300
2726,7474,10,300
2733,7482,4,300
