Method,Class Prior,selection,selected_rows,supported_fraction,baseline_supported_fraction,enrichment,mean_score
nnPU MLP,0.1,top_0.001,41,0.0,0.010198396356677407,0.0,0.9066944718360901
nnPU MLP,0.1,top_0.005,206,0.0,0.010198396356677407,0.0,0.8951513171195984
nnPU MLP,0.1,top_0.01,413,0.014527845036319613,0.010198396356677407,1.4245224963047742,0.7703999876976013
nnPU MLP,0.1,top_0.02,826,0.024213075060532687,0.010198396356677407,2.374204160507957,0.5958680510520935
nnPU MLP,0.1,top_0.05,2064,0.02422480620155039,0.010198396356677407,2.3753544532213815,0.4644704759120941
nnPU MLP,0.1,top_0.1,4128,0.020106589147286823,0.010198396356677407,1.9715441961737465,0.398515909910202
nnPU MLP,0.1,top_0.2,8256,0.017684108527131783,0.010198396356677407,1.7340087508516082,0.3436220586299896
nnPU MLP,0.1,score_decile_1,4128,0.004118217054263566,0.010198396356677407,0.40381025704763485,0.07926087826490402
nnPU MLP,0.1,score_decile_2,4128,0.002180232558139535,0.010198396356677407,0.21378190078992432,0.11828293651342392
nnPU MLP,0.1,score_decile_3,4129,0.005570356018406394,0.010198396356677407,0.5461992085411742,0.14393441379070282
nnPU MLP,0.1,score_decile_4,4127,0.007753816331475648,0.010198396356677407,0.7602976056523664,0.16751404106616974
nnPU MLP,0.1,score_decile_5,4128,0.011143410852713179,0.010198396356677407,1.0926630484818354,0.18832777440547943
nnPU MLP,0.1,score_decile_6,4128,0.014292635658914728,0.010198396356677407,1.401459127400615,0.20891718566417694
nnPU MLP,0.1,score_decile_7,4129,0.010898522644708163,0.010198396356677407,1.0686506254066452,0.23073232173919678
nnPU MLP,0.1,score_decile_8,4127,0.010661497455779016,0.010198396356677407,1.0454092077720036,0.25537675619125366
nnPU MLP,0.1,score_decile_9,4128,0.015261627906976744,0.010198396356677407,1.49647330552947,0.2887176275253296
nnPU MLP,0.1,score_decile_10,4129,0.020101719544683944,0.010198396356677407,1.9710667090833678,0.39849525690078735
