Method,Reliable Negative Ratio,selection,selected_rows,supported_fraction,baseline_supported_fraction,enrichment,mean_score
two-step PU reliable-negative HGB,40,top_0.001,41,0.14634146341463414,0.010198396356677407,14.349458316435895,0.9996717735515505
two-step PU reliable-negative HGB,40,top_0.005,206,0.21359223300970873,0.010198396356677407,20.943707769296402,0.9991444632673753
two-step PU reliable-negative HGB,40,top_0.01,413,0.2009685230024213,0.010198396356677407,19.70589453221604,0.9985327466732851
two-step PU reliable-negative HGB,40,top_0.02,826,0.2009685230024213,0.010198396356677407,19.70589453221604,0.9971478697260933
two-step PU reliable-negative HGB,40,top_0.05,2064,0.13468992248062014,0.010198396356677407,13.20697075991088,0.9855188362826646
two-step PU reliable-negative HGB,40,top_0.1,4128,0.08478682170542635,0.010198396356677407,8.313740586274834,0.8647216578982326
two-step PU reliable-negative HGB,40,top_0.2,8256,0.04760174418604651,0.010198396356677407,4.6675715005800145,0.4912477160329109
two-step PU reliable-negative HGB,40,score_decile_1,4128,0.0,0.010198396356677407,0.0,2.2337449780338635e-05
two-step PU reliable-negative HGB,40,score_decile_2,4128,0.0,0.010198396356677407,0.0,4.5299546440537446e-05
two-step PU reliable-negative HGB,40,score_decile_3,4129,0.0,0.010198396356677407,0.0,7.89704712176121e-05
two-step PU reliable-negative HGB,40,score_decile_4,4127,0.00121153380179307,0.010198396356677407,0.11879650088318223,0.00013724569706331379
two-step PU reliable-negative HGB,40,score_decile_5,4128,0.00024224806201550387,0.010198396356677407,0.023753544532213813,0.00025549636018209657
two-step PU reliable-negative HGB,40,score_decile_6,4129,0.0009687575684185032,0.010198396356677407,0.0949911667028129,0.0005424855695638866
two-step PU reliable-negative HGB,40,score_decile_7,4128,0.0014534883720930232,0.010198396356677407,0.14252126719328287,0.0015371945830266022
two-step PU reliable-negative HGB,40,score_decile_8,4127,0.002907681124303368,0.010198396356677407,0.2851116021196374,0.00723930252063975
two-step PU reliable-negative HGB,40,score_decile_9,4128,0.010416666666666666,0.010198396356677407,1.021402414885194,0.11767604723879581
two-step PU reliable-negative HGB,40,score_decile_10,4129,0.08476628723661904,0.010198396356677407,8.311727086496129,0.8646140833400358
