Method,Reliable Negative Fraction,selection,selected_rows,supported_fraction,baseline_supported_fraction,enrichment,mean_score
Two-step PU HGB,0.4,top_0.001,41,0.24390243902439024,0.010198396356677407,23.915763860726493,0.9997854212492047
Two-step PU HGB,0.4,top_0.005,206,0.18932038834951456,0.010198396356677407,18.5637409773309,0.9995828786321207
Two-step PU HGB,0.4,top_0.01,413,0.17433414043583534,0.010198396356677407,17.09426995565729,0.999380950811303
Two-step PU HGB,0.4,top_0.02,826,0.17796610169491525,0.010198396356677407,17.450400579733483,0.9989752667745346
Two-step PU HGB,0.4,top_0.05,2064,0.125484496124031,0.010198396356677407,12.304336067686755,0.9969774825159566
Two-step PU HGB,0.4,top_0.1,4128,0.08042635658914729,0.010198396356677407,7.886176784694986,0.9816641097712038
Two-step PU HGB,0.4,top_0.2,8256,0.04626937984496124,0.010198396356677407,4.536927005652838,0.7750711225312931
Two-step PU HGB,0.4,score_decile_1,4128,0.0,0.010198396356677407,0.0,1.6700267786004992e-05
Two-step PU HGB,0.4,score_decile_2,4128,0.0,0.010198396356677407,0.0,3.737807649795055e-05
Two-step PU HGB,0.4,score_decile_3,4129,0.0004843787842092516,0.010198396356677407,0.04749558335140645,7.46849249242365e-05
Two-step PU HGB,0.4,score_decile_4,4127,0.000726920281075842,0.010198396356677407,0.07127790052990934,0.00015809691003995278
Two-step PU HGB,0.4,score_decile_5,4128,0.0007267441860465116,0.010198396356677407,0.07126063359664143,0.0003976385754398333
Two-step PU HGB,0.4,score_decile_6,4129,0.0016953257447323807,0.010198396356677407,0.16623454172992258,0.00129224837616891
Two-step PU HGB,0.4,score_decile_7,4128,0.0012112403100775194,0.010198396356677407,0.11876772266106907,0.006656338293653224
Two-step PU HGB,0.4,score_decile_8,4127,0.004603828446813666,0.010198396356677407,0.4514267033560925,0.06457684675132887
Two-step PU HGB,0.4,score_decile_9,4128,0.012112403100775194,0.010198396356677407,1.1876772266106908,0.5682979003346006
Two-step PU HGB,0.4,score_decile_10,4129,0.08040687817873578,0.010198396356677407,7.884266836333471,0.9816490316452902
