category,kegg_drug,pubchem_cid,kegg_target,chosen_uniprot,chosen_affinity,rank_1_based,total_ranked_uniprots,rank_percentile,higher_ranked_targets,higher_ranked_yamanishi_known_positives,higher_ranked_apparent_false_positives,higher_ranked_apparent_fp_fraction
enzyme,D00002,5893,hsa:10,P11245,-10.3354,254,7051,0.03602325911218267,253,6,247,0.9762845849802372
enzyme,D00002,5893,hsa:124,P07327,-10.0473,382,7051,0.05417671252304638,381,11,370,0.9711286089238845
enzyme,D00002,5893,hsa:125,P00325,-10.2189,296,7051,0.04197986101262232,295,8,287,0.9728813559322034
enzyme,D00002,5893,hsa:126,P00326,-11.8248,19,7051,0.0026946532406750814,18,1,17,0.9444444444444444
enzyme,D00002,5893,hsa:128,P11766,-9.3788,901,7051,0.1277832931499078,900,20,880,0.9777777777777777
enzyme,D00002,5893,hsa:131,P40394,-9.8542,506,7051,0.0717628705148206,505,15,490,0.9702970297029703
enzyme,D00002,5893,hsa:1725,P49366,-8.1453,2603,7051,0.36916749397248616,2602,27,2575,0.9896233666410453
enzyme,D00002,5893,hsa:191,P23526,-12.2837,10,7051,0.001418238547723727,9,0,9,1.0
enzyme,D00002,5893,hsa:216,P00352,-9.8074,532,7051,0.07545029073890229,531,16,515,0.9698681732580038
enzyme,D00002,5893,hsa:217,P05091,-8.8135,1580,7051,0.22408169054034888,1579,23,1556,0.9854338188727042
enzyme,D00002,5893,hsa:2582,Q14376,-10.9526,97,7051,0.013756913912920153,96,5,91,0.9479166666666666
enzyme,D00002,5893,hsa:2597,P04406,-9.6127,675,7051,0.09573110197135158,674,17,657,0.9747774480712166
enzyme,D00002,5893,hsa:2746,P00367,-9.3581,923,7051,0.13090341795490001,922,21,901,0.9772234273318872
enzyme,D00002,5893,hsa:2936,P00390,-11.2752,52,7051,0.007374840448163381,51,2,49,0.9607843137254902
enzyme,D00002,5893,hsa:3028,Q99714,-10.0097,402,7051,0.05701318961849383,401,12,389,0.970074812967581
enzyme,D00002,5893,hsa:3033,Q16836,-9.9445,432,7051,0.061267905261665014,431,14,417,0.9675174013921114
enzyme,D00002,5893,hsa:3292,P14061,-11.1016,75,7051,0.010636789107927954,74,3,71,0.9594594594594594
enzyme,D00002,5893,hsa:3295,P51659,-11.0602,83,7051,0.011771379946106934,82,4,78,0.9512195121951219
enzyme,D00002,5893,hsa:349565,Q96T66,-9.5349,743,7051,0.10537512409587292,742,19,723,0.9743935309973046
enzyme,D00002,5893,hsa:3615,P12268,-9.5627,724,7051,0.10268047085519784,723,18,705,0.975103734439834
enzyme,D00002,5893,hsa:3939,P00338,-9.0129,1327,7051,0.1882002552829386,1326,22,1304,0.9834087481146304
enzyme,D00002,5893,hsa:3945,P07195,-10.151,328,7051,0.04651822436533825,327,9,318,0.9724770642201835
enzyme,D00002,5893,hsa:4190,P40925,-8.5589,1933,7051,0.2741455112749965,1932,25,1907,0.9870600414078675
enzyme,D00002,5893,hsa:4200,P23368,-10.1396,336,7051,0.04765281520351723,335,10,325,0.9701492537313433
enzyme,D00002,5893,hsa:55811,Q96PN6,-8.7,1717,7051,0.24351155864416396,1716,24,1692,0.986013986013986
enzyme,D00002,5893,hsa:5860,P09417,-9.9841,417,7051,0.05914054744007942,416,13,403,0.96875
enzyme,D00002,5893,hsa:64802,Q9HAN9,-10.3266,256,7051,0.036306906821727415,255,7,248,0.9725490196078431
enzyme,D00002,5893,hsa:6652,Q00796,-8.485,2050,7051,0.2907389022833641,2049,26,2023,0.9873108833577355
enzyme,D00007,33032,hsa:2746,P00367,-4.9628,2512,7470,0.3362784471218206,2511,0,2511,1.0
enzyme,D00014,124886,hsa:2936,P00390,-6.8161,311,7383,0.04212379791412705,310,0,310,1.0
enzyme,D00014,124886,hsa:2950,P09211,-5.315,4029,7383,0.5457131247460382,4028,1,4027,0.9997517378351539
enzyme,D00018,54670067,hsa:5033,P13674,-4.895,4879,7573,0.6442625115542058,4878,0,4878,1.0
enzyme,D00021,6140,hsa:10056,Q9NSD9,-5.6094,3355,7470,0.44912985274431055,3354,5,3349,0.9985092426952892
enzyme,D00021,6140,hsa:10667,O95363,-7.2296,74,7470,0.009906291834002677,73,1,72,0.9863013698630136
enzyme,D00021,6140,hsa:2193,Q9Y285,-6.0015,1964,7470,0.2629183400267738,1963,2,1961,0.9989811512990321
enzyme,D00021,6140,hsa:5053,P00439,-5.9742,2052,7470,0.2746987951807229,2051,3,2048,0.9985372988785958
enzyme,D00021,6140,hsa:6898,P17735,-5.7111,2986,7470,0.3997322623828648,2985,4,2981,0.9986599664991624
