category,kegg_drug,pubchem_cid,kegg_target,chosen_uniprot,chosen_affinity,rank_1_based,total_ranked_uniprots,rank_percentile,higher_ranked_targets,higher_ranked_yamanishi_known_positives,higher_ranked_bindingdb_known_positives,higher_ranked_apparent_false_positives,higher_ranked_apparent_fp_fraction,higher_ranked_unsupported_by_yamanishi_or_bindingdb,higher_ranked_unsupported_fraction
enzyme,D00002,5893,hsa:10,P11245,-10.3354,259,7060,0.03668555240793201,258,6,0,252,0.9767441860465116,252,0.9767441860465116
enzyme,D00002,5893,hsa:124,P07327,-10.0473,387,7060,0.05481586402266289,386,11,0,375,0.9715025906735751,375,0.9715025906735751
enzyme,D00002,5893,hsa:125,P00325,-10.2189,301,7060,0.04263456090651558,300,8,0,292,0.9733333333333334,292,0.9733333333333334
enzyme,D00002,5893,hsa:126,P00326,-11.8248,20,7060,0.0028328611898017,19,1,0,18,0.9473684210526315,18,0.9473684210526315
enzyme,D00002,5893,hsa:128,P11766,-9.3788,906,7060,0.128328611898017,905,20,0,885,0.9779005524861878,885,0.9779005524861878
enzyme,D00002,5893,hsa:131,P40394,-9.8542,511,7060,0.07237960339943343,510,15,0,495,0.9705882352941176,495,0.9705882352941176
enzyme,D00002,5893,hsa:1725,P49366,-8.1453,2612,7060,0.369971671388102,2611,27,0,2584,0.9896591344312524,2584,0.9896591344312524
enzyme,D00002,5893,hsa:191,P23526,-12.2837,10,7060,0.00141643059490085,9,0,0,9,1.0,9,1.0
enzyme,D00002,5893,hsa:216,P00352,-9.8074,537,7060,0.07606232294617564,536,16,0,520,0.9701492537313433,520,0.9701492537313433
enzyme,D00002,5893,hsa:217,P05091,-8.8135,1586,7060,0.2246458923512748,1585,23,0,1562,0.9854889589905362,1562,0.9854889589905362
enzyme,D00002,5893,hsa:2582,Q14376,-10.9526,99,7060,0.014022662889518414,98,5,0,93,0.9489795918367347,93,0.9489795918367347
enzyme,D00002,5893,hsa:2597,P04406,-9.6127,680,7060,0.09631728045325778,679,17,0,662,0.9749631811487481,662,0.9749631811487481
enzyme,D00002,5893,hsa:2746,P00367,-9.3581,928,7060,0.13144475920679888,927,21,0,906,0.9773462783171522,906,0.9773462783171522
enzyme,D00002,5893,hsa:2936,P00390,-11.2752,54,7060,0.00764872521246459,53,2,0,51,0.9622641509433962,51,0.9622641509433962
enzyme,D00002,5893,hsa:3028,Q99714,-10.0097,407,7060,0.05764872521246459,406,12,0,394,0.9704433497536946,394,0.9704433497536946
enzyme,D00002,5893,hsa:3033,Q16836,-9.9445,437,7060,0.06189801699716714,436,14,0,422,0.9678899082568807,422,0.9678899082568807
enzyme,D00002,5893,hsa:3292,P14061,-11.1016,77,7060,0.010906515580736544,76,3,0,73,0.9605263157894737,73,0.9605263157894737
enzyme,D00002,5893,hsa:3295,P51659,-11.0602,85,7060,0.012039660056657223,84,4,0,80,0.9523809523809523,80,0.9523809523809523
enzyme,D00002,5893,hsa:349565,Q96T66,-9.5349,748,7060,0.10594900849858357,747,19,0,728,0.9745649263721553,728,0.9745649263721553
enzyme,D00002,5893,hsa:3615,P12268,-9.5627,729,7060,0.10325779036827196,728,18,0,710,0.9752747252747253,710,0.9752747252747253
enzyme,D00002,5893,hsa:3939,P00338,-9.0129,1333,7060,0.18881019830028328,1332,22,0,1310,0.9834834834834835,1310,0.9834834834834835
enzyme,D00002,5893,hsa:3945,P07195,-10.151,333,7060,0.0471671388101983,332,9,0,323,0.9728915662650602,323,0.9728915662650602
enzyme,D00002,5893,hsa:4190,P40925,-8.5589,1939,7060,0.2746458923512748,1938,25,0,1913,0.9871001031991744,1913,0.9871001031991744
enzyme,D00002,5893,hsa:4200,P23368,-10.1396,341,7060,0.04830028328611898,340,10,0,330,0.9705882352941176,330,0.9705882352941176
enzyme,D00002,5893,hsa:55811,Q96PN6,-8.7,1723,7060,0.24405099150141643,1722,24,0,1698,0.9860627177700348,1698,0.9860627177700348
enzyme,D00002,5893,hsa:5860,P09417,-9.9841,422,7060,0.05977337110481586,421,13,0,408,0.9691211401425178,408,0.9691211401425178
enzyme,D00002,5893,hsa:64802,Q9HAN9,-10.3266,261,7060,0.036968838526912184,260,7,0,253,0.9730769230769231,253,0.9730769230769231
enzyme,D00002,5893,hsa:6652,Q00796,-8.485,2056,7060,0.29121813031161475,2055,26,0,2029,0.9873479318734794,2029,0.9873479318734794
enzyme,D00007,33032,hsa:2746,P00367,-4.9628,2520,7479,0.3369434416365824,2519,0,0,2519,1.0,2519,1.0
enzyme,D00014,124886,hsa:2936,P00390,-6.8161,315,7392,0.04261363636363636,314,0,0,314,1.0,314,1.0
enzyme,D00014,124886,hsa:2950,P09211,-5.315,4038,7392,0.5462662337662337,4037,1,0,4036,0.9997522913054249,4036,0.9997522913054249
enzyme,D00018,54670067,hsa:5033,P13674,-4.895,4888,7582,0.644684779741493,4887,0,0,4887,1.0,4887,1.0
enzyme,D00021,6140,hsa:10056,Q9NSD9,-5.6094,3364,7479,0.4497927530418505,3363,5,0,3358,0.9985132322331252,3358,0.9985132322331252
enzyme,D00021,6140,hsa:10667,O95363,-7.2296,81,7479,0.010830324909747292,80,1,0,79,0.9875,79,0.9875
enzyme,D00021,6140,hsa:2193,Q9Y285,-6.0015,1973,7479,0.26380532156705444,1972,2,0,1970,0.9989858012170385,1970,0.9989858012170385
enzyme,D00021,6140,hsa:5053,P00439,-5.9742,2061,7479,0.27557160048134777,2060,3,0,2057,0.9985436893203884,2057,0.9985436893203884
enzyme,D00021,6140,hsa:6898,P17735,-5.7111,2995,7479,0.4004546062307795,2994,4,0,2990,0.9986639946559787,2990,0.9986639946559787
enzyme,D00021,6140,hsa:7054,P07101,-7.2957,57,7479,0.00762133975130365,56,0,0,56,1.0,56,1.0
enzyme,D00027,1174,hsa:31,Q13085,-4.3104,4777,7544,0.6332184517497349,4776,0,0,4776,1.0,4776,1.0
enzyme,D00029,171548,hsa:5091,P11498,-6.2937,1305,7412,0.17606583917970858,1304,0,0,1304,1.0,1304,1.0
enzyme,D00029,171548,hsa:5095,P05165,-4.2792,6862,7412,0.9257960064759849,6861,2,0,6859,0.9997084973036,6859,0.9997084973036
enzyme,D00029,171548,hsa:56922,Q96RQ3,-4.7474,6276,7412,0.8467350242849433,6275,1,0,6274,0.9998406374501992,6274,0.9998406374501992
enzyme,D00032,6274,hsa:3035,P12081,-5.767,516,7418,0.06956052844432462,515,0,0,515,1.0,515,1.0
enzyme,D00032,6274,hsa:3067,P19113,-4.9011,3687,7418,0.4970342410353195,3686,1,0,3685,0.9997287032013022,3685,0.9997287032013022
enzyme,D00035,145742,hsa:2058,P07814,-5.5532,75,7482,0.010024057738572574,74,0,0,74,1.0,74,1.0
enzyme,D00035,145742,hsa:29920,Q96C36,-4.6498,2209,7482,0.2952419139267575,2208,1,0,2207,0.9995471014492754,2207,0.9995471014492754
enzyme,D00035,145742,hsa:5831,P32322,-3.8714,5859,7482,0.7830793905372895,5858,2,0,5856,0.99965858654831,5856,0.99965858654831
enzyme,D00036,936,hsa:683,Q10588,-5.4088,1363,7482,0.1821705426356589,1362,0,0,1362,1.0,1362,1.0
enzyme,D00037,311,hsa:100,P00813,-5.5346,2213,7541,0.29346240551650976,2212,6,0,2206,0.9972875226039783,2206,0.9972875226039783
