pubchem_cid,ligand_title,ranked_uniprots,expected_supported_target_degree,known_yamanishi_targets_in_affinity_file,known_any_supported_targets_in_affinity_file
3446,Gabapentin,7479,15.438694708237758,36,36
448537,Diethylstilbestrol,7581,13.523775311166661,15,15
2519,Caffeine,7544,13.422260812066922,64,64
3058754,Deracoxib,7219,12.751546288186098,36,36
4485,Nifedipine,7464,12.512780978926004,44,44
3117,Disulfiram,7542,12.103680697919083,10,10
2520,Verapamil,7454,12.02521137963383,56,56
3562,Halothane,7545,11.773628832527287,46,46
185462,Bosentan Monohydrate,7623,11.734108647111075,21,21
4114,8-Methoxypsoralen,7582,11.369287404057623,26,26
5936,Diisopropyl Fluorophosphate,7482,11.307064183787068,37,37
5206,Sevoflurane,7582,11.252432190221123,12,12
3019,Diazoxide,7344,11.250314732188894,33,33
564,6-Aminohexanoic Acid,7480,11.173855725321083,30,30
4943,Propofol,7582,11.13465123608457,10,10
59694,"Benzonitrile, 4-(5,6,7,8-tetrahydroimidazo(1,5-a)pyridin-5-yl)-, hydrochloride (1:1)",7541,10.970023713200712,16,16
1775,Phenytoin,7534,10.727229918883225,30,30
2187,Anastrozole,7532,10.406748297784908,17,17
3902,Letrozole,7534,10.381522048643998,17,17
16362,Pimozide,7375,10.298842706691932,17,17
444795,Retinoic Acid,7532,10.253973610268773,10,10
311,Citric Acid,7541,10.186733912445094,10,10
5584,Trimipramine,7578,10.182312211575661,28,28
5070,Riluzole,7340,10.168421362345414,15,15
123631,Gefitinib,7206,9.902786632113626,43,43
135398737,Clozapine,7402,9.80893656892642,25,25
4737,Pentobarbital,7540,9.776925623270964,12,12
64119,Caffeine Monohydrate,7623,9.708020366116108,8,8
2118,Alprazolam,7474,9.637922580093507,34,34
2145,Aminoglutethimide,7536,9.61902644141588,27,27
176871,Erlotinib Hydrochloride,6967,9.618861489140931,46,46
5831,Carbachol,7623,9.600314823222183,7,7
4174,Metyrapone,7541,9.574683198458484,26,26
4740,Pentoxifylline,7475,9.548931195753134,34,34
2337,Benzocaine,7544,9.524245333446139,10,10
5893,Nadide (JAN/USAN/INN),7060,9.501533846986447,28,28
4828,Pindolol,7475,9.36316771480019,16,16
4168,Metoclopramide,7406,9.346665039082394,21,21
3763,Isoflurane,7544,9.173632046838005,9,9
5505,Tolbutamide,7475,9.059756914387147,27,27
135398745,Olanzapine,7403,9.046403976008353,19,19
5282375,Etretinate,7581,8.949821259520698,6,6
3559,Haloperidol,7312,8.76000989375499,11,11
1983,Acetaminophen,7479,8.677743780112731,12,12
126941,Methotrexate,7262,8.612300040508108,1,19
5734,Zonisamide,7417,8.603328082074993,17,17
157313,Epinastine Hydrochloride,7173,8.587928342869672,20,20
2153,Theophylline,7479,8.489289775486315,13,13
3672,"Ibuprofen, (+-)-",7541,8.37880702740153,7,17
4507,Nitrendipine,7461,8.374660881716354,15,15
3608,Hexobarbital,7475,8.356894278197325,28,28
15851,Ketamine Hydrochloride,7474,8.28246151749838,6,6
4499,Nisoldipine,7460,8.275479211084052,15,15
13290219,Acetazolamide Sodium,7623,8.242903083670198,11,11
6431825,Chlorpromazine Hibenzate,7260,8.092453114173816,12,12
5358,Sumatriptan,7407,8.015597293161468,12,12
338,Salicylic Acid,7544,7.994847641449548,7,26
6420042,Dizocilpine Maleate,7528,7.849856855429429,3,3
89594,Nicotine,7544,7.8391944040811055,49,49
156391,Naproxen,7538,7.812688274463239,6,15
3182,Diprophylline,7475,7.807571387366177,10,10
4100,Methazolamide,7342,7.8004445276528624,11,11
3393,Flurazepam,7313,7.723545417672633,7,7
3226,Enflurane,7543,7.714265587692678,4,4
3698,Amrinone,7478,7.682372500466709,13,13
2554,Carbamazepine,7475,7.6588698315401516,9,9
4192,Midazolam,7406,7.630784465994308,8,8
2720,Chlorothiazide,7331,7.6297193678073505,12,12
4940,Propiomazine,7472,7.605177026289975,11,11
4197,Milrinone,7478,7.603710173436207,30,30
71764,Alfuzosin Hydrochloride,7285,7.573300561802867,12,12
5719,Zaleplon,7471,7.564194644456696,7,7
6450551,Axitinib,7386,7.4823787080857596,13,13
3385,5-Fluorouracil,7544,7.479279222576317,5,5
4927,Promethazine,7535,7.459122766251488,10,10
110635,Tadalafil,7456,7.341386978028512,13,13
60790,Toborinone,7456,7.339189919394543,13,13
667484,Etomidate,7475,7.33144152002294,7,7
656652,Oxtriphylline,7408,7.255883104497027,13,13
3016,Diazepam,7410,7.238491404795677,13,13
60198,Exemestane,7581,7.209924431236503,2,2
4823,Pimobendan,7463,7.185505549210921,13,13
5440,Thiethylperazine,7531,7.164042114582454,11,11
68844,Brinzolamide,7397,7.0633949330979195,11,11
1986,Acetazolamide,7417,7.034944413151579,11,11
3114,Disopyramide,7386,6.999027815837586,6,6
5339,Sulfasalazine,7294,6.94507641575964,8,8
3038,Dichlorphenamide,7410,6.851183715355698,11,11
60692,Sezolamide Hydrochloride,7379,6.812014502885753,11,11
1349907,Methimazole,7545,6.801298264159621,2,2
3639,Hydrochlorothiazide,7409,6.738171836753489,12,12
6444692,Mubritinib,7381,6.735935514175902,47,47
151114,Exatecan Mesylate,6817,6.675977619143826,15,15
9859832,"1R-cis-3,3,5-trimethylcyclohexyl ester5-oxo-L-proline",7534,6.671370926405394,6,6
122142,Cocaine (USP),7534,6.6540582095497145,7,7
5757,Estradiol,7581,6.604402694075413,2,17
5381,Tazarotene,7468,6.579402753738292,6,6
2769,Cisapride (USP/INN),7280,6.476117301569641,6,6
108173,Tocainide Hydrochloride,7540,6.40336932863443,3,3
4055,Menadione,7582,6.401628836647878,7,7
9270,Ethynodiol Diacetate,7578,6.349857749683588,7,7
6083,Adenosine Monophosphate,7304,6.306929054130204,7,7
4011,Maprotiline,7581,6.2352226177759515,3,3
2662,Celecoxib,7225,6.233689686271012,3,22
444305,L-Tartaric acid,7582,6.067401744053001,4,4
37274,Etazolate Hydrochloride,7032,5.999022063057925,11,11
6918132,Dorzolamide Hydrochloride,6935,5.973737782313992,11,11
54676038,Dicoumarol,7530,5.897524490391953,7,7
5328940,Bosutinib,7271,5.88913506048843,44,44
3825,Ketoprofen,7534,5.867308631132581,7,7
135413523,Sildenafil Citrate,7094,5.81549191936558,12,12
6306,L-Isoleucine,7482,5.696210871651248,5,5
5994,Progesterone,7581,5.615564983791419,2,18
11954253,Kainic acid monohydrate,7622,5.589669197631861,2,2
6140,L-Phenylalanine,7479,5.527482264807187,6,6
4205,Mirtazapine,7535,5.521451023964049,7,7
41022,Flecainide Acetate,7374,5.488029379385433,1,1
657201,Anisotropine methylbromide,7620,5.454691074223542,3,3
13769,Testolactone,7581,5.399168367814609,1,1
3100,Diphenhydramine,7539,5.371233226687344,3,3
60795,Aripiprazole,7385,5.3205972541280735,7,7
2381,Biperiden,7532,5.272003618038971,3,3
2726,Chlorpromazine,7474,5.191343703680898,10,10
3055,Diphenidol,7532,5.182596781733904,3,3
10429215,Arkitropin,7623,5.149986658018153,5,5
6918034,Olprinone Hydrochloride Hydrate,6779,5.134084866401286,12,12
657298,Propylthiouracil,7480,5.095436080377078,2,2
4116,Methoxyflurane,7545,5.028308913390012,4,4
121587,Galantamine Hydrobromide,7401,5.009233885347689,6,6
5405,Terfenadine,7515,4.992440392355687,4,4
5312125,Silodosin,7263,4.916971341248542,0,0
4781,Phenylbutazone,7532,4.913916121834038,8,8
64642,Quinaglute (TN),5859,4.890839226414322,3,3
11693,Glycopyrrolate,7573,4.804397039984896,2,2
5717,Zafirlukast,7342,4.796188838086716,2,2
1547484,Cinnarizine,7578,4.785626965937944,2,2
441351,Rocuronium Bromide,7622,4.764651359867632,2,2
23669229,Sodium caffeine benzoate,7622,4.726563731168531,5,5
441314,Miglitol,7582,4.668760681119552,3,3
40973,Desogestrel,7581,4.642145384478452,2,2
3331,Felbamate,7534,4.637185432012216,4,4
36811,Dobutamine,7532,4.631402297752827,2,2
3784,Isradipine,7460,4.563369976871257,4,4
145742,L-Proline,7482,4.489018710691431,3,3
443879,Tolterodine,7530,4.456020940992633,2,2
13221,Mecamylamine Hydrochloride,7373,4.4176954307212055,5,5
156665,Eglumetad monohydrate,7284,4.379111539766062,3,3
68551,Mianserin Hydrochloride,7225,4.372070088909591,0,0
42113,Desflurane,7528,4.353974775052069,3,3
5280793,Ergocalciferol,7576,4.316213181362408,1,1
6287,L-Valine,7482,4.305139316646865,3,3
65889,Apafant,7294,4.287042753053611,3,3
5816,Epinephrine,7541,4.220722397060563,2,2
938,Nicotinic Acid,7482,4.200341313599967,2,4
13109,Levonorgestrel,7532,4.192560976612081,2,2
2733,Chlorzoxazone,7482,4.1868479193240775,4,4
656631,Eletriptan Hydrobromide,6757,4.166497499807609,8,8
3284,Ethinamate,7544,4.1267607294015685,2,2
5265,Spiperone,7385,4.095807375854992,3,3
2796,Clofibrate,7542,4.045289668441961,3,3
5815,Epinephrine Bitartrate,7226,4.0405623141575795,5,5
2329,4-((2-(Benzoylamino)-3-(4-hydroxyphenyl)-1-oxopropyl)amino)benzoic acid,7450,4.038336493425871,6,6
3291,Ethosuximide,7544,4.018183704098441,2,2
3702,Indapamide,7312,4.011815838515524,2,2
2247,Astemizole,7281,4.000505903640027,5,5
472335,Rubitecan,7386,3.9841821626788745,3,3
3488,Glibenclamide,7370,3.984023652931148,1,1
3715,Indomethacin,7394,3.9768587106199726,6,6
5282421,Lisuride Maleate,7362,3.953480645861133,2,2
54343,Daltroban,7319,3.94955733631772,4,4
62770,Daunorubicin Hydrochloride,7423,3.9350709744324,5,5
26758,Selegiline Hydrochloride,7581,3.9286593989633927,2,2
2161,Amlexanox,7397,3.925275480679481,1,1
59772,Sumatriptan Succinate,7289,3.91566283905728,3,3
5280795,Vitamin D3,7575,3.910031169935474,1,1
985,Palmitic Acid,7537,3.90829022125249,4,4
41774,"(3R,4R,5S,6R)-5-(((2R,3R,4R,5S,6R)-5-(((2R,3R,4S,5S,6R)-3,4-dihydroxy-6-methyl-5-(((1S,4R,5S,6S)-4,5,6-trihydroxy-3-(hydroxymethyl)cyclohex-2-en-1-yl)amino)oxan-2-yl)oxy)-3,4-dihydroxy-6-(hydroxymethyl)oxan-2-yl)oxy)-6-(hydroxymethyl)oxane-2,3,4-triol",7340,3.897335846840122,3,3
2343,Benzthiazide,7304,3.882335274320344,4,4
59774,Zofran,7386,3.8756002997282173,0,0
4078,Mesoridazine,7466,3.863659710593324,5,5
22502,"4-Thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid, 3,3-dimethyl-7-oxo-6-((phenylacetyl)amino)-(2S,5R,6R)-, compd. with 2-(diethylamino)ethyl 4-aminobenzoate, hydrate (1:1:1)",7213,3.8388223443872516,3,3
2315,Bendroflumethiazide,7385,3.826764440150239,4,4
23724898,Chlorpromazine phenolphthalinate,7206,3.8052650555311223,4,4
3440,Furosemide,7319,3.797026496790737,3,3
174174,Npc209773,7472,3.7948802133799417,5,5
60750,Gemcitabine,7249,3.7897570571471717,4,4
3647,Hydroflumethiazide,7319,3.780878622278436,4,4
1548887,Sulindac,7396,3.771079632108252,3,3
2585,Carvedilol,7454,3.750772621589181,4,4
4679,Pantoprazole,7315,3.7453268723278774,3,3
21467,Mexiletine Hydrochloride,7290,3.7395505573927164,3,3
5280453,Calcitriol,7575,3.733689975682167,1,1
50294,Nedocromil,7460,3.72574345235789,2,2
636399,Safrazine Hydrochloride,7537,3.7230276059282223,2,2
3964,Loxapine,7406,3.7215763278128984,3,3
71329,Dofetilide,7385,3.7127426619393225,2,2
4121,Methyclothiazide,7328,3.704124821800014,4,4
9373,Pargyline Hydrochloride,7577,3.685878449616567,2,2
122824,Ethopropazine Hydrochloride,7230,3.685863405962603,2,2
5360696,Dextromethorphan,7534,3.6846825749841208,2,2
656664,Tropisetron hydrochloride,7401,3.6772440477953197,3,3
4917,Prochlorperazine,7471,3.6686178975514525,5,5
4754,Phenacetin,7544,3.6668154335755396,2,2
5073,Risperidone,7386,3.6657352338837836,1,1
5560,Trichlormethiazide,7321,3.6543957591150487,4,4
60699,Topotecan Hydrochloride,7381,3.6378151754954065,3,3
4748,Perphenazine,7388,3.613732714285152,5,5
2176,Ampiroxicam,7287,3.5936050437506295,2,2
54900,Raloxifene Hydrochloride,7270,3.5929616750493993,2,2
55245,Mifepristone,7454,3.576638135484556,4,4
1978,Acebutolol,7461,3.5497606915234625,2,2
5795,Procaine Hydrochloride,7103,3.545948189475387,3,3
62969,Verapamil Hydrochloride,7375,3.526474052210244,2,2
170321,Eldacimibe,7311,3.5117665426710927,2,2
2789,Clobazam,7474,3.5047756576043714,0,0
37542,Ribavirin,7409,3.45992997975365,3,3
2266,Azelaic Acid,7544,3.459654160039479,2,2
9795678,Phencyclidine Hydrochloride,6539,3.4575886147798265,4,4
243,Benzoic Acid,7544,3.455822102407696,2,2
60855,Zanamivir,7381,3.4434690715242047,1,1
493570,Riboflavin,7292,3.4368748757085106,2,3
33630,Penfluridol,7365,3.4239094455439396,0,0
171548,Biotin,7412,3.4184560508924995,3,3
21850,Ambuphylline,7328,3.404693897872267,2,2
3878,Lamotrigine,7475,3.3923197490947463,0,0
39147,Nadolol,7464,3.3670384451143582,2,2
4497,Nimodipine,7455,3.364758441050838,1,1
5991,Ethinylestradiol,7581,3.3636327609578163,1,1
5284583,Levetiracetam,7479,3.359966655593211,2,2
31477,Metipranolol,7472,3.3595617199073486,2,2
876,(+-)-Methionine,7420,3.358814158234423,3,3
2405,Bisoprolol,7471,3.3573208971626913,3,3
4634,Oxybutynin,7464,3.335552497285507,2,2
27072,"2-Propanol, 1-(2-chloro-5-methylphenoxy)-3-((1,1-dimethylethyl)amino)-, hydrochloride (1:1)",7407,3.3180303689326904,5,5
3676,Lidocaine,7477,3.3174141472380922,0,0
5284627,Topiramate,7471,3.3143228869693218,4,4
10917,(-)-Carnitine,7482,3.3090562350571426,1,1
20179,Clonidine Hydrochloride,7478,3.307129778297295,3,3
6918003,Granisetron hydrochloride (JAN/USP),7201,3.300588676691849,0,0
104741,Fulvestrant,7344,3.2959237546765285,2,2
8695,Tetracaine Hydrochloride,7408,3.292111115750069,0,0
3333,Felodipine,7464,3.2797133095237987,3,3
2803,Clonidine,7477,3.2738755858655644,3,3
6049,Ethylenediaminetetraacetic Acid,7532,3.271906567198302,2,2
66259,Oxymetazoline Hydrochloride,7402,3.2681180437918043,3,3
65999,Telmisartan,7351,3.2593059338973585,2,2
656783,Levisoprenaline hydrochloride,7473,3.212745795775463,2,2
3478,Glipizide,7381,3.210003983229621,1,1
54454,Simvastatin,7523,3.2091442112203836,2,2
441348,Chloroprocaine Hydrochloride,7409,3.20819942776591,0,0
33032,L-Glutamic Acid,7479,3.2075752322820312,1,1
5593,Tropicamide,7409,3.191474356419096,3,3
78000,Tamiflu,7381,3.190011498256164,1,1
54405,Brimonidine Tartrate,7285,3.1787019381277672,3,3
3033824,Celgosivir Hydrochloride,7442,3.148069390190019,2,2
229455,Nandrolone Phenylpropionate,7576,3.1477836067447034,1,1
