pubchem_cid,ligand_title,ranked_uniprots,score_threshold,predicted_targets_at_threshold,expected_supported_targets_at_threshold,known_yamanishi_targets_in_affinity_file,known_yamanishi_targets_recovered_at_threshold,known_yamanishi_targets_missed_at_threshold,top_target_likelihood
10133,Chenodeoxycholic Acid,7523,0.8,0,0,1,0,1,0.02777307682963778
104152,"L-Lysine, acetate (1:1)",7474,0.8,0,0,0,0,0,0.01938455218826637
10429215,Arkitropin,7623,0.8,0,0,5,0,5,0.07255527620445995
10457278,Indolapril Hydrochloride,6769,0.8,0,0,1,0,1,0.06216952886966148
104741,Fulvestrant,7344,0.8,0,0,2,0,2,0.06736842339620086
10547,Echothiophate Iodide,7336,0.8,0,0,2,0,2,0.05438508905356978
10649,Dequalinium Chloride,7514,0.8,0,0,2,0,2,0.07255527620445995
10660,Dimenhydrinate,7281,0.8,0,0,1,0,1,0.02703506927918095
107706,Sivelestat,7381,0.8,0,0,1,0,1,0.019198039037443704
107807,Perindopril,7388,0.8,0,0,1,0,1,0.07172435782667323
107952,Betaxolol Hydrochloride,7472,0.8,0,0,2,0,2,0.07255527620445995
107979,"Spiro(8-azoniabicyclo(3.2.1)octane-8,1'-pyrrolidinium), 3-hydroxy-, chloride, benzilate",7618,0.8,0,0,1,0,1,0.07336503603357519
107994,Quinaprilat,7380,0.8,0,0,1,0,1,0.0562095397393144
108173,Tocainide Hydrochloride,7540,0.8,0,0,3,0,3,0.07255527620445995
10917,(-)-Carnitine,7482,0.8,0,0,1,0,1,0.05356750360796738
110635,Tadalafil,7456,0.8,0,0,13,0,13,0.13008394888721558
11065,Amitriptyline Hydrochloride,7579,0.8,0,0,1,0,1,0.07255527620445995
11224,Donormil,7384,0.8,0,0,2,0,2,0.07255527620445995
115366,Clopidogrel Bisulfate,7311,0.8,0,0,1,0,1,0.07255527620445995
11693,Glycopyrrolate,7573,0.8,0,0,2,0,2,0.06071167347050518
1174,Uracil,7544,0.8,0,0,1,0,1,0.05920323532980649
119442,Gallopamil Hydrochloride,6847,0.8,0,0,1,0,1,0.05438508905356978
11954253,Kainic acid monohydrate,7622,0.8,0,0,2,0,2,0.06071167347050518
11954363,Napsagatran,7621,0.8,0,0,1,0,1,0.02430459183241764
11954368,Nepicastat Hydrochloride,6528,0.8,0,0,1,0,1,0.01938455218826637
119607,Valdecoxib,7403,0.8,0,0,2,0,2,0.07255527620445995
119828,Parecoxib,7393,0.8,0,0,2,0,2,0.07255527620445995
121586,Zoledronic acid monohydrate,7402,0.8,0,0,1,0,1,0.018136859874114942
121587,Galantamine Hydrobromide,7401,0.8,0,0,6,0,6,0.05842278824611618
122142,Cocaine (USP),7534,0.8,0,0,7,0,7,0.06736842339620086
122824,Ethopropazine Hydrochloride,7230,0.8,0,0,2,0,2,0.06855168696825249
123596,Imatinib Mesylate,6273,0.8,0,0,3,0,3,0.07799364825017675
123619,Etoricoxib,7400,0.8,0,0,2,0,2,0.07255527620445995
123631,Gefitinib,7206,0.8,0,0,43,0,43,0.13936963626272764
124886,Glutathione,7392,0.8,0,0,2,0,2,0.055309974509393484
126941,Methotrexate,7262,0.8,0,0,1,0,1,0.05793216821675452
129791,Itopride Hydrochloride,7460,0.8,0,0,2,0,2,0.07255527620445995
13109,Levonorgestrel,7532,0.8,0,0,2,0,2,0.07255527620445995
13221,Mecamylamine Hydrochloride,7373,0.8,0,0,5,0,5,0.0628697631947281
132228,Quilostigmine,7531,0.8,0,0,1,0,1,0.024974584433894192
13290219,Acetazolamide Sodium,7623,0.8,0,0,11,0,11,0.05842278824611618
133264,Risarestat,7472,0.8,0,0,1,0,1,0.021807654053928757
1349907,Methimazole,7545,0.8,0,0,2,0,2,0.05750052114447376
135398513,Acyclovir,7409,0.8,0,0,1,0,1,0.0628697631947281
135398641,Inosine,7403,0.8,0,0,1,0,1,0.06736842339620086
135398658,Folic Acid,7355,0.8,0,0,1,0,1,0.05793216821675452
135398735,Rifampicin,7040,0.8,0,0,1,0,1,0.020078792348659336
135398737,Clozapine,7402,0.8,0,0,25,0,25,0.07913350476912284
135398740,Ganciclovir,7406,0.8,0,0,1,0,1,0.05793216821675452
135398741,Valacyclovir Hydrochloride,7302,0.8,0,0,1,0,1,0.07255527620445995
135398745,Olanzapine,7403,0.8,0,0,19,0,19,0.08450786617493738
135398748,Penciclovir,7327,0.8,0,0,1,0,1,0.07255527620445995
135400182,Raltitrexed,7189,0.8,0,0,1,0,1,0.06071167347050518
135401907,Allopurinol,7482,0.8,0,0,1,0,1,0.03049045360361039
135403648,Leucovorin,7257,0.8,0,0,0,0,0,0.01840041897581635
135409453,Tegaserod,7464,0.8,0,0,1,0,1,0.058549575054083765
135413520,Pemetrexed Disodium,5690,0.8,0,0,1,0,1,0.0676414577818548
135413523,Sildenafil Citrate,7094,0.8,0,0,12,0,12,0.0910432931708281
135462830,Icopezil Maleate,6652,0.8,0,0,1,0,1,0.022414732187055256
13769,Testolactone,7581,0.8,0,0,1,0,1,0.0676414577818548
145742,L-Proline,7482,0.8,0,0,3,0,3,0.05793216821675452
14677,Methdilazine,7534,0.8,0,0,1,0,1,0.025843430959378487
150311,Ezetimibe,7384,0.8,0,0,2,0,2,0.07255527620445995
151114,Exatecan Mesylate,6817,0.8,0,0,15,0,15,0.0910432931708281
151166,Lumiracoxib,7331,0.8,0,0,2,0,2,0.06736842339620086
151170,Cilomilast,7467,0.8,0,0,1,0,1,0.0209365276257523
15130,Levomethadyl Acetate,7532,0.8,0,0,1,0,1,0.07172435782667323
15209,Flurandrenolide,7454,0.8,0,0,1,0,1,0.027118109127165477
1547484,Cinnarizine,7578,0.8,0,0,2,0,2,0.07097550964452261
1548887,Sulindac,7396,0.8,0,0,3,0,3,0.06658049587043419
1549008,Terbinafine,7581,0.8,0,0,1,0,1,0.07255527620445995
1549120,Epalrestat,7407,0.8,0,0,1,0,1,0.05438508905356978
156391,Naproxen,7538,0.8,0,0,6,0,6,0.07255527620445995
156422,Doramapimod,7348,0.8,0,0,2,0,2,0.05746195218754413
156665,Eglumetad monohydrate,7284,0.8,0,0,3,0,3,0.07146845129522231
157313,Epinastine Hydrochloride,7173,0.8,0,0,20,0,20,0.0999276977258147
157838,Lidorestat monohydrate,7211,0.8,0,0,1,0,1,0.02143988716232807
157920,Lubiprostone,7459,0.8,0,0,0,0,0,0.020333370972108362
15851,Ketamine Hydrochloride,7474,0.8,0,0,6,0,6,0.06736842339620086
158550,Atazanavir Sulfate,7065,0.8,0,0,3,0,3,0.07247378838469294
158781,Olmesartan,7275,0.8,0,0,1,0,1,0.05793216821675452
15895902,Parecoxib Sodium,7617,0.8,0,0,1,0,1,0.0676414577818548
159271,Tilmacoxib,7318,0.8,0,0,2,0,2,0.07255527620445995
159324,Tipifarnib,7277,0.8,0,0,2,0,2,0.07255527620445995
160024,Fidarestat,7471,0.8,0,0,1,0,1,0.02382088700848465
16078,Tetrahydrocannabinol,7532,0.8,0,0,1,0,1,0.03281610244771495
1613,Zopolrestat,7217,0.8,0,0,1,0,1,0.023837807025840294
16362,Pimozide,7375,0.8,0,0,17,0,17,0.0999276977258147
163727,Lazabemide Hydrochloride,7411,0.8,0,0,2,0,2,0.05746195218754413
