pubchem_cid,ligand_title,uniprot_id,known_target_yamanishi,known_target_bindingdb,known_target_any_supported,target_likelihood,target_likelihood_sample_prior,affinity,rank_1_based,rank_percentile,reverse_rank_percentile,affinity_zscore_within_ligand,affinity_robust_zscore_within_ligand,affinity_gap_to_next_weaker,affinity_gap_to_previous_stronger,total_ranked_uniprots,ligand_yamanishi_degree_any,target_yamanishi_degree_any,target_in_yamanishi_universe,target_in_bindingdb_universe,likelihood_rank_1_based
10917,(-)-Carnitine,P07550,0,0,0,0.05356750360796738,0.5669909786456548,-4.771,1263,0.16880513231756214,0.8313285217856188,-0.8763038045611554,-1.3894060574275588,9.999999999976694e-05,0.0,7482,4,35,1,0,1
10917,(-)-Carnitine,P23219,0,0,0,0.04656380017175214,0.5304853346297197,-5.7528,33,0.004410585404971933,0.995723068698209,-2.36890495937432,-3.96394388357152,0.007799999999999585,0.000700000000000145,7482,4,61,1,1,2
10917,(-)-Carnitine,P35354,0,0,0,0.04656380017175214,0.5304853346297197,-5.2716,198,0.026463512429831595,0.9736701416733494,-1.6373510016475996,-2.7021109217254486,0.0011999999999998678,0.0005999999999994898,7482,4,61,1,1,3
10917,(-)-Carnitine,P10632,0,0,0,0.01815097577803173,0.29956474553518614,-5.6058,63,0.008420208500400962,0.99171344560278,-2.14542525907127,-3.5784712206634324,0.0038000000000000256,0.0005999999999994898,7482,4,22,1,1,4
10917,(-)-Carnitine,O43497,0,0,0,0.016677054670343045,0.28179768465564453,-4.4273,2822,0.3771718791766907,0.6229617749264902,-0.35378698147164134,-0.4881342598662634,0.0004999999999997229,0.0005000000000006111,7482,4,17,1,0,5
10917,(-)-Carnitine,Q9P0X4,0,0,0,0.01472288637464669,0.25689347814162694,-4.6004,1974,0.26383319967923013,0.7363004544239509,-0.616945730604009,-0.9420479874131358,0.0002999999999993008,0.00010000000000065512,7482,4,15,1,0,6
10917,(-)-Carnitine,P21817,0,0,0,0.014576897344941591,0.25496758240968354,-4.241,3744,0.5004009623095429,0.4997326917936381,-0.07056066741410133,0.0003933394519484425,0.0,0.00010000000000065512,7482,4,17,1,0,7
10917,(-)-Carnitine,P50416,1,0,1,0.013626243983820297,0.24219262749463288,-3.4757,6650,0.8887997861534349,0.11133386794974609,1.0929020172248423,2.007211223285696,0.0024999999999999467,0.000600000000000378,7482,4,1,1,0,8
10917,(-)-Carnitine,P15121,0,0,0,0.013167195446291436,0.23587485065093614,-5.3808,131,0.017508687516706763,0.9826249665864742,-1.8033644933012938,-2.9884620427428854,0.004100000000000215,0.0034999999999998366,7482,4,12,1,1,9
10917,(-)-Carnitine,Q92736,0,0,0,0.013153178245924551,0.23568037066964162,-5.0244,517,0.06909917134456028,0.9310344827586207,-1.2615402403216527,-2.053887504916742,9.999999999976694e-05,0.000700000000000145,7482,4,16,1,0,10
10917,(-)-Carnitine,P08913,0,0,0,0.013153178245924551,0.23568037066964162,-4.3236,3300,0.4410585404971933,0.5590751136059877,-0.19613497520343495,-0.21620558542021678,0.0,0.001000000000000334,7482,4,28,1,1,11
10917,(-)-Carnitine,P48169,0,0,0,0.013153178245924551,0.23568037066964162,-4.1505,4241,0.5668270515904839,0.43330660251269715,0.06702377392893269,0.23770814212665556,0.0,0.00019999999999953388,7482,4,16,1,0,12
10917,(-)-Carnitine,Q08493,0,0,0,0.013149025242746245,0.23562273237020911,-4.4713,2603,0.3479016305800588,0.6522320235231222,-0.4206788645555484,-0.6035138324373935,0.0,0.00019999999999953388,7482,4,20,1,0,13
10917,(-)-Carnitine,O76083,0,0,0,0.012878634210075679,0.23185230924494726,-4.4715,2601,0.34763432237369685,0.652499331729484,-0.4209829185695655,-0.6040382850399884,0.0,0.00020000000000042206,7482,4,19,1,0,14
10917,(-)-Carnitine,P00797,0,0,0,0.012817103056017567,0.23098938754787998,-5.4669,98,0.01309810211173483,0.9870355519914461,-1.934259746335938,-3.214238888160481,0.0027999999999996916,0.0018000000000002458,7482,4,5,1,0,15
10917,(-)-Carnitine,P11712,0,0,0,0.01273195840745163,0.22979228240806746,-4.4463,2730,0.3648757016840417,0.6352579524191393,-0.3826721128033284,-0.5379572571128876,0.0,9.999999999976694e-05,7482,4,25,1,1,16
10917,(-)-Carnitine,P27815,0,0,0,0.012596973899350522,0.22788721456660385,-4.4656,2633,0.3519112536754878,0.6482224004276931,-0.41201332515604233,-0.5885669332634063,0.0,0.000300000000000189,7482,4,20,1,1,17
10917,(-)-Carnitine,P36544,0,0,0,0.012596973899350522,0.22788721456660385,-4.4654,2635,0.35217856188184976,0.6479550922213312,-0.41170927114202394,-0.5880424806608091,0.0,0.00020000000000042206,7482,4,11,1,1,18
10917,(-)-Carnitine,Q15822,0,0,0,0.012471442429919842,0.2261075535496547,-4.0931,4566,0.6102646351242983,0.3898690189788826,0.1542872759520292,0.38822603907172004,0.00019999999999953388,0.0,7482,4,20,1,0,19
10917,(-)-Carnitine,Q02880,0,0,0,0.01183889053194159,0.21702062501580377,-5.0951,395,0.05279337075648222,0.9473402833466987,-1.36902333427693,-2.2392814999344437,0.0008000000000008001,0.0012999999999996348,7482,4,15,1,0,20
10917,(-)-Carnitine,P08172,0,0,0,0.011099390286455632,0.20613832946736324,-4.9779,622,0.08313285217856188,0.9170008019246191,-1.1908476820625242,-1.9319522748131628,0.0,9.999999999976694e-05,7482,4,21,1,1,21
10917,(-)-Carnitine,P51452,0,0,0,0.01104196058736259,0.20528122891279324,-4.4908,2524,0.3373429564287624,0.6627906976744187,-0.45032413092227946,-0.654647961190507,9.999999999976694e-05,0.0,7482,4,2,1,0,22
10917,(-)-Carnitine,P35367,0,0,0,0.010980275610021496,0.2043586684504141,-4.1779,4083,0.5457097032878909,0.4544239508152901,0.02536837400849996,0.16585813557099782,0.00020000000000042206,0.00019999999999953388,7482,4,25,1,0,23
10917,(-)-Carnitine,P22303,0,0,0,0.010979194678340153,0.2043424839681551,-5.0093,549,0.07337610264635125,0.9267575514568297,-1.2385841622633116,-2.0142913334207404,0.0002999999999993008,0.0019000000000000128,7482,4,23,1,1,24
10917,(-)-Carnitine,P11387,0,0,0,0.010663327523206296,0.19958625138747776,-4.4268,2823,0.3773055332798717,0.6228281208233093,-0.3530268464365974,-0.48682312835977404,0.0,0.0004999999999997229,7482,4,6,1,0,25
10917,(-)-Carnitine,P21802,0,0,0,0.010478252346381462,0.1967743617946824,-4.4268,2824,0.37743918738305265,0.6226944667201283,-0.3530268464365974,-0.48682312835977404,0.0,0.0,7482,4,8,1,1,26
10917,(-)-Carnitine,P04626,0,0,0,0.010478252346381462,0.1967743617946824,-4.4258,2832,0.3785084202085004,0.6216252338946806,-0.3515065763665081,-0.48420086534679296,9.999999999976694e-05,0.000300000000000189,7482,4,8,1,1,27
10917,(-)-Carnitine,P18089,0,0,0,0.010473419197450174,0.1967006800719114,-5.0289,508,0.06789628441593157,0.9322373696872494,-1.2683814556370523,-2.0656876884751534,0.0,0.0020999999999995467,7482,4,24,1,1,28
10917,(-)-Carnitine,P14867,0,0,0,0.010473419197450174,0.1967006800719114,-4.289,3504,0.46832397754611066,0.5318096765570703,-0.14353363077836287,-0.12547528517110135,0.0,0.0,7482,4,32,1,0,29
10917,(-)-Carnitine,P08684,0,0,0,0.010471498407187353,0.19667139392444608,-5.4139,118,0.015771184175354183,0.9843624699278268,-1.8536854326212326,-3.0752589484725306,0.000600000000000378,0.0038999999999997925,7482,4,34,1,1,30
10917,(-)-Carnitine,O95363,0,0,0,0.01025332728375882,0.19333174705295872,-4.4659,2631,0.3516439454691259,0.6484897086340551,-0.4124694061770693,-0.5893536121673009,0.0,0.00019999999999953388,7482,4,1,1,0,31
10917,(-)-Carnitine,Q15413,0,0,0,0.01021081617606627,0.19267794709413547,-4.5244,2362,0.3156909917134456,0.6844426623897354,-0.5014052052772623,-0.7427559984266414,0.00039999999999995595,9.999999999976694e-05,7482,4,16,1,0,32
10917,(-)-Carnitine,P00915,0,0,0,0.010095429425555101,0.1908982860771863,-4.5514,2219,0.2965784549585672,0.7035551991446137,-0.5424524971696595,-0.8135570997771072,9.999999999976694e-05,9.999999999976694e-05,7482,4,21,1,1,33
10917,(-)-Carnitine,Q01668,0,0,0,0.009965717938137105,0.1888887961262314,-4.7792,1233,0.16479550922213312,0.8353381448810479,-0.8887700191358842,-1.4109086141339977,0.00010000000000065512,0.0,7482,4,15,1,0,34
10917,(-)-Carnitine,Q96RQ3,0,0,0,0.009946637228697555,0.18859239995193333,-3.3614,6793,0.9079123229083133,0.09222133119486764,1.2666688862359894,2.3069358856693323,0.00010000000000021103,0.005399999999999849,7482,4,1,1,0,35
10917,(-)-Carnitine,Q9H1R2,0,0,0,0.009742064207409444,0.18540165965578373,-4.4713,2604,0.3480352846832398,0.6520983694199411,-0.4206788645555484,-0.6035138324373935,0.0,0.0,7482,4,2,1,0,36
10917,(-)-Carnitine,P43681,0,0,0,0.00945719634453783,0.18091875168146354,-4.437,2780,0.3715584068430901,0.628575247260091,-0.3685336011515033,-0.5135702110921726,0.000600000000000378,9.999999999976694e-05,7482,4,13,1,0,37
10917,(-)-Carnitine,P21728,0,0,0,0.009174901346673009,0.1764299761202416,-4.7772,1244,0.16626570435712376,0.8338679497460573,-0.8857294789957055,-1.4056640881080356,0.0009999999999994458,0.00010000000000065512,7482,4,14,1,1,38
10917,(-)-Carnitine,P54289,0,0,0,0.009103044732901978,0.17527992858981026,-4.8662,907,0.12122427158513767,0.8789093825180433,-1.0210335152336076,-1.6390454962632746,0.0,0.0,7482,4,12,1,0,39
10917,(-)-Carnitine,O75844,0,0,0,0.009092825806717724,0.17511612982912136,-0.0003,7465,0.9977278802459235,0.002405773857257376,6.3764486188113905,11.120624098597087,9.999999999999996e-05,1.3347,7482,4,1,1,0,40
10917,(-)-Carnitine,O00408,0,0,0,0.008789278529413101,0.1702222940443661,-4.3643,3105,0.41499599037690454,0.5851376637262764,-0.2580099670560486,-0.32293169004851147,0.0,9.999999999976694e-05,7482,4,20,1,1,41
10917,(-)-Carnitine,P00918,0,0,0,0.008738307511616776,0.1693951280562791,-4.7498,1353,0.18083400160384924,0.8192996524993317,-0.8440740790752728,-1.3338140815523778,0.0,0.00010000000000065512,7482,4,19,1,1,42
10917,(-)-Carnitine,P18545,0,0,0,0.008692494204887628,0.16865032651424403,-3.052,7078,0.946003742314889,0.05412991178829185,1.7370404459214583,3.118264061885407,0.0009000000000001229,0.0015000000000000568,7482,4,20,1,0,43
