category,status,positive_pairs,category_total_positive_pairs,fraction
enzyme,joined,2203,2926,0.752904989747095
enzyme,missing_kegg_drug_to_pubchem_cid,13,2926,0.004442925495557075
enzyme,missing_kegg_target_to_uniprot,17,2926,0.00580997949419002
enzyme,missing_target_features,693,2926,0.23684210526315788
gpcr,joined,464,635,0.7307086614173228
gpcr,missing_kegg_drug_to_pubchem_cid,8,635,0.012598425196850394
gpcr,missing_pubchem_descriptor_row,9,635,0.014173228346456693
gpcr,missing_target_features,154,635,0.24251968503937008
ion_channel,joined,881,1476,0.5968834688346883
ion_channel,missing_pubchem_descriptor_row,15,1476,0.01016260162601626
ion_channel,missing_target_features,580,1476,0.39295392953929537
nuclear_receptor,joined,87,90,0.9666666666666667
nuclear_receptor,missing_target_features,3,90,0.03333333333333333
