evaluation,group,model,rows,train_rows,test_rows,features,accuracy,balanced_accuracy,f1,roc_auc,pr_auc,false_positives,false_negatives,accuracy_std,balanced_accuracy_std,f1_std,roc_auc_std,pr_auc_std,false_positives_std,false_negatives_std
holdout,combined,ExtraTrees,10130,8104,2026,1654,0.8731490621915103,0.8731490621915103,0.8722028841372451,0.9392858291373058,0.9484409835852416,121,136,,,,,,,
holdout,combined,RandomForest,10130,8104,2026,1654,0.8277393879565647,0.8277393879565647,0.8338886244645407,0.905139894111009,0.9115731854651422,212,137,,,,,,,
holdout,combined,HistGradientBoosting,10130,8104,2026,1654,0.8450148075024679,0.8450148075024679,0.848747591522158,0.9184383858799086,0.9164714124188417,182,132,,,,,,,
holdout,enzyme,ExtraTrees,5792,4633,1159,1654,0.8878343399482312,0.887828300875469,0.8869565217391304,0.9481314394616164,0.9588017793870689,61,69,,,,,,,
holdout,enzyme,RandomForest,5792,4633,1159,1654,0.8619499568593615,0.8619364540527663,0.8596491228070176,0.9262313143946161,0.937845595630525,71,89,,,,,,,
holdout,enzyme,HistGradientBoosting,5792,4633,1159,1654,0.8757549611734253,0.8757563575725091,0.8758620689655172,0.9407167530224524,0.9423697186151125,73,71,,,,,,,
holdout,gpcr,ExtraTrees,1236,988,248,1654,0.8830645161290323,0.8830645161290323,0.8796680497925311,0.9292728928199792,0.9443338618101479,11,18,,,,,,,
holdout,gpcr,RandomForest,1236,988,248,1654,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.9208181581685744,0.932036437674491,20,20,,,,,,,
holdout,gpcr,HistGradientBoosting,1236,988,248,1654,0.8467741935483871,0.8467741935483871,0.8455284552845529,0.9118106139438085,0.9217481564574073,18,20,,,,,,,
holdout,ion_channel,ExtraTrees,2922,2337,585,1654,0.8854700854700854,0.8855077376221422,0.8877721943048577,0.9490100051428305,0.9538212609700955,40,27,,,,,,,
holdout,ion_channel,RandomForest,2922,2337,585,1654,0.811965811965812,0.8120587685258778,0.8214285714285714,0.9128640890177194,0.9168821125187491,71,39,,,,,,,
holdout,ion_channel,HistGradientBoosting,2922,2337,585,1654,0.8735042735042735,0.8735798775071298,0.8786885245901639,0.9346860535789424,0.922064213290816,50,24,,,,,,,
holdout,nuclear_receptor,ExtraTrees,180,144,36,1654,0.6666666666666666,0.6666666666666667,0.625,0.7083333333333333,0.7832780786588596,4,8,,,,,,,
holdout,nuclear_receptor,RandomForest,180,144,36,1654,0.6388888888888888,0.6388888888888888,0.6060606060606061,0.6820987654320987,0.7492061564978233,5,8,,,,,,,
holdout,nuclear_receptor,HistGradientBoosting,180,144,36,1654,0.6666666666666666,0.6666666666666667,0.6470588235294118,0.6512345679012346,0.6299955718248084,5,7,,,,,,,
5fold_cv,combined,ExtraTrees,10130,,,1654,0.865153010858835,0.865153010858835,0.8643033650519778,0.9319059531129863,0.9366433046459072,130.4,142.8,0.004728106619872858,0.004728106619872859,0.005225155662769952,0.0020651273085745578,0.003703288551172248,5.919459434779497,9.53729521405309
5fold_cv,combined,HistGradientBoosting,10130,,,1654,0.8363277393879566,0.8363277393879566,0.8378775070640672,0.905432146166957,0.8997481604666628,175.6,156.0,0.0028371387686475648,0.0028371387686475253,0.0036335960377650283,0.0031963074518860505,0.004909203368772951,3.555277766926235,8.270429251254134
