Label Mode,Feature Set,Split Mode,Classifier,Train Rows,Test Rows,Train Positives,Test Positives,Features,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,False Positives,False Negatives,True Positives,True Negatives
yamanishi,clean_rank_plus_maccs_morgan_target,row_stratified,Logistic Regression,4350,1088,2175,544,1663,0.8272058823529411,0.8272058823529411,0.8101045296167247,0.8547794117647058,0.8318425760286225,0.8758076070501729,0.820904344550106,109,79,465,435
yamanishi,clean_rank_plus_maccs_morgan_target,row_stratified,Random Forest,4350,1088,2175,544,1663,0.9264705882352942,0.9264705882352942,0.9427480916030534,0.9080882352941176,0.9250936329588015,0.9720057715181661,0.9733627178104076,30,50,494,514
yamanishi,clean_rank_plus_maccs_morgan_target,row_stratified,Extra Trees,4350,1088,2175,544,1663,0.9227941176470589,0.9227941176470589,0.9389312977099237,0.9044117647058824,0.9213483146067416,0.9796374891868512,0.9801877214991445,32,52,492,512
yamanishi,clean_rank_plus_maccs_morgan_target,row_stratified,Hist Gradient Boosting,4350,1088,2175,544,1663,0.9283088235294118,0.9283088235294118,0.9298892988929889,0.9264705882352942,0.9281767955801105,0.9784176308391004,0.9786548217946629,38,40,504,506
yamanishi,clean_rank_plus_maccs_morgan_target,ligand_held_out,Logistic Regression,4286,1152,2101,618,1663,0.7578125,0.7623086433220609,0.8216318785578748,0.7006472491909385,0.7563318777292577,0.857447607965771,0.8402134616816753,94,185,433,440
yamanishi,clean_rank_plus_maccs_morgan_target,ligand_held_out,Random Forest,4286,1152,2101,618,1663,0.9418402777777778,0.9429929820733791,0.9630252100840336,0.9271844660194175,0.9447650453421269,0.9755281626122686,0.9769055574251578,22,45,573,512
yamanishi,clean_rank_plus_maccs_morgan_target,ligand_held_out,Extra Trees,4286,1152,2101,618,1663,0.8645833333333334,0.8714955819788371,0.963855421686747,0.7766990291262136,0.8602150537634409,0.9617347247978862,0.9680250453601256,18,138,480,516
yamanishi,clean_rank_plus_maccs_morgan_target,ligand_held_out,Hist Gradient Boosting,4286,1152,2101,618,1663,0.9131944444444444,0.9148940038544053,0.9434931506849316,0.8915857605177994,0.9168053244592346,0.9719646558306971,0.9730284955536513,33,67,551,501
any_supported,clean_rank_plus_maccs_morgan_target,row_stratified,Logistic Regression,4579,1145,2290,572,1663,0.8279475982532751,0.8279695871318908,0.8119800332778702,0.8531468531468531,0.8320545609548167,0.8806642746433322,0.8427210626323356,113,84,488,460
any_supported,clean_rank_plus_maccs_morgan_target,row_stratified,Random Forest,4579,1145,2290,572,1663,0.9082969432314411,0.9082762786951268,0.9284403669724771,0.8846153846153846,0.9059982094897046,0.9623042751315003,0.9656660882281867,39,66,506,534
any_supported,clean_rank_plus_maccs_morgan_target,row_stratified,Extra Trees,4579,1145,2290,572,1663,0.9231441048034934,0.9231226888294951,0.9448529411764706,0.8986013986013986,0.921146953405018,0.9763452080206007,0.9786321239282804,30,58,514,543
any_supported,clean_rank_plus_maccs_morgan_target,row_stratified,Hist Gradient Boosting,4579,1145,2290,572,1663,0.9196506550218341,0.9196597468848777,0.910958904109589,0.9300699300699301,0.9204152249134948,0.9741209924455997,0.9744277619534527,52,40,532,521
any_supported,clean_rank_plus_maccs_morgan_target,ligand_held_out,Logistic Regression,4701,1023,2370,492,1663,0.7556207233626588,0.7517569243489045,0.8040201005025126,0.6504065040650406,0.7191011235955056,0.8327170701085542,0.7896235496699008,78,172,320,453
any_supported,clean_rank_plus_maccs_morgan_target,ligand_held_out,Random Forest,4701,1023,2370,492,1663,0.9178885630498533,0.9173958476872904,0.9232365145228216,0.9044715447154471,0.9137577002053389,0.9691638724296847,0.9686031375291946,37,47,445,494
any_supported,clean_rank_plus_maccs_morgan_target,ligand_held_out,Extra Trees,4701,1023,2370,492,1663,0.9090909090909091,0.9069059758394193,0.9565217391304348,0.8495934959349594,0.8998923573735199,0.9666988195305684,0.9676743285304953,19,74,418,512
any_supported,clean_rank_plus_maccs_morgan_target,ligand_held_out,Hist Gradient Boosting,4701,1023,2370,492,1663,0.906158357771261,0.9055739286206421,0.9125,0.8902439024390244,0.9012345679012346,0.968895931897172,0.9645338572470941,42,54,438,489
