degree_column,outcome,degree_bin,rows,fraction_within_outcome
ligand_yamanishi_degree,TN,1,215,0.4875283446712018
ligand_yamanishi_degree,TN,2-3,132,0.29931972789115646
ligand_yamanishi_degree,TN,4-10,66,0.14965986394557823
ligand_yamanishi_degree,TN,11-30,18,0.04081632653061224
ligand_yamanishi_degree,TN,>30,10,0.022675736961451247
ligand_yamanishi_degree,TN,missing,0,0.0
ligand_yamanishi_degree,FP,1,25,0.24271844660194175
ligand_yamanishi_degree,FP,2-3,30,0.2912621359223301
ligand_yamanishi_degree,FP,4-10,17,0.1650485436893204
ligand_yamanishi_degree,FP,11-30,23,0.22330097087378642
ligand_yamanishi_degree,FP,>30,8,0.07766990291262135
ligand_yamanishi_degree,FP,missing,0,0.0
ligand_yamanishi_degree,FN,1,35,0.3153153153153153
ligand_yamanishi_degree,FN,2-3,33,0.2972972972972973
ligand_yamanishi_degree,FN,4-10,18,0.16216216216216217
ligand_yamanishi_degree,FN,11-30,18,0.16216216216216217
ligand_yamanishi_degree,FN,>30,7,0.06306306306306306
ligand_yamanishi_degree,FN,missing,0,0.0
ligand_yamanishi_degree,TP,1,18,0.04157043879907621
ligand_yamanishi_degree,TP,2-3,37,0.08545034642032333
ligand_yamanishi_degree,TP,4-10,66,0.15242494226327943
ligand_yamanishi_degree,TP,11-30,140,0.3233256351039261
ligand_yamanishi_degree,TP,>30,172,0.3972286374133949
ligand_yamanishi_degree,TP,missing,0,0.0
target_yamanishi_degree,TN,1,136,0.30839002267573695
target_yamanishi_degree,TN,2-3,141,0.3197278911564626
target_yamanishi_degree,TN,4-10,100,0.22675736961451248
target_yamanishi_degree,TN,11-30,58,0.13151927437641722
target_yamanishi_degree,TN,>30,6,0.013605442176870748
target_yamanishi_degree,TN,missing,0,0.0
target_yamanishi_degree,FP,1,29,0.2815533980582524
target_yamanishi_degree,FP,2-3,20,0.1941747572815534
target_yamanishi_degree,FP,4-10,25,0.24271844660194175
target_yamanishi_degree,FP,11-30,28,0.27184466019417475
target_yamanishi_degree,FP,>30,1,0.009708737864077669
target_yamanishi_degree,FP,missing,0,0.0
target_yamanishi_degree,FN,1,11,0.0990990990990991
target_yamanishi_degree,FN,2-3,8,0.07207207207207207
target_yamanishi_degree,FN,4-10,31,0.27927927927927926
target_yamanishi_degree,FN,11-30,47,0.42342342342342343
target_yamanishi_degree,FN,>30,14,0.12612612612612611
target_yamanishi_degree,FN,missing,0,0.0
target_yamanishi_degree,TP,1,11,0.025404157043879907
target_yamanishi_degree,TP,2-3,35,0.08083140877598152
target_yamanishi_degree,TP,4-10,147,0.3394919168591224
target_yamanishi_degree,TP,11-30,198,0.45727482678983833
target_yamanishi_degree,TP,>30,42,0.09699769053117784
target_yamanishi_degree,TP,missing,0,0.0
