outcome,kegg_drug,pubchem_cid,ligand_title,ligand_yamanishi_degree,error_rows
FP,D00451,5358,Sumatriptan,1.0,2
FP,D00524,5831,Carbachol,8.0,2
FP,D00423,37542,Ribavirin,4.0,2
FP,D00565,3339,Fenofibrate,1.0,2
FP,D00518,3038,Dichlorphenamide,13.0,2
FP,D00567,2662,Celecoxib,3.0,2
FP,D00043,5936,Diisopropyl Fluorophosphate,51.0,2
FP,D01767,54677971,Tenoxicam,2.0,2
FP,D00963,60198,Exemestane,1.0,2
FP,D00738,66070,Mepivacaine Hydrochloride,9.0,2
FP,D01712,157313,Epinastine Hydrochloride,19.0,2
FP,D01973,656631,Eletriptan Hydrobromide,1.0,1
FP,D00726,4168,Metoclopramide,15.0,1
FP,D00528,2519,Caffeine,10.0,1
FP,D00494,4927,Promethazine,1.0,1
FP,D02076,54405,Brimonidine Tartrate,3.0,1
FP,D00186,2764,Ciprofloxacin,2.0,1
FP,D00032,6274,L-Histidine,3.0,1
FP,D01575,4888,Pranoprofen,1.0,1
FP,D00960,2187,Anastrozole,24.0,1
FP,D03260,6431825,Chlorpromazine Hibenzate,19.0,1
FP,D00658,5560,Trichlormethiazide,4.0,1
FP,D00139,4114,8-Methoxypsoralen,43.0,1
FP,D00552,2337,Benzocaine,14.0,1
FP,D00474,4909,Primidone,1.0,1
FP,D00560,16362,Pimozide,30.0,1
FP,D03442,66383,Cetiedil Citrate,2.0,1
FP,D00440,3033637,Nizax,1.0,1
FP,D03828,135413520,Pemetrexed Disodium,1.0,1
FP,D00741,8695,Tetracaine Hydrochloride,9.0,1
FP,D00545,3763,Isoflurane,2.0,1
FP,D00332,3446,Gabapentin,14.0,1
FP,D00300,3100,Diphenhydramine,3.0,1
FP,D00530,5719,Zaleplon,16.0,1
FP,D01051,5265,Spiperone,6.0,1
FP,D02578,82148,Agomelatine,2.0,1
FP,D00454,135398745,Olanzapine,22.0,1
FP,D00437,4485,Nifedipine,30.0,1
FP,D02564,9373,Pargyline Hydrochloride,2.0,1
FP,D00656,4121,Methyclothiazide,4.0,1
FP,D00351,47576,Ketoconazole,3.0,1
FP,D03217,6450551,Axitinib,19.0,1
FP,D00550,4192,Midazolam,15.0,1
FP,D00234,2247,Astemizole,2.0,1
FP,D00279,2796,Clofibrate,1.0,1
FP,D00618,4499,Nisoldipine,30.0,1
FP,D00726,4168,Metoclopramide,2.0,1
FP,D00002,5893,Nadide (JAN/USAN/INN),37.0,1
FP,D04023,176871,Erlotinib Hydrochloride,53.0,1
FP,D03218,5328940,Bosutinib,53.0,1
FP,D00506,4763,Phenobarbital,1.0,1
FP,D00563,4205,Mirtazapine,3.0,1
FP,D00331,3440,Furosemide,6.0,1
FP,D03716,15895902,Parecoxib Sodium,2.0,1
FP,D02321,2179,Amsacrine,2.0,1
FP,D00283,135398737,Clozapine,3.0,1
FP,D03881,208850,Dobutamine Tartrate,2.0,1
FP,D00451,5358,Sumatriptan,11.0,1
FP,D00568,5090,Rofecoxib,2.0,1
FP,D00299,5311071,Dihydrotachysterol,1.0,1
FP,D00519,2720,Chlorothiazide,13.0,1
FP,D00041,6288,L-Threonine,3.0,1
FP,D00039,6287,L-Valine,7.0,1
FP,D00198,5280954,Rescinnamine,1.0,1
FP,D00562,657298,Propylthiouracil,8.0,1
FP,D03415,3033824,Celgosivir Hydrochloride,3.0,1
FP,D00543,3226,Enflurane,3.0,1
FP,D02176,10917,(-)-Carnitine,4.0,1
FP,D00218,1986,Acetazolamide,13.0,1
FP,D00542,3562,Halothane,34.0,1
FP,D00231,3698,Amrinone,19.0,1
FP,D00417,4197,Milrinone,47.0,1
FP,D01432,123596,Imatinib Mesylate,4.0,1
FP,D00762,441350,Metyrosine,1.0,1
FP,D03880,3038222,Dobutamine Lactobionate,2.0,1
FP,D00480,6014,Promethazine Hydrochloride,1.0,1
FP,D05077,34633,Moricizine,1.0,1
FP,D02374,31477,Metipranolol,3.0,1
FP,D02630,33630,Penfluridol,3.0,1
FP,D01811,5147,Salicylamide,2.0,1
FP,D00709,5284583,Levetiracetam,1.0,1
FP,D00530,5719,Zaleplon,1.0,1
FP,D00987,54746,Cabergoline,1.0,1
FP,D00638,41022,Flecainide Acetate,12.0,1
FP,D01133,4823,Pimobendan,19.0,1
FP,D01689,5663,Vesnarinone,1.0,1
