Feature Set,Classifier,Train Rows,Test Rows,Features,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,False Positive Rate,False Negative Rate
affinity,Logistic Regression,4353,1089,1,0.5188246097337006,0.5168918918918919,0.5625,0.5387323943661971,0.5372858202914192,0.5461272396480339,0.5247706422018349,0.4375
affinity,Random Forest,4353,1089,1,0.5133149678604224,0.5130597014925373,0.5055147058823529,0.5092592592592593,0.5261956961683756,0.5109135651734291,0.47889908256880737,0.4944852941176471
affinity,Gradient Boosting,4353,1089,1,0.5463728191000918,0.5536480686695279,0.4742647058823529,0.5108910891089109,0.5670112655153804,0.5594790322902411,0.381651376146789,0.5257352941176471
affinity,SVM,4353,1089,1,0.5436179981634527,0.545631067961165,0.5165441176470589,0.5306893295561851,0.5605015515380465,0.5499143838097785,0.42935779816513764,0.4834558823529412
affinity,KNN,4353,1089,1,0.5215794306703397,0.5241090146750524,0.45955882352941174,0.48971596474045054,0.5310678629249865,0.5150242708654204,0.41651376146788993,0.5404411764705882
rank,Logistic Regression,4353,1089,1,0.5748393021120294,0.565008025682183,0.6470588235294118,0.6032562125107113,0.6008196168375608,0.5881667886196358,0.4972477064220184,0.35294117647058826
rank,Random Forest,4353,1089,1,0.5509641873278237,0.5481611208406305,0.5753676470588235,0.5614349775784754,0.5800340663788451,0.5561946135873869,0.47339449541284406,0.42463235294117646
rank,Gradient Boosting,4353,1089,1,0.5638200183654729,0.5675146771037182,0.5330882352941176,0.5497630331753555,0.5904900836481383,0.5625867167251225,0.4055045871559633,0.46691176470588236
rank,SVM,4353,1089,1,0.5831037649219467,0.5862068965517241,0.5625,0.574108818011257,0.5995901915812196,0.5736716417440462,0.3963302752293578,0.4375
rank,KNN,4353,1089,1,0.5472910927456383,0.5445026178010471,0.5735294117647058,0.55863921217547,0.562123920669185,0.5343603371669235,0.47889908256880737,0.4264705882352941
affinity + rank,Logistic Regression,4353,1089,2,0.566574839302112,0.5569620253164557,0.6470588235294118,0.5986394557823129,0.5974635725849973,0.5778248814168772,0.5137614678899083,0.35294117647058826
affinity + rank,Random Forest,4353,1089,2,0.5904499540863177,0.5856643356643356,0.6158088235294118,0.600358422939068,0.6259747706422019,0.5951929202241493,0.43486238532110094,0.38419117647058826
affinity + rank,Gradient Boosting,4353,1089,2,0.5941230486685032,0.591726618705036,0.6047794117647058,0.5981818181818181,0.6306344441446302,0.591339031466592,0.41651376146788993,0.3952205882352941
affinity + rank,SVM,4353,1089,2,0.5840220385674931,0.5811051693404634,0.5992647058823529,0.5900452488687783,0.6194515650296816,0.5873807545093457,0.43119266055045874,0.4007352941176471
affinity + rank,KNN,4353,1089,2,0.5693296602387512,0.5685557586837294,0.5716911764705882,0.5701191567369386,0.5981769427954667,0.56060347550497,0.43302752293577984,0.42830882352941174
affinity + inverted_rank,Logistic Regression,4353,1089,2,0.5674931129476584,0.5562403697996918,0.6636029411764706,0.6051969823973177,0.598900431732326,0.5723488790662595,0.5284403669724771,0.33639705882352944
affinity + inverted_rank,Random Forest,4353,1089,2,0.581267217630854,0.5782918149466192,0.5974264705882353,0.5877034358047016,0.6193942255801402,0.6073789295262094,0.43486238532110094,0.4025735294117647
affinity + inverted_rank,Gradient Boosting,4353,1089,2,0.6060606060606061,0.6036036036036037,0.6158088235294118,0.6096451319381255,0.627920939017809,0.6052596166019241,0.4036697247706422,0.38419117647058826
affinity + inverted_rank,SVM,4353,1089,2,0.5775941230486685,0.5721649484536082,0.6121323529411765,0.5914742451154529,0.6213370210469509,0.5934668092657305,0.45688073394495415,0.38786764705882354
affinity + inverted_rank,KNN,4353,1089,2,0.573921028466483,0.572463768115942,0.5808823529411765,0.5766423357664233,0.6011400431732326,0.5678292516931676,0.43302752293577984,0.41911764705882354
pairwise,Logistic Regression,4353,1089,4,0.5684113865932048,0.5591054313099042,0.6433823529411765,0.5982905982905983,0.5973219104155424,0.5792845082409146,0.5064220183486239,0.35661764705882354
pairwise,Random Forest,4353,1089,4,0.5794306703397613,0.5751748251748252,0.6047794117647058,0.589605734767025,0.6312651780895844,0.6160306302144317,0.44587155963302755,0.3952205882352941
pairwise,Gradient Boosting,4353,1089,4,0.5849403122130394,0.5842490842490843,0.5863970588235294,0.5853211009174312,0.63805652995143,0.615673919835481,0.41651376146788993,0.41360294117647056
pairwise,SVM,4353,1089,4,0.5876951331496786,0.5798319327731093,0.6341911764705882,0.6057945566286216,0.6175998381003778,0.5811207567662683,0.45871559633027525,0.36580882352941174
pairwise,KNN,4353,1089,4,0.5968778696051423,0.5956284153005464,0.6011029411764706,0.5983531564501372,0.6257133702104694,0.5852251698376908,0.4073394495412844,0.39889705882352944
pairwise + ligand_all,Logistic Regression,4353,1089,34,0.6409550045913682,0.6363636363636364,0.65625,0.6461538461538462,0.679489341608203,0.6651562694662319,0.3743119266055046,0.34375
pairwise + ligand_all,Random Forest,4353,1089,34,0.6877869605142333,0.6917293233082706,0.6764705882352942,0.6840148698884758,0.7605420264436049,0.7777855428655984,0.30091743119266057,0.3235294117647059
pairwise + ligand_all,Gradient Boosting,4353,1089,34,0.7024793388429752,0.7091254752851711,0.6856617647058824,0.697196261682243,0.7672692930383163,0.7668952066284915,0.28073394495412846,0.31433823529411764
pairwise + ligand_all,SVM,4353,1089,34,0.7033976124885216,0.7027522935779816,0.7040441176470589,0.7033976124885216,0.7652792768483541,0.7787757948142586,0.29724770642201837,0.2959558823529412
pairwise + ligand_all,KNN,4353,1089,34,0.6868686868686869,0.6869244935543278,0.6856617647058824,0.6862925482980681,0.7362823799244469,0.7106361955946514,0.3119266055045872,0.31433823529411764
pairwise + target_all,Logistic Regression,4353,1089,27,0.63544536271809,0.6287215411558669,0.6599264705882353,0.6439461883408072,0.6890987587695627,0.6589384415591268,0.3889908256880734,0.3400735294117647
pairwise + target_all,Random Forest,4353,1089,27,0.6841138659320477,0.6838235294117647,0.6838235294117647,0.6838235294117647,0.7483320966001079,0.7361147751230686,0.3155963302752294,0.3161764705882353
pairwise + target_all,Gradient Boosting,4353,1089,27,0.7015610651974288,0.6994535519125683,0.7058823529411765,0.7026532479414456,0.7665289395574744,0.7456658526023251,0.30275229357798167,0.29411764705882354
pairwise + target_all,SVM,4353,1089,27,0.6988062442607897,0.6970802919708029,0.7022058823529411,0.6996336996336996,0.7747453453858608,0.7460807953793716,0.30458715596330277,0.2977941176470588
pairwise + target_all,KNN,4353,1089,27,0.6758494031221304,0.6708407871198568,0.6893382352941176,0.6799637352674524,0.7351676335671883,0.6880490282360885,0.3376146788990826,0.31066176470588236
pairwise + ligand_all + target_all,Logistic Regression,4353,1089,57,0.6721763085399449,0.6660746003552398,0.6893382352941176,0.6775067750677507,0.7321775499190502,0.7244226003934839,0.344954128440367,0.31066176470588236
pairwise + ligand_all + target_all,Random Forest,4353,1089,57,0.8191000918273645,0.8092691622103387,0.8345588235294118,0.8217194570135746,0.9069178359417162,0.9140567407544101,0.1963302752293578,0.16544117647058823
pairwise + ligand_all + target_all,Gradient Boosting,4353,1089,57,0.7777777777777778,0.7775735294117647,0.7775735294117647,0.7775735294117647,0.8342687533729087,0.8280006788193963,0.22201834862385322,0.22242647058823528
pairwise + ligand_all + target_all,SVM,4353,1089,57,0.7860422405876951,0.7853211009174312,0.7867647058823529,0.7860422405876951,0.8646181867242309,0.8694500221034395,0.21467889908256882,0.21323529411764705
pairwise + ligand_all + target_all,KNN,4353,1089,57,0.768595041322314,0.7192192192192193,0.8805147058823529,0.7917355371900826,0.8408138828926064,0.7998510035371282,0.3431192660550459,0.11948529411764706
