pubchem_cid,uniprot_id,in_old_bindingdb_positive,in_yamanishi_all,in_yamanishi_feature_complete
1005,P12955,1,0,0
1005,Q92959,1,0,0
10089677,P03956,1,0,0
10089677,P08253,1,0,0
10089677,P11309,1,0,0
10089677,P14780,1,0,0
10089677,P22894,1,0,0
10089677,P39900,1,0,0
10089677,P45452,1,0,0
10089677,P50281,1,0,0
10133,Q96RI1,0,1,1
10207,P02766,1,0,0
10207,P21397,1,0,0
10207,P22303,1,0,0
10207,P27338,1,0,0
10207,P34913,1,0,0
10207,Q9H244,1,0,0
10208,P02766,1,0,0
10208,P08246,1,0,0
10329,P05177,1,0,0
10341,P00915,1,0,0
10341,P00918,1,0,0
10341,Q16790,1,0,0
10364,O75762,1,0,0
10364,P22303,1,0,0
10364,P23219,1,0,0
104152,Q5T6X5,0,1,0
10429215,A4D1Q0,0,1,0
10429215,P08172,0,1,1
10429215,P08173,0,1,1
10429215,P08912,0,1,1
10429215,P11229,0,1,1
10429215,P20309,0,1,1
10429215,Q53XZ3,0,1,0
10429215,Q6SL56,0,1,0
10429215,Q86SJ1,0,1,0
10457278,B4DKH4,0,1,0
10457278,P12821,0,1,1
104741,G4XH65,0,1,0
104741,P03372,0,1,1
104741,Q7LCB3,0,1,0
104741,Q92731,0,1,1
10547,P06276,0,1,1
10547,P22303,0,1,1
10621,O60341,1,0,0
10621,P0DP23,1,0,0
10621,P49841,1,0,0
10621,Q00975,1,0,0
10621,Q9GZU7,1,0,0
10621,Q9Y251,1,0,0
10649,P23219,0,1,1
10649,P35354,0,1,1
10660,P35367,0,1,1
107706,P08246,0,1,1
107735,P00918,1,0,0
107735,P22748,1,0,0
107735,Q16790,1,0,0
107807,B4DKH4,0,1,0
107807,P12821,0,1,1
107952,P07550,0,1,1
107952,P08588,0,1,1
107952,X5DQM5,0,1,0
107979,P11229,0,1,1
107979,Q53XZ3,0,1,0
107985,P35354,1,0,0
107985,P55085,1,0,0
107985,Q9H773,1,0,0
107994,B4DKH4,0,1,0
107994,P12821,0,1,1
108173,P35498,0,1,0
108173,P35499,0,1,1
108173,Q14524,0,1,1
108173,Q15858,0,1,0
108173,Q6B4S4,0,1,0
108173,Q99250,0,1,0
108173,Q9C007,0,1,0
108173,Q9NY46,0,1,1
108173,Q9UQD0,0,1,0
10917,A0A140VK13,0,1,0
10917,P23786,0,1,0
10917,P50416,0,1,1
10917,Q9UKG9,0,1,0
1103,O43570,1,0,0
1103,P00488,1,0,0
1103,P00915,1,0,0
1103,P00918,1,0,0
1103,P07451,1,0,0
1103,P11388,1,0,0
1103,P22748,1,0,0
1103,P23280,1,0,0
1103,P42575,1,0,0
1103,P43166,1,0,0
1103,P61088,1,0,0
1103,Q13224,1,0,0
1103,Q16790,1,0,0
1103,Q9ULX7,1,0,0
110635,A0A0S2Z4T6,0,1,0
110635,A0A140VJR0,0,1,0
110635,A7E2E5,0,1,0
110635,B3KN77,0,1,0
110635,F6R4I1,0,1,0
110635,O00408,0,1,1
110635,O43849,0,1,0
110635,O43924,0,1,1
110635,O60658,0,1,1
110635,O76074,0,1,1
110635,O76083,0,1,1
110635,O95263,0,1,0
110635,P18545,0,1,1
110635,P27815,0,1,1
110635,P54750,0,1,0
110635,Q07343,0,1,1
110635,Q08493,0,1,1
110635,Q08499,0,1,1
110635,Q13370,0,1,1
110635,Q13946,0,1,1
110635,Q13956,0,1,0
110635,Q14123,0,1,0
110635,Q32MM7,0,1,0
110635,Q6IB24,0,1,0
110635,Q8IW54,0,1,0
110635,Q9HCR9,0,1,0
110635,Q9NP56,0,1,0
110635,Q9Y233,0,1,1
110635,X5DNX5,0,1,0
11065,Q9H2S1,0,1,1
11065,Q9UGI6,0,1,0
11224,P11229,0,1,1
11224,P35367,0,1,1
11224,Q53XZ3,0,1,0
1140,P22303,1,0,0
114627,P14618,1,0,0
115366,A8K7T1,0,1,0
115366,Q9H244,0,1,1
11557040,A0A087WX63,0,1,0
11557040,A0A140VJJ0,0,1,0
11557040,A0A384MU00,0,1,0
11557040,B6D4Y2,0,1,0
11557040,B7ZKJ3,0,1,0
11557040,F2YGG7,0,1,0
11557040,F6QWY5,0,1,0
11557040,F6RDZ0,0,1,0
11557040,F6TUL7,0,1,0
11557040,O15146,0,1,0
11557040,P00533,0,1,0
11557040,P04626,0,1,0
11557040,P04629,0,1,0
11557040,P06213,0,1,0
11557040,P07333,0,1,0
11557040,P07949,0,1,0
11557040,P08069,0,1,0
11557040,P08581,0,1,0
11557040,P08922,0,1,0
11557040,P09619,0,1,0
11557040,P10721,0,1,0
11557040,P11362,0,1,0
11557040,P14616,0,1,0
11557040,P16234,0,1,0
11557040,P17948,0,1,0
11557040,P21709,0,1,0
11557040,P21802,0,1,0
11557040,P21860,0,1,0
11557040,P22455,0,1,0
11557040,P22607,0,1,0
11557040,P29317,0,1,0
11557040,P29320,0,1,0
11557040,P29322,0,1,0
11557040,P29323,0,1,0
11557040,P29376,0,1,0
11557040,P30530,0,1,0
11557040,P34925,0,1,0
11557040,P35590,0,1,0
11557040,P35916,0,1,0
11557040,P35968,0,1,0
11557040,P36888,0,1,0
11557040,P54753,0,1,0
11557040,P54756,0,1,0
11557040,P54760,0,1,0
11557040,P54762,0,1,0
11557040,P54764,0,1,0
11557040,Q01973,0,1,0
11557040,Q01974,0,1,0
11557040,Q02763,0,1,0
11557040,Q04912,0,1,0
11557040,Q06418,0,1,0
11557040,Q08345,0,1,0
11557040,Q0IJ44,0,1,0
11557040,Q12866,0,1,0
11557040,Q13308,0,1,0
11557040,Q15303,0,1,0
11557040,Q15375,0,1,0
11557040,Q16288,0,1,0
11557040,Q16620,0,1,0
11557040,Q16832,0,1,0
11557040,Q4LE53,0,1,0
11557040,Q504U8,0,1,0
11557040,Q548C2,0,1,0
11557040,Q59F04,0,1,0
11557040,Q59FQ5,0,1,0
11557040,Q59FT4,0,1,0
11557040,Q59HG2,0,1,0
11557040,Q5VWE5,0,1,0
11557040,Q6NVW1,0,1,0
11557040,Q6P4R6,0,1,0
11557040,Q8WTZ8,0,1,0
11557040,Q96L35,0,1,0
11557040,Q9UF33,0,1,0
11557040,Q9UM73,0,1,0
11557040,X5D2R1,0,1,0
11557040,X5DNK3,0,1,0
11693,A4D1Q0,0,1,0
11693,P08172,0,1,1
11693,P11229,0,1,1
11693,Q53XZ3,0,1,0
11693,Q6SL56,0,1,0
11693,Q86SJ1,0,1,0
1174,Q12882,0,1,0
1174,Q13085,0,1,1
117965,O60656,0,1,0
117965,O75310,0,1,0
117965,O75795,0,1,0
117965,P06133,0,1,0
117965,P0DTE4,0,1,0
117965,P16662,0,1,0
117965,P19224,0,1,0
117965,P22309,0,1,0
117965,P22310,0,1,0
117965,P35503,0,1,0
117965,P35504,0,1,0
117965,P36537,0,1,0
117965,P54855,0,1,0
117965,Q5DSZ5,0,1,0
117965,Q5DSZ6,0,1,0
117965,Q5DSZ7,0,1,0
117965,Q5DSZ8,0,1,0
117965,Q5DSZ9,0,1,0
117965,Q5DT01,0,1,0
117965,Q5DT02,0,1,0
117965,Q5DT03,0,1,0
117965,Q6UWM9,0,1,0
117965,Q9BY64,0,1,0
117965,Q9HAW7,0,1,0
117965,Q9HAW8,0,1,0
117965,Q9HAW9,0,1,0
11828024,O75908,1,0,0
11828024,P35610,1,0,0
119031,O14672,1,0,0
119031,O60882,1,0,0
119031,O75173,1,0,0
119031,P01375,1,0,0
119031,P03956,1,0,0
119031,P08253,1,0,0
119031,P08254,1,0,0
119031,P09237,1,0,0
119031,P09238,1,0,0
119031,P14780,1,0,0
119031,P22894,1,0,0
119031,P39900,1,0,0
119031,P45452,1,0,0
119031,P50281,1,0,0
119031,P51512,1,0,0
119031,P78536,1,0,0
119031,Q9UNA0,1,0,0
119442,Q13698,0,1,1
119442,Q13936,0,1,0
11953898,A0A024RD82,0,1,0
11953898,B2R6K1,0,1,0
11953898,P22033,0,1,0
11953898,Q96EY8,0,1,0
11953898,Q99707,0,1,0
11953898,Q9UBK8,0,1,0
11954221,P47712,0,1,0
11954233,P25100,0,1,0
11954233,P35348,0,1,0
11954233,P35368,0,1,0
11954233,Q9H2S1,0,1,0
11954253,A0A8D9PH75,0,1,0
11954253,A0A8D9PH79,0,1,0
11954253,A8K0H7,0,1,0
11954253,B2RAP6,0,1,0
11954253,P39086,0,1,1
11954253,Q13002,0,1,1
11954253,Q13003,0,1,0
11954253,Q16099,0,1,0
11954253,Q16478,0,1,0
11954253,Q8IY40,0,1,0
11954344,A0A024R8Z4,0,1,0
11954344,B4E398,0,1,0
11954344,P17787,0,1,0
11954344,P20853,0,1,0
11954344,P31513,0,1,0
11954344,P32297,0,1,0
11954344,P46098,0,1,0
11954344,P49019,0,1,0
11954344,Q04844,0,1,0
11954344,Q15822,0,1,0
11954344,Q15825,0,1,0
11954344,Q16696,0,1,0
11954344,Q53FW5,0,1,0
11954344,Q5SXY3,0,1,0
11954344,Q9GZZ6,0,1,0
11954344,Q9UGM1,0,1,0
11954363,P00734,0,1,1
11954366,B4DKH4,0,1,0
11954366,P12821,0,1,0
11954367,A0N0X8,0,1,0
11954367,C1ID52,0,1,0
11954367,P04798,0,1,0
11954367,P05177,0,1,0
11954367,P05181,0,1,0
11954367,P08684,0,1,0
11954367,P10632,0,1,0
11954367,P10635,0,1,0
11954367,P11509,0,1,0
11954367,P11511,0,1,0
11954367,P11712,0,1,0
11954367,P13584,0,1,0
11954367,P20813,0,1,0
11954367,P20815,0,1,0
11954367,P20853,0,1,0
11954367,P24462,0,1,0
11954367,P24903,0,1,0
11954367,P33260,0,1,0
11954367,P33261,0,1,0
11954367,P51589,0,1,0
11954367,Q16678,0,1,0
11954367,Q16696,0,1,0
11954367,Q53TK1,0,1,0
11954367,Q5Y7H2,0,1,0
11954367,Q6GRK0,0,1,0
11954367,Q7Z348,0,1,0
11954367,Q86W10,0,1,0
11954367,Q8IYG4,0,1,0
11954367,Q8N118,0,1,0
11954367,Q8TCA4,0,1,0
11954367,Q96SQ9,0,1,0
11954367,Q9HB55,0,1,0
11954368,P09172,0,1,1
11954370,P04035,0,1,0
11954371,B3KR54,0,1,0
11954371,Q5JQI0,0,1,0
11954371,Q8WWR8,0,1,0
11954371,Q99519,0,1,0
11954371,Q9UQ49,0,1,0
11954371,Q9Y3R4,0,1,0
119607,P23219,0,1,1
119607,P35354,0,1,1
119828,P23219,0,1,1
