pubchem_cid,uniprot_id,category,kegg_drug,kegg_target
126941,P00374,enzyme,D00142,hsa:1719
156391,P23219,enzyme,D00118,hsa:5742
156391,P35354,enzyme,D00118,hsa:5743
166558,O75908,enzyme,D03012,hsa:8435
166558,P35610,enzyme,D03012,hsa:6646
2244,P23219,enzyme,D00109,hsa:5742
2244,P35354,enzyme,D00109,hsa:5743
2662,P11712,enzyme,D00567,hsa:1559
2662,P23219,enzyme,D00567,hsa:5742
2662,P35354,enzyme,D00567,hsa:5743
338,P23219,enzyme,D00097,hsa:5742
3672,P09917,enzyme,D00126,hsa:240
3672,P11712,enzyme,D00126,hsa:1559
3672,P23219,enzyme,D00126,hsa:5742
3672,P35354,enzyme,D00126,hsa:5743
5360515,P35372,gpcr,D05113,hsa:4988
5757,P03372,nuclear_receptor,D00105,hsa:2099
5757,Q92731,nuclear_receptor,D00105,hsa:2100
5994,P03372,nuclear_receptor,D00066,hsa:2099
5994,P06401,nuclear_receptor,D00066,hsa:5241
6013,P10275,nuclear_receptor,D00075,hsa:367
