kegg_drug,pubchem_cid,ligand_title,missing_affinity_positive_pairs
D01441,5282418,Trifluoperazine dimaleate,98
D02356,2520,Verapamil,76
D00107,5282315,Tacrolimus Hydrate,56
D03252,135413545,Vardenafil Hydrochloride Trihydrate,53
D04024,11557040,Lapatinib Ditosylate,53
D00294,3019,Diazoxide,50
D00184,5280754,Cyclosporine (USP),49
D00528,2519,Caffeine,49
D00437,4485,Nifedipine,37
D01295,71405,Pirenzepine Hydrochloride,35
D00542,3562,Halothane,34
D00227,9433,Aminophylline,27
D00225,2118,Alprazolam,26
D00332,3446,Gabapentin,26
D03781,11983193,Liarozole Fumarate,25
D03784,71454,Liarozole hydrochloride,25
D03778,11954367,Fadrozole Hydrochloride Hemihydrate,24
D00380,5505,Tolbutamide,20
D00394,5584,Trimipramine,19
D00410,4174,Metyrapone,19
D01704,23674745,Sodium 2-(4-(2-oxocyclopentylmethyl)phenyl)propionate dihydrate,19
D02731,135414253,Vardenafil Dihydrochloride,19
D03670,3058754,Deracoxib,19
D00560,16362,Pimozide,19
D00139,4114,8-Methoxypsoralen,18
D00501,4740,Pentoxifylline,18
D00574,2145,Aminoglutethimide,18
D01071,3608,Hexobarbital,18
D01276,117965,"2-Piperidinecarboxamide, 1-butyl-N-(2,6-dimethylphenyl)-, hydrochloride (1:1), (2S)-",18
D00775,5070,Riluzole,18
D00417,4197,Milrinone,17
D00512,1775,Phenytoin,17
D02207,23422,(+)-Tubocurarine chloride pentahydrate,17
D02272,64640,Quinidine sulfate hydrate,17
D01223,185462,Bosentan Monohydrate,16
D00618,4499,Nisoldipine,15
D00629,4507,Nitrendipine,15
D00005,643975,Flavin Adenine Dinucleotide,14
D00538,5734,Zonisamide,14
D00642,64642,Quinaglute (TN),14
D00649,68540,Amiloride Hydrochloride,14
D00043,5936,Diisopropyl Fluorophosphate,13
D01840,163751,Fasudil Hydrochloride,13
D03115,23724856,Fasudil Hydrochloride Hydrate,13
D02880,9910986,Flavopiridol hydrochloride,12
D03365,11954344,Carvedilol Phosphate,12
D00499,4737,Pentobarbital,12
D00160,564,6-Aminohexanoic Acid,11
D00545,3763,Isoflurane,11
D00547,5206,Sevoflurane,11
D00726,4168,Metoclopramide,11
D00638,41022,Flecainide Acetate,11
D00293,3016,Diazepam,10
D00530,5719,Zaleplon,10
D00549,4943,Propofol,10
D03826,6419928,Physostigmine Sulfate,10
D00648,5281065,Ibutilide Fumarate,10
D05156,2735102,Nicotine Bitartrate,10
D00002,5893,Nadide (JAN/USAN/INN),9
D01425,151114,Exatecan Mesylate,9
D01977,123631,Gefitinib,9
D04028,3034010,Orlistat,9
D00303,3114,Disopyramide,9
D00358,3676,Lidocaine,9
D00640,36708,Propafenone Hydrochloride,9
D00732,441348,Chloroprocaine Hydrochloride,9
D00738,66070,Mepivacaine Hydrochloride,9
D00739,73957,Pramoxine Hydrochloride,9
D00740,5795,Procaine Hydrochloride,9
D00741,8695,Tetracaine Hydrochloride,9
D01243,2789,Clobazam,9
D02086,6314,Lidocaine Hydrochloride,9
D02101,6321303,Codeine phosphate hemihydrate,9
D04048,6918111,"(2S)-N-(2,6-dimethylphenyl)-1-propyl-2-piperidinecarboxamide hydrochloride monohydrate",9
D00960,2187,Anastrozole,8
D00964,3902,Letrozole,8
D02451,59694,"Benzonitrile, 4-(5,6,7,8-tetrahydroimidazo(1,5-a)pyridin-5-yl)-, hydrochloride (1:1)",8
D02655,37274,Etazolate Hydrochloride,8
D03218,5328940,Bosutinib,8
D00283,135398737,Clozapine,8
D00252,2554,Carbamazepine,8
D00329,3393,Flurazepam,8
D00548,667484,Etomidate,8
D00550,4192,Midazolam,8
D00616,62920,Diltiazem Hydrochloride,8
D02098,517321,Proparacaine Hydrochloride,8
D03830,3037122,Diltiazem Malate,8
D00371,2153,Theophylline,7
D01690,71764,Alfuzosin Hydrochloride,7
D02042,6918034,Olprinone Hydrochloride Hydrate,7
D02229,135413523,Sildenafil Citrate,7
D03260,6431825,Chlorpromazine Hibenzate,7
D00513,4828,Pindolol,7
D00607,68552,Guanadrel Sulfate,7
D02237,65328,Guanethidine Sulfate,7
D00349,3784,Isradipine,7
D00354,3878,Lamotrigine,7
D00477,66068,Procainamide Hydrochloride,7
D00711,15851,Ketamine Hydrochloride,7
D02087,34632,Ethmozine,7
D03991,48040,Encainide Hydrochloride,7
D00029,171548,Biotin,6
D00231,3698,Amrinone,6
D00401,1349907,Methimazole,6
D00562,657298,Propylthiouracil,6
D00577,448537,Diethylstilbestrol,6
D01133,4823,Pimobendan,6
D01198,60790,Toborinone,6
D01712,157313,Epinastine Hydrochloride,6
D01911,153751,Aclarubicin Hydrochloride,6
D02008,110635,Tadalafil,6
D02017,656652,Oxtriphylline,6
D02756,451415,Aclarubicin,6
D03217,6450551,Axitinib,6
D04023,176871,Erlotinib Hydrochloride,6
D00996,441411,(-)-Epinephrine hydrochloride,6
D00617,41114,Nicardipine Hydrochloride,6
D02253,656845,Pentobarbital Calcium,6
D05453,9795678,Phencyclidine Hydrochloride,6
