kegg_target,target_uniprots,missing_affinity_positive_pairs
hsa:148,P35348,31
hsa:6331,Q14524,27
hsa:6323,P35498,25
hsa:146,P25100,24
hsa:6328,Q9C007;Q9NY46,24
hsa:6329,P35499,24
hsa:147,P35368,23
hsa:6334,Q6B4S4;Q9UQD0,23
hsa:27115,Q9NP56,21
hsa:775,Q13936,21
hsa:6326,Q99250,21
hsa:6335,Q15858,21
hsa:5136,P54750,20
hsa:5137,Q14123,20
hsa:5149,Q13956,20
hsa:8622,B3KN77;O95263,20
hsa:1549,P20853,19
hsa:1572,P24903,18
hsa:1573,P51589,18
hsa:1580,P13584,18
hsa:199974,Q86W10,18
hsa:260293,Q8N118,18
hsa:29785,Q96SQ9,18
hsa:64816,Q9HB55,18
hsa:6336,Q9Y5Y9,18
hsa:50940,Q9HCR9,17
hsa:8645,O95279,17
hsa:778,O60840,17
hsa:155,A8KAG8;P13945,16
hsa:2555,P47869,16
hsa:2556,P34903,16
hsa:2559,Q16445,16
hsa:8912,B3KQH9;O95180,15
hsa:1594,O15528,13
hsa:57053,Q9GZZ6,13
hsa:8973,Q15825,13
hsa:3782,Q9UGI6,13
hsa:786,Q06432,13
hsa:1593,Q02318,12
hsa:284541,Q5TCH4,11
hsa:4051,Q08477,11
hsa:8529,P78329,11
hsa:9023,O95992,11
hsa:3758,A8K432;P48048,11
hsa:3359,B4E398;P46098,11
hsa:783,Q08289,11
hsa:93589,Q7Z3S7,11
hsa:1579,Q02928,10
hsa:51004,Q9Y2Z9,10
hsa:51302,Q9NYL5,10
hsa:9420,O75881;Q05C57,10
hsa:11238,Q9Y2D0,10
hsa:763,P35218,10
hsa:6530,P23975,10
hsa:2560,P18505;X5DNL6,10
hsa:2564,P78334,10
hsa:2567,Q99928,10
hsa:2569,P24046,10
hsa:55879,Q9UN88,10
hsa:3736,Q09470,10
hsa:3741,P22460,10
hsa:8911,Q9P0X4,10
hsa:5742,P23219,9
hsa:1636,B4DKH4;P12821,9
hsa:4593,O15146,9
hsa:1138,P30532;Q6EWN4,9
hsa:51802,Q9NY37,9
hsa:55515,A0A8I5KPF5,9
hsa:6339,P51172,9
hsa:9311,Q9UHC3,9
hsa:3763,P48051,9
hsa:27092,Q9UBN1,9
hsa:3708,Q14643,9
hsa:3710,A6H8K3;Q14573;Q59ES2,9
hsa:55799,Q8IZS8,9
hsa:59284,P62955,9
hsa:9254,Q9NY47,9
hsa:242,O75342,8
hsa:246,P16050,8
hsa:5743,P35354,8
hsa:2321,P17948,8
hsa:285220,Q9UF33,8
hsa:3643,P06213,8
hsa:3645,P14616,8
hsa:10369,Q9Y698,8
hsa:1135,Q15822,8
hsa:5138,O00408;Q8IW54,7
hsa:7153,P11388,7
hsa:7155,Q02880,7
hsa:1816,P21918,7
hsa:154,P07550;X5DQM5,7
hsa:1134,P02708;Q53SH4,7
hsa:285242,A5X5Y0,7
hsa:9177,O95264,7
hsa:3743,Q96RP8,7
hsa:116443,Q8TCU5,7
hsa:1136,P32297,7
hsa:27032,P98194,6
hsa:513,P30049,6
hsa:116447,E5KMK7;Q969P6,6
hsa:59340,Q9H3N8,6
hsa:3780,Q92952,6
hsa:774,Q00975,6
hsa:8913,O43497,6
hsa:779,Q13698,6
hsa:5167,P22413,5
hsa:4025,P22079,5
hsa:8288,P11678,5
hsa:51,Q15067,5
hsa:1733,A8K415;P49895,5
hsa:1734,Q92813,5
hsa:1735,P55073;Q86TU3,5
hsa:476,P05023,5
hsa:3156,P04035,5
hsa:1969,P29317,5
hsa:3480,P08069,5
hsa:5979,P07949,5
hsa:27133,Q8NCM2,5
hsa:3737,P16389,5
hsa:3739,P22459,5
hsa:9312,Q92953,5
hsa:9424,B2RDS2;Q9Y257,5
hsa:776,Q01668;Q59GD8,5
hsa:773,O00555,5
hsa:3781,Q9H2S1,5
hsa:55584,Q9UGM1,5
hsa:5096,P05166,4
hsa:2595,Q8TET4,4
hsa:5140,A7E2E5;Q13370,4
hsa:5151,O60658,4
hsa:43,P22303,4
hsa:1548,P11509,4
hsa:2041,P21709,4
hsa:4233,P08581,4
hsa:1553,Q16696,4
hsa:5739,P43119,4
hsa:5731,P34995,4
hsa:8843,P49019,4
hsa:150,P08913,4
hsa:152,P18825;Q4W594,4
hsa:6531,Q01959,4
hsa:3744,Q16322,4
hsa:6833,Q09428,4
hsa:83795,Q96T55,4
hsa:6332,Q01118,4
hsa:1145,Q04844,4
hsa:3738,P22001,4
hsa:1137,B4DK78;P43681;Q59FV0,4
hsa:1139,P36544,4
hsa:107,Q08828,3
hsa:1806,Q12882,3
hsa:4129,P27338,3
hsa:2328,A0A024R8Z4;P31513;Q53FW5,3
hsa:10846,Q9Y233,3
hsa:5141,P27815,3
hsa:5142,Q07343;X5DNX5,3
hsa:5143,F6R4I1;O43849;Q08493;Q32MM7,3
hsa:5144,A0A140VJR0;Q08499,3
hsa:5147,O43924;Q6IB24,3
hsa:5148,P18545,3
hsa:5150,Q13946,3
hsa:5152,A0A0S2Z4T6;O76083,3
hsa:8654,O76074,3
hsa:133121,Q6UWR7,3
hsa:23236,Q9NQ66,3
hsa:2822,P80108,3
hsa:51172,Q9UK23,3
hsa:5145,P16499,3
hsa:5158,P35913,3
hsa:5332,Q15147,3
hsa:5333,A0A384MR47;A8K8F9;P51178,3
hsa:6610,O60906,3
hsa:84812,Q9BRC7,3
hsa:4881,A0A140VJE6;P16066,3
hsa:10825,Q9UQ49,3
hsa:129807,B3KR54;Q8WWR8,3
hsa:4758,Q5JQI0;Q99519,3
hsa:7150,P11387;Q9BVT2,3
hsa:7156,Q13472,3
hsa:8940,O95985,3
hsa:10461,Q12866,3
hsa:1436,P07333,3
hsa:1956,F2YGG7;F6QWY5;P00533;Q504U8,3
hsa:2042,A0A140VJJ0;P29320;Q6P4R6,3
hsa:2043,P54764,3
hsa:2044,A0A087WX63;A0A384MU00;B7ZKJ3;P54756;Q59FT4,3
hsa:2045,Q15375,3
hsa:2046,P29322,3
hsa:2047,P54762,3
hsa:2048,F6TUL7;P29323;Q4LE53;Q6NVW1,3
hsa:2049,P54753,3
hsa:2050,F6RDZ0;P54760;Q96L35,3
hsa:2051,,3
hsa:2064,P04626;X5DNK3,3
hsa:2065,P21860,3
hsa:2066,Q15303,3
hsa:2260,P11362,3
hsa:2261,P22607;Q0IJ44,3
hsa:2263,P21802,3
hsa:2264,P22455,3
hsa:2322,P36888,3
hsa:2324,P35916,3
hsa:238,B6D4Y2;Q9UM73,3
hsa:3791,P35968,3
hsa:3815,P10721,3
hsa:4058,P29376,3
hsa:4486,Q04912,3
hsa:4914,P04629,3
hsa:4915,Q16620;Q548C2;Q5VWE5,3
hsa:4916,Q16288;X5D2R1,3
hsa:4919,Q01973,3
hsa:4920,Q01974,3
hsa:4921,Q16832,3
hsa:5156,P16234,3
hsa:5159,P09619;Q59F04,3
hsa:558,P30530,3
hsa:5754,Q13308,3
hsa:6098,P08922,3
hsa:6259,P34925;Q59FQ5;Q8WTZ8,3
hsa:7010,Q02763;Q59HG2,3
hsa:7075,P35590,3
hsa:7301,Q06418,3
hsa:780,Q08345,3
hsa:1543,A0N0X8;P04798,3
hsa:1544,P05177,3
hsa:1545,Q16678;Q53TK1,3
hsa:1551,P24462,3
hsa:1555,P20813,3
hsa:1557,P33261,3
hsa:1558,P10632,3
hsa:1559,P11712,3
hsa:1562,P33260;Q7Z348,3
hsa:1565,C1ID52;P10635;Q5Y7H2,3
hsa:1571,P05181,3
hsa:1576,P08684;Q6GRK0,3
hsa:1577,P20815,3
hsa:1588,P11511;Q8IYG4;Q8TCA4,3
hsa:5737,P43088,3
hsa:136,P29275,3
hsa:153,P08588,3
hsa:151,P18089,3
hsa:3351,A8K215;P28222;X5D7I5,3
hsa:3352,P28221,3
hsa:222545,Q5T6X5,3
hsa:116444,O60391;Q5F0I5,3
hsa:2905,A0A8D9PH81;O15398;Q14957,3
hsa:2906,O15399;Q59G17,3
hsa:2570,P28476,3
hsa:3747,Q96PR1,3
hsa:56659,Q9HB14,3
hsa:81033,B4DKC0;Q9H252,3
hsa:90134,Q9NS40,3
hsa:777,Q15878;Q59FG1,3
hsa:3767,B2RC52;Q14654,3
hsa:781,P54289,3
hsa:170572,Q8WXA8,3
hsa:200909,Q70Z44,3
hsa:2554,A8K177;P14867,3
hsa:2557,P48169;X5D7F5,3
hsa:2558,P31644,3
hsa:2326,B2RCG5;Q01740,2
hsa:31,Q13085,2
hsa:10295,O14874,2
hsa:10279,Q9NQE7,2
hsa:23430,Q9BZJ3,2
hsa:23436,P08861,2
hsa:49,P10323,2
hsa:5122,P29120,2
hsa:5126,P16519,2
hsa:5645,P07478;Q5NV56;Q6PK75,2
hsa:63036,P08217,2
hsa:7174,P29144,2
hsa:1033,Q16667,2
hsa:11072,O95147;Q6FI36,2
hsa:11221,Q9Y6W6,2
hsa:11266,Q9UNI6,2
hsa:128853,Q9H1R2,2
hsa:132160,Q96MI6,2
hsa:134510,Q8WVY7,2
hsa:142679,Q8WTR2,2
hsa:150290,Q8NEJ0,2
hsa:1843,B4DU40;P28562,2
hsa:1844,Q05923,2
hsa:1845,P51452,2
hsa:1846,Q13115,2
hsa:1847,Q16690,2
hsa:1848,Q16828,2
hsa:1849,Q16829,2
hsa:1850,Q13202,2
hsa:1852,Q6P9C2;Q99956,2
hsa:22843,Q8WY54,2
hsa:23035,Q6ZVD8,2
hsa:23239,O60346,2
hsa:28227,Q9Y5P8,2
hsa:51207,Q6B8I1;Q9UII6,2
