reason,category,kegg_drug,pubchem_cid,ligand_title,kegg_target,target_uniprots
missing_uniprot_affinity_for_target,enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:107,Q08828
missing_uniprot_affinity_for_target,enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:108,Q08462;Q71UM8
missing_uniprot_affinity_for_target,enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:109,O60266
missing_uniprot_affinity_for_target,enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:111,A0A384P5Q5;B7Z2C7;O95622
missing_uniprot_affinity_for_target,enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:112,O43306
missing_uniprot_affinity_for_target,enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:113,P51828;Q86YI0
missing_uniprot_affinity_for_target,enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:114,A0A0K0K1K3;P40145;Q4F7X0
missing_uniprot_affinity_for_target,enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:115,O60503
missing_uniprot_affinity_for_target,enzyme,D00002,5893,Nadide (JAN/USAN/INN),hsa:196883,Q8NFM4
missing_ligand_affinity_file,enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:1610,A0A024RBI1;P14920
missing_ligand_affinity_file,enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:1728,P15559
missing_ligand_affinity_file,enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:1806,Q12882
missing_ligand_affinity_file,enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:2232,A0A0A0MT64;P22570
missing_ligand_affinity_file,enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:2326,B2RCG5;Q01740
missing_ligand_affinity_file,enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:2639,Q92947
missing_ligand_affinity_file,enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:27034,Q9UKU7
missing_ligand_affinity_file,enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:2936,P00390;V9HW90
missing_ligand_affinity_file,enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:34,A0A0S2Z366;P11310
missing_ligand_affinity_file,enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:35,E5KSD5;P16219
missing_ligand_affinity_file,enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:3712,A0A0A0MT83;A0ACM8RFH8;P26440
missing_ligand_affinity_file,enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:4129,P27338
missing_ligand_affinity_file,enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:4835,B3KPX6;P16083
missing_ligand_affinity_file,enzyme,D00005,643975,Flavin Adenine Dinucleotide,hsa:7498,P47989
missing_uniprot_affinity_for_target,enzyme,D00007,33032,L-Glutamic Acid,hsa:31,Q13085
missing_uniprot_affinity_for_target,enzyme,D00018,54670067,L-Ascorbic Acid,hsa:5351,Q02809
missing_uniprot_affinity_for_target,enzyme,D00027,1174,Uracil,hsa:1806,Q12882
missing_uniprot_affinity_for_target,enzyme,D00029,171548,Biotin,hsa:31,Q13085
missing_uniprot_affinity_for_target,enzyme,D00029,171548,Biotin,hsa:3141,P50747
missing_uniprot_affinity_for_target,enzyme,D00029,171548,Biotin,hsa:32,O00763
missing_uniprot_affinity_for_target,enzyme,D00029,171548,Biotin,hsa:5096,P05166
missing_uniprot_affinity_for_target,enzyme,D00029,171548,Biotin,hsa:64087,A0A140VK29;Q9HCC0
missing_uniprot_affinity_for_target,enzyme,D00029,171548,Biotin,hsa:686,P43251
missing_uniprot_affinity_for_target,enzyme,D00032,6274,L-Histidine,hsa:3034,P42357
missing_uniprot_affinity_for_target,enzyme,D00035,145742,L-Proline,hsa:5625,O43272
missing_uniprot_affinity_for_target,enzyme,D00037,311,Citric Acid,hsa:50,Q99798
missing_uniprot_affinity_for_target,enzyme,D00039,6287,L-Valine,hsa:10295,O14874
missing_uniprot_affinity_for_target,enzyme,D00039,6287,L-Valine,hsa:4329,A0A024R6G4;Q02252
missing_uniprot_affinity_for_target,enzyme,D00039,6287,L-Valine,hsa:5096,P05166
missing_uniprot_affinity_for_target,enzyme,D00039,6287,L-Valine,hsa:57176,A0A0G2JH62;B4DG77;B4E0K6;Q5ST30
