kegg_drug,pubchem_cid,ligand_title,missing_positive_pairs
D00005,643975,Flavin Adenine Dinucleotide,14
D00106,5280427,"5-[(3aR,4R,5R,6aS)-5-hydroxy-4-[(E,3S)-3-hydroxyoct-1-enyl]-3,3a,4,5,6,6a-hexahydrocyclopenta[b]furan-2-ylidene]pentanoic acid",1
D00107,5282315,Tacrolimus Hydrate,56
D00158,23677829,Tolmetin sodium dihydrate,2
D00184,5280754,Cyclosporine (USP),49
D00227,9433,Aminophylline,27
D00324,11954221,"6alpha-Fluoro-11beta,16alpha,17,21-tetrahydroxypregna-1,4-diene-3,20-dione cyclic 16,17-acetal with acetone, hemihydrate",1
D00362,5362118,Lisinopril dihydrate,1
D00442,383414,Octreotide (USAN/INN),2
D00559,166589,Pramipexole dihydrochloride monohydrate,1
D00579,44561,Foscarnet Sodium,1
D00601,441308,Metoprolol Tartrate,2
D00607,68552,Guanadrel Sulfate,7
D00615,60496,Amlodipine Besylate,5
D00616,62920,Diltiazem Hydrochloride,8
D00617,41114,Nicardipine Hydrochloride,6
D00621,5388961,Enalapril Maleate,1
D00623,54889,Moexipril Hydrochloride,1
D00635,62937,Metoprolol Succinate,2
D00648,5281065,Ibutilide Fumarate,10
D00649,68540,Amiloride Hydrochloride,14
D00675,77997,Rizatriptan Benzoate,2
D00683,39859,Albuterol Sulfate,1
D00687,56801,Salmeterol Xinafoate,1
D00688,441334,Terbutaline Sulfate,1
D00739,73957,Pramoxine Hydrochloride,9
D00759,62886,Cisatracurium Besylate,1
D00760,60168,Doxacurium chloride [VANDF],2
D00791,67356,Fluphenazine Hydrochloride,1
D00799,66064,Trifluoperazine Hydrochloride,1
D00826,23724784,bis((1R)-2-phenylcyclopropan-1-amine);sulfuric acid,2
D00827,5282387,Magnesium salicylate hydrate,2
D00829,441361,"Ornithine, 2-(difluoromethyl)-, hydrochloride, hydrate (1:1:1)",1
