Feature Set,Classifier,Train Rows,Test Rows,Features,CV PR AUC,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,False Positive Rate,False Negative Rate
pubchem_only,Logistic L2 tuned,5816,1454,30,nan,0.5502063273727648,0.5500685871056241,0.5515818431911967,0.5508241758241759,0.5841883794455933,0.5834055060001108,0.4511691884456671,0.4484181568088033
pubchem_only,Linear SGD tuned,5816,1454,30,nan,0.547455295735901,0.545816733067729,0.5653370013755158,0.5554054054054054,0.5620193026305084,0.5581508119665445,0.47042640990371387,0.4346629986244842
pubchem_only,Random Forest tuned,5816,1454,30,nan,0.6987620357634112,0.7032348804500703,0.687757909215956,0.6954102920723226,0.7228250483890193,0.7257885547889232,0.2902338376891334,0.312242090784044
pubchem_only,Extra Trees tuned,5816,1454,30,nan,0.7042640990371389,0.7295208655332303,0.6492434662998624,0.6870451237263464,0.7156021713094266,0.6868554141598641,0.2407152682255846,0.35075653370013754
pubchem_only,Gradient Boosting tuned,5816,1454,30,nan,0.6795048143053645,0.6998468606431854,0.6286107290233838,0.6623188405797101,0.7242885442426055,0.7382882327478718,0.2696011004126547,0.3713892709766162
pubchem_only,Hist Gradient Boosting tuned,5816,1454,30,nan,0.7056396148555708,0.7254901960784313,0.6616231086657497,0.6920863309352518,0.7372206633883855,0.7511995093432315,0.25034387895460797,0.33837689133425036
pubchem_only,AdaBoost tuned,5816,1454,30,nan,0.5502063273727648,0.5520684736091298,0.53232462173315,0.542016806722689,0.5996596213263605,0.6132036355727041,0.43191196698762035,0.4676753782668501
maccs_only,Logistic L2 tuned,5816,1454,166,nan,0.6361760660247593,0.6337837837837837,0.6451169188445667,0.6394001363326517,0.6805407082676636,0.6673913179597772,0.37276478679504815,0.35488308115543327
maccs_only,Linear SGD tuned,5816,1454,166,nan,0.5880330123796423,0.5916905444126075,0.5680880330123796,0.5796491228070175,0.6242183494188588,0.6066206158726843,0.3920220082530949,0.43191196698762035
maccs_only,Random Forest tuned,5816,1454,166,nan,0.6994497936726273,0.7065527065527065,0.6822558459422283,0.6941917424772568,0.7257917730152934,0.7258219567782065,0.2833562585969739,0.3177441540577717
maccs_only,Extra Trees tuned,5816,1454,166,nan,0.7028885832187071,0.7279752704791345,0.6478679504814305,0.6855895196506551,0.7170013376749431,0.6891150935228716,0.24209078404401652,0.35213204951856947
maccs_only,Gradient Boosting tuned,5816,1454,166,nan,0.6753782668500687,0.6982892690513219,0.6176066024759285,0.6554744525547446,0.7151594330680058,0.72130634231314,0.2668500687757909,0.38239339752407153
maccs_only,Hist Gradient Boosting tuned,5816,1454,166,nan,0.7042640990371389,0.7274119448698315,0.6533700137551581,0.6884057971014492,0.7446545033479715,0.755950449924953,0.24484181568088034,0.3466299862448418
maccs_only,AdaBoost tuned,5816,1454,166,nan,0.5667125171939478,0.573820395738204,0.5185694635488308,0.5447976878612717,0.6212128378953662,0.6296358996003093,0.38514442916093533,0.4814305364511692
pubchem_plus_maccs,Logistic L2 tuned,5816,1454,196,nan,0.6451169188445667,0.6401062416998672,0.6629986244841816,0.6513513513513514,0.6914369883204139,0.679102356858482,0.37276478679504815,0.33700137551581844
pubchem_plus_maccs,Linear SGD tuned,5816,1454,196,nan,0.5777166437414031,0.576043068640646,0.5887207702888583,0.582312925170068,0.6232855718418479,0.5997148606316176,0.4332874828060523,0.41127922971114167
pubchem_plus_maccs,Random Forest tuned,5816,1454,196,nan,0.7015130674002751,0.7066290550070522,0.6891334250343879,0.6977715877437326,0.7247899358407959,0.7273419240783472,0.2861072902338377,0.3108665749656121
pubchem_plus_maccs,Extra Trees tuned,5816,1454,196,nan,0.7042640990371389,0.7295208655332303,0.6492434662998624,0.6870451237263464,0.7161451878704859,0.6871333614912518,0.2407152682255846,0.35075653370013754
pubchem_plus_maccs,Gradient Boosting tuned,5816,1454,196,nan,0.6643741403026134,0.6796992481203008,0.6217331499312242,0.6494252873563219,0.7137413462648218,0.733781251675903,0.29298486932599727,0.3782668500687758
pubchem_plus_maccs,Hist Gradient Boosting tuned,5816,1454,196,nan,0.7042640990371389,0.7239819004524887,0.6602475928473177,0.6906474820143885,0.7373502683864084,0.7512470328216292,0.2517193947730399,0.33975240715268223
pubchem_plus_maccs,AdaBoost tuned,5816,1454,196,nan,0.5777166437414031,0.5844544095665172,0.5378266850068776,0.5601719197707736,0.622087908137491,0.6348091747682073,0.38239339752407153,0.4621733149931224
target_only,Logistic L2 tuned,5816,1454,3,nan,0.5020632737276479,0.5032967032967033,0.3149931224209078,0.38747884940778343,0.5665261508829222,0.5388314182691543,0.3108665749656121,0.6850068775790922
target_only,Linear SGD tuned,5816,1454,3,nan,0.5281980742778541,0.5623100303951368,0.2544704264099037,0.3503787878787879,0.5591396120175052,0.5404539864782897,0.19807427785419532,0.7455295735900963
target_only,Random Forest tuned,5816,1454,3,nan,0.6829436038514443,0.6675062972292192,0.7290233837689133,0.6969099276791585,0.7094208643234334,0.692578536169867,0.3631361760660248,0.27097661623108665
target_only,Extra Trees tuned,5816,1454,3,nan,0.6836313617606602,0.6856745479833102,0.6781292984869326,0.681881051175657,0.706765380896791,0.6815967912269277,0.3108665749656121,0.3218707015130674
target_only,Gradient Boosting tuned,5816,1454,3,nan,0.6513067400275103,0.6364764267990074,0.7056396148555708,0.6692759295499021,0.6970790628328815,0.7009640100923561,0.4030261348005502,0.29436038514442914
target_only,Hist Gradient Boosting tuned,5816,1454,3,nan,0.6753782668500687,0.6657997399219766,0.7042640990371389,0.6844919786096256,0.7221268842390862,0.7165325626515378,0.3535075653370014,0.29573590096286106
target_only,AdaBoost tuned,5816,1454,3,nan,0.5804676753782668,0.5571847507331378,0.7840440165061898,0.6514285714285715,0.6078077078078971,0.5790766844765479,0.6231086657496562,0.21595598349381018
pubchem_plus_target,Logistic L2 tuned,5816,1454,33,nan,0.5605226960110041,0.5626780626780626,0.5433287482806052,0.5528341497550735,0.5984875002128549,0.5806632657009161,0.422283356258597,0.45667125171939477
pubchem_plus_target,Linear SGD tuned,5816,1454,33,nan,0.5508940852819807,0.5422374429223744,0.6533700137551581,0.5926388022457891,0.5673482438995778,0.5618545970235403,0.5515818431911967,0.3466299862448418
pubchem_plus_target,Random Forest tuned,5816,1454,33,nan,0.8060522696011004,0.8147100424328148,0.7922971114167813,0.803347280334728,0.8650301118765479,0.8763768521581492,0.18019257221458046,0.2077028885832187
pubchem_plus_target,Extra Trees tuned,5816,1454,33,nan,0.7558459422283357,0.7597765363128491,0.7482806052269602,0.753984753984754,0.8215462160070686,0.836342164598511,0.23658872077028886,0.2517193947730399
pubchem_plus_target,Gradient Boosting tuned,5816,1454,33,nan,0.7145804676753783,0.7172701949860725,0.7083906464924347,0.71280276816609,0.7760103986725421,0.7868140642245316,0.2792297111416781,0.29160935350756534
pubchem_plus_target,Hist Gradient Boosting tuned,5816,1454,33,nan,0.797799174690509,0.8188512518409425,0.7647867950481431,0.7908961593172119,0.8668512040020511,0.872830765069848,0.16918844566712518,0.23521320495185694
pubchem_plus_target,AdaBoost tuned,5816,1454,33,nan,0.6066024759284732,0.5974842767295597,0.6533700137551581,0.6241787122207622,0.646668394733307,0.6404911583907759,0.4401650618982118,0.3466299862448418
maccs_plus_target,Logistic L2 tuned,5816,1454,169,nan,0.6313617606602476,0.6295793758480326,0.6382393397524071,0.6338797814207651,0.6809427675680993,0.6639496540464493,0.37551581843191195,0.36176066024759285
