Feature Set,Classifier,Train Rows,Test Rows,Features,CV PR AUC,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,False Positive Rate,False Negative Rate
target_basic_only,Random Forest tuned,5816,1454,3,nan,0.6829436038514443,0.6675062972292192,0.7290233837689133,0.6969099276791585,0.7094208643234334,0.692578536169867,0.3631361760660248,0.27097661623108665
target_basic_only,Extra Trees tuned,5816,1454,3,nan,0.6836313617606602,0.6856745479833102,0.6781292984869326,0.681881051175657,0.706765380896791,0.6815967912269277,0.3108665749656121,0.3218707015130674
target_basic_only,Hist Gradient Boosting tuned,5816,1454,3,nan,0.6753782668500687,0.6657997399219766,0.7042640990371389,0.6844919786096256,0.7221268842390862,0.7165325626515378,0.3535075653370014,0.29573590096286106
target_rich_only,Random Forest tuned,5816,1454,434,nan,0.6850068775790922,0.6709021601016518,0.7262723521320495,0.6974900924702774,0.7094568131550019,0.6924129920604073,0.3562585969738652,0.2737276478679505
target_rich_only,Extra Trees tuned,5816,1454,434,nan,0.6836313617606602,0.6856745479833102,0.6781292984869326,0.681881051175657,0.706765380896791,0.6815967912269277,0.3108665749656121,0.3218707015130674
target_rich_only,Hist Gradient Boosting tuned,5816,1454,434,nan,0.687757909215956,0.675224646983312,0.7235213204951857,0.6985391766268261,0.7100963239481655,0.6969481765332114,0.34800550206327374,0.2764786795048143
maccs_plus_target,Random Forest tuned,5816,1454,169,nan,0.7792297111416782,0.7891737891737892,0.7620357634112792,0.7753673897830651,0.84596020275141,0.8592621005294285,0.20357634112792297,0.23796423658872076
maccs_plus_target,Extra Trees tuned,5816,1454,169,nan,0.7469050894085282,0.7469050894085282,0.7469050894085282,0.7469050894085282,0.8021574975072323,0.8088148752753458,0.2530949105914718,0.2530949105914718
maccs_plus_target,Hist Gradient Boosting tuned,5816,1454,169,nan,0.8005502063273727,0.8227474150664698,0.7661623108665749,0.7934472934472935,0.8767579451647876,0.8838990960202127,0.16506189821182943,0.23383768913342504
pubchem_plus_maccs_plus_target,Random Forest tuned,5816,1454,199,nan,0.7778541953232462,0.791907514450867,0.7537826685006878,0.7723749119097957,0.8365066060708116,0.8531296461008147,0.19807427785419532,0.24621733149931224
pubchem_plus_maccs_plus_target,Extra Trees tuned,5816,1454,199,nan,0.7420907840440165,0.7424242424242424,0.7414030261348006,0.741913282863042,0.7935827551562923,0.8055415408549693,0.25722145804676755,0.2585969738651995
pubchem_plus_maccs_plus_target,Hist Gradient Boosting tuned,5816,1454,199,nan,0.8053645116918845,0.8162393162393162,0.7881705639614855,0.8019594121763471,0.8714507623990358,0.8762358883874529,0.17744154057771663,0.21182943603851445
maccs_plus_target_rich,Random Forest tuned,5816,1454,600,nan,0.7537826685006878,0.7558945908460472,0.749656121045392,0.7527624309392266,0.8120084233788496,0.845278012864235,0.24209078404401652,0.25034387895460797
maccs_plus_target_rich,Extra Trees tuned,5816,1454,600,nan,0.8266850068775791,0.8457059679767104,0.7991746905089409,0.8217821782178217,0.8839723080474297,0.9055111338369453,0.14580467675378267,0.20082530949105915
maccs_plus_target_rich,Hist Gradient Boosting tuned,5816,1454,600,nan,0.8005502063273727,0.79890560875513,0.8033012379642366,0.8010973936899863,0.8700279454864349,0.878284316895101,0.20220082530949107,0.19669876203576342
pubchem_plus_maccs_plus_target_rich,Random Forest tuned,5816,1454,630,nan,0.7751031636863824,0.7793296089385475,0.7675378266850069,0.7733887733887734,0.8452800130172611,0.8645651562705062,0.2173314993122421,0.2324621733149931
pubchem_plus_maccs_plus_target_rich,Extra Trees tuned,5816,1454,630,nan,0.8383768913342503,0.8514285714285714,0.8198074277854195,0.8353188507358094,0.8972374268961589,0.9161534468279181,0.14305364511691884,0.18019257221458046
pubchem_plus_maccs_plus_target_rich,Hist Gradient Boosting tuned,5816,1454,630,nan,0.8246217331499313,0.8268698060941828,0.8211829436038515,0.8240165631469979,0.8877166626618405,0.894019545240009,0.171939477303989,0.17881705639614856
