pubchem_cid,target_count
5287969,288
5280343,136
5280863,58
5280443,56
65064,52
5311,37
5280805,25
2662,22
338,21
5994,19
126941,19
5757,18
42611257,18
6013,17
119031,17
71496458,16
446504,16
72281,15
3672,15
445858,15
443600,14
132519,14
1103,14
896,13
5281654,13
5281794,13
156391,12
5281612,11
4680,11
289,11
442793,10
2244,10
54726191,10
466151,9
5154,8
10089677,8
5280666,7
1794427,6
5997,6
10207,6
54671203,6
10621,6
931,5
5280363,5
5360515,5
3519,5
442428,5
31423,4
5284594,4
4218,4
4219,4
638015,3
7047,3
10364,3
107735,3
91435,3
4091,3
4369084,3
107985,3
10341,3
5281613,3
4369080,3
7002,2
131679,2
11828024,2
166558,2
854026,2
79025,2
445354,2
938,2
9892288,2
150311,2
637775,2
15664,2
1005,2
493570,2
10208,2
5889,1
90311989,1
10329,1
122327,1
1140,1
995,1
724,1
2336,1
74318,1
83489,1
114627,1
137319706,1
568,1
44246499,1
6989,1
2116,1
9171,1
442431,1
5978,1
439168,1
130275496,1
