pubchem_cid,target_count
2520,162
2519,151
5282418,139
3019,103
4485,101
3562,100
2118,77
3446,77
89594,76
135413545,76
11557040,76
6444692,76
176871,76
123631,76
5328940,76
4740,76
3058754,74
5282315,71
5936,67
5893,65
4197,65
5280754,62
5505,61
5584,61
3608,60
4174,58
2145,58
1775,56
4114,56
564,55
185462,53
135398737,47
5070,47
4168,46
16362,43
5734,42
71405,42
9433,39
157313,38
4507,35
4499,35
135398745,34
71454,34
2187,34
11983193,34
3902,34
11954367,32
448537,32
59694,32
4828,32
151114,32
4737,31
2153,30
3698,29
6918034,29
71764,29
110635,29
6450551,29
135414253,29
656652,29
135413523,29
23674745,29
4823,29
37274,29
6431825,29
60790,29
5206,28
3016,28
3559,27
117965,26
3763,25
1983,25
4943,24
3182,24
643975,23
23422,23
444795,22
64640,22
64642,22
5358,22
2554,22
15851,21
5719,21
4192,21
2720,20
3639,20
3393,19
1986,19
3114,19
667484,19
68844,19
4100,19
3038,19
13290219,19
6918132,19
60692,19
68540,18
4940,18
2337,18
5831,18
2726,17
23724856,16
311,16
1349907,16
163751,16
4927,16
11954344,16
9910986,15
5440,15
2769,15
6420042,14
5281065,14
6419928,14
9795678,14
3034010,14
5795,14
2735102,14
64119,14
3117,14
5381,14
121587,14
5339,14
41022,14
5938,13
5362471,13
3385,13
6321303,13
656631,13
13221,13
6083,13
9859832,13
60795,13
657298,13
122142,13
3784,13
338,12
4205,12
441411,12
5282375,12
5815,12
8695,11
171548,11
6918111,11
4748,11
6287,11
6314,11
3676,11
68304,11
2789,11
9270,11
73957,11
4781,11
441348,11
66070,11
36708,11
54676038,10
6306,10
2247,10
3825,10
2329,10
517321,10
656664,10
2585,10
4078,10
11954253,10
4055,10
34632,9
108173,9
48040,9
3226,9
66068,9
5717,9
4116,9
21467,9
3715,9
156391,9
174174,9
10429215,9
3672,9
3878,9
6140,9
71177,9
3037122,8
3440,8
656845,8
153751,8
145742,8
68552,8
22502,8
23724987,8
5265,8
451415,8
62920,8
65328,8
54343,8
65889,8
50294,8
42113,8
4917,8
5405,8
3647,7
60662,7
5284627,7
62969,7
2381,7
444305,7
4121,7
5560,7
68546,7
41114,7
4497,7
66259,7
3055,7
91430,7
62770,7
3488,7
5593,7
657201,7
2803,7
4634,6
156413,6
23724898,6
71329,6
3100,6
60699,6
4011,6
3333,6
60837,6
443879,6
65340,6
2315,6
19648,6
11953898,6
11954371,6
59774,6
123596,6
6918003,6
2733,6
938,6
60750,6
1548887,6
2343,6
60855,6
49659,6
2405,6
55245,6
78000,6
6435922,6
60496,6
472335,6
11693,6
37542,6
3331,5
62882,5
39147,5
59772,5
27072,5
5282421,5
156665,5
2161,5
20179,5
3964,5
23669229,5
41774,5
4679,5
36811,5
60198,5
31477,5
441351,5
3033824,5
60168,5
656783,5
656677,5
3702,5
158550,5
1978,5
441314,5
2176,5
13109,4
21850,4
9907628,4
6049,4
124886,4
3025,4
60857,4
11954233,4
5284583,4
10917,4
47576,4
3284,4
60824,4
54405,4
3386,4
985,4
6446650,4
44571,4
5816,4
26758,4
4493,4
