pubchem_cid,target_count
2519,64
2520,56
89594,49
6444692,47
3562,46
176871,46
4485,44
5328940,44
123631,43
5936,37
3446,36
3058754,36
2118,34
4740,34
3019,33
564,30
4197,30
1775,30
5893,28
5584,28
3608,28
5505,27
2145,27
4114,26
4174,26
135398737,25
4168,21
185462,21
157313,20
135398745,19
5734,17
16362,17
2187,17
3902,17
4828,16
59694,16
448537,15
151114,15
5070,15
4499,15
4507,15
3698,13
3016,13
2153,13
4823,13
60790,13
110635,13
656652,13
6450551,13
1983,12
3639,12
5358,12
2720,12
5206,12
71764,12
6918034,12
135413523,12
6431825,12
4737,12
3559,11
1986,11
3038,11
68844,11
6918132,11
4100,11
13290219,11
37274,11
60692,11
5440,11
4940,11
311,10
444795,10
3117,10
2726,10
4927,10
3182,10
4943,10
2337,10
2554,9
3763,9
5339,8
4781,8
4192,8
656631,8
64119,8
338,7
3672,7
3825,7
4205,7
60795,7
4055,7
6083,7
54676038,7
122142,7
5831,7
3393,7
5719,7
667484,7
9270,7
6140,6
156391,6
3715,6
2769,6
2329,6
121587,6
3114,6
15851,6
9859832,6
5282375,6
5381,6
6306,5
2247,5
4748,5
3385,5
62770,5
4078,5
174174,5
4917,5
71177,5
10429215,5
5815,5
5362471,5
13221,5
27072,5
23669229,5
444305,4
4075,4
5405,4
3331,4
5284627,4
3226,4
4116,4
2315,4
2343,4
3647,4
4121,4
5560,4
2733,4
60750,4
985,4
2585,4
54343,4
23724898,4
3784,4
68304,4
9795678,4
55245,4
171548,3
145742,3
6287,3
1548887,3
41774,3
2796,3
3100,3
37542,3
2662,3
441314,3
123596,3
60699,3
2405,3
4011,3
472335,3
876,3
4679,3
657201,3
2803,3
5593,3
91430,3
20179,3
68546,3
59772,3
2381,3
441411,3
66259,3
5265,3
65889,3
54405,3
3964,3
3055,3
156665,3
5284603,3
3333,3
3440,3
42113,3
21467,3
64642,3
5795,3
158550,3
5282415,3
656664,3
108173,3
22502,3
6420042,3
124886,2
6274,2
243,2
6288,2
938,2
493570,2
6049,2
2244,2
36462,2
54676228,2
3059,2
4044,2
23663959,2
4421,2
2764,2
5983,2
5746,2
3308,2
3365,2
3394,2
3957,2
1349907,2
4189,2
4409,2
54454,2
5359,2
4614,2
61100,2
657298,2
16760658,2
5090,2
4754,2
5281055,2
5965,2
5741,2
3284,2
5284583,2
3025,2
5281078,2
26758,2
5853,2
54686350,2
84003,2
68553,2
60198,2
4493,2
54677470,2
23681059,2
163727,2
122824,2
3673,2
5526,2
610479,2
216457,2
5282408,2
9878,2
92727,2
2097,2
5720,2
5485193,2
10649,2
1981,2
3475,2
5362115,2
23675769,2
4237,2
636362,2
54677971,2
5147,2
54690031,2
636399,2
150311,2
159271,2
10547,2
65348,2
2179,2
53359,2
4037,2
3342,2
5509,2
34521,2
44571,2
4235,2
3052775,2
60824,2
9373,2
3748,2
3759,2
52542,2
119607,2
129791,2
166558,2
2266,2
189729,2
123619,2
208910,2
151166,2
119828,2
159324,2
60781,2
170321,2
71355,2
156422,2
77991,2
31703,2
8366,2
6047,2
5816,2
2249,2
5702160,2
5717,2
60857,2
5282381,2
39147,2
5833,2
4634,2
62882,2
11693,2
107952,2
65999,2
65324,2
6100,2
443879,2
441351,2
667467,2
3033053,2
28620,2
2176,2
5282421,2
656783,2
11224,2
1978,2
31477,2
82148,2
21850,2
3033824,2
66383,2
50963,2
36811,2
3038222,2
208850,2
50294,2
3702,2
47576,2
3291,2
62969,2
71329,2
11954253,2
5360696,2
5994,2
5757,2
6446,2
13109,2
104741,2
1547484,2
54900,2
40973,2
259331,2
33032,1
54670067,1
1174,1
936,1
135398641,1
967,1
135398658,1
126941,1
5578,1
13769,1
439693,1
6253,1
5280954,1
1989,1
135398513,1
135401907,1
44093,1
358641,1
2724385,1
3324,1
9642,1
15209,1
135398740,1
5905,1
53232,1
460612,1
5484727,1
5556,1
6256,1
135398741,1
60490,1
4201,1
5362129,1
5342,1
54891,1
4911,1
7550,1
4993,1
5852,1
34312,1
3476,1
5362123,1
441313,1
3899,1
441350,1
5281081,1
4659569,1
23663992,1
23679527,1
16759173,1
78000,1
60855,1
441401,1
8307,1
8288,1
135400182,1
443873,1
9051,1
216322,1
20279,1
65326,1
5282183,1
1549120,1
444025,1
133264,1
6215,1
160024,1
71992,1
30751,1
121586,1
9574101,1
23678981,1
10917,1
247839,1
5962,1
444972,1
445639,1
1613,1
1549008,1
657348,1
3295,1
9570076,1
467825,1
6918078,1
23683779,1
5463984,1
5493444,1
6726,1
444031,1
15895902,1
11954363,1
26757,1
5464201,1
64922,1
3086651,1
135462830,1
54892,1
107807,1
10457278,1
71320,1
6917815,1
6917956,1
6850814,1
62956,1
107994,1
3033702,1
11954368,1
107706,1
157838,1
190816,1
5278,1
5724,1
132228,1
135413520,1
1967,1
204101,1
5790,1
9651,1
135398748,1
4771,1
5583,1
5280723,1
2284,1
2756,1
23724775,1
16078,1
60846,1
3001055,1
5073,1
3033637,1
6014,1
441278,1
5311068,1
10660,1
2541,1
3749,1
5910,1
5281068,1
23724780,1
3033332,1
60875,1
35329,1
115366,1
31100,1
65494,1
54746,1
107979,1
27522,1
443939,1
4066,1
5468,1
443958,1
3395,1
151170,1
54384,1
3151,1
5284472,1
2161,1
5311225,1
5282469,1
5282474,1
2083,1
3105,1
9681,1
4171,1
33572,1
6917793,1
5311064,1
5312153,1
2157,1
31101,1
5311035,1
9869929,1
2973,1
5281037,1
5702063,1
3762,1
15130,1
14677,1
5360515,1
158781,1
41693,1
135409453,1
2170,1
3386,1
3478,1
3488,1
31640,1
5503,1
5576,1
4497,1
4616,1
4909,1
8280,1
4906,1
91725,1
41022,1
23706210,1
3373,1
5281077,1
24244,1
11065,1
62857,1
2910,1
71793,1
119442,1
6914273,1
68617,1
43815,1
2479,1
9034,1
3032285,1
38945,1
5997,1
5870,1
6013,1
5754,1
5280453,1
8955,1
10133,1
6230,1
5280793,1
5280795,1
135398735,1
5281004,1
5311071,1
23667301,1
5282379,1
5878,1
4763,1
