Feature Set,Classifier,Before Accuracy,After Accuracy,Delta Accuracy,Before F1 Score,After F1 Score,Delta F1 Score,Before ROC AUC,After ROC AUC,Delta ROC AUC,Before PR AUC,After PR AUC,Delta PR AUC
affinity,Gradient Boosting,0.5238970588235294,0.5,-0.023897058823529438,0.5028790786948176,0.56,0.057120921305182426,0.5412825746107266,0.42499999999999993,-0.11628257461072666,0.5545970989062097,0.5597631900263479,0.0051660911201382165
affinity,KNN,0.5183823529411765,0.36363636363636365,-0.15474598930481287,0.5218978102189781,0.4166666666666667,-0.10523114355231139,0.5395389543685122,0.3125,-0.22703895436851218,0.5241343851427698,0.45914502164502163,-0.06498936349774814
affinity,Logistic Regression,0.5266544117647058,0.5,-0.026654411764705843,0.5454545454545454,0.5217391304347826,-0.02371541501976282,0.5531432471885813,0.4666666666666667,-0.08647658052191465,0.564197802547701,0.5946382321382321,0.03044042959053106
affinity,Random Forest,0.5110294117647058,0.45454545454545453,-0.05648395721925131,0.5083179297597042,0.5,-0.008317929759704246,0.5235811121323529,0.31666666666666665,-0.20691444546568627,0.5196728316164978,0.44913951359384796,-0.07053331802264984
affinity,SVM,0.5395220588235294,0.5,-0.03952205882352944,0.5269121813031161,0.35294117647058826,-0.17397100483252786,0.552815473615917,0.43333333333333335,-0.11948214028258364,0.54759048950897,0.5518141580641581,0.004223668555188076
pairwise,Gradient Boosting,0.5818014705882353,0.5,-0.08180147058823528,0.5897204688908927,0.5217391304347826,-0.0679813384561101,0.6289670739619377,0.5166666666666666,-0.11230040729527113,0.6109932495496123,0.6133741215784559,0.002380872028843628
pairwise,KNN,0.5845588235294118,0.45454545454545453,-0.13001336898395727,0.5942549371633752,0.45454545454545453,-0.13970948261792066,0.6003730536332179,0.5458333333333334,-0.05453972029988452,0.5631215958224208,0.6600529100529101,0.09693131423048928
pairwise,Logistic Regression,0.578125,0.45454545454545453,-0.12357954545454547,0.6152556580050293,0.45454545454545453,-0.16071020345957482,0.6124972967128027,0.4583333333333333,-0.15416396337946942,0.5870830037763775,0.5924452496820918,0.005362245905714325
pairwise,Random Forest,0.5818014705882353,0.5454545454545454,-0.03634692513368987,0.5882352941176471,0.5454545454545454,-0.042780748663101664,0.6323005649870241,0.5666666666666667,-0.06563389832035749,0.6182638872756787,0.671179514929515,0.052915627653836284
pairwise,SVM,0.5863970588235294,0.5909090909090909,0.0045120320855615015,0.6218487394957983,0.5714285714285714,-0.050420168067226934,0.6275140570934257,0.4083333333333333,-0.21918072376009234,0.6070100225534604,0.5002383781795547,-0.10677164437390563
