Feature Set,Classifier,Before Accuracy,After Accuracy,Delta Accuracy,Before Precision,After Precision,Delta Precision,Before Recall,After Recall,Delta Recall,Before F1 Score,After F1 Score,Delta F1 Score,Before ROC AUC,After ROC AUC,Delta ROC AUC,Before PR AUC,After PR AUC,Delta PR AUC,Before False Positive Rate,After False Positive Rate,Delta False Positive Rate,Before False Negative Rate,After False Negative Rate,Delta False Negative Rate
affinity,Gradient Boosting,0.5463728191000918,0.5238970588235294,-0.022475760276562395,0.5536480686695279,0.5261044176706827,-0.02754365099884515,0.4742647058823529,0.48161764705882354,0.007352941176470618,0.5108910891089109,0.5028790786948176,-0.008012010414093274,0.5670112655153804,0.5412825746107266,-0.025728690904653795,0.5594790322902411,0.5545970989062097,-0.004881933384031423,0.381651376146789,0.4338235294117647,0.05217215326497571,0.5257352941176471,0.5183823529411765,-0.007352941176470562
affinity,KNN,0.5215794306703397,0.5183823529411765,-0.0031970777291632224,0.5241090146750524,0.5181159420289855,-0.005993072646066966,0.45955882352941174,0.5257352941176471,0.06617647058823534,0.48971596474045054,0.5218978102189781,0.03218184547852754,0.5310678629249865,0.5395389543685122,0.008471091443525647,0.5150242708654204,0.5241343851427698,0.009110114277349424,0.41651376146788993,0.4889705882352941,0.07245682676740417,0.5404411764705882,0.4742647058823529,-0.06617647058823528
affinity,Logistic Regression,0.5188246097337006,0.5266544117647058,0.00782980203100525,0.5168918918918919,0.5246179966044142,0.00772610471252233,0.5625,0.5680147058823529,0.005514705882352922,0.5387323943661971,0.5454545454545454,0.006722151088348283,0.5372858202914192,0.5531432471885813,0.015857426897162075,0.5461272396480339,0.564197802547701,0.01807056289966713,0.5247706422018349,0.5147058823529411,-0.010064759848893767,0.4375,0.4319852941176471,-0.005514705882352922
affinity,Random Forest,0.5133149678604224,0.5110294117647058,-0.0022855560957165677,0.5130597014925373,0.5111524163568774,-0.001907285135659964,0.5055147058823529,0.5055147058823529,0.0,0.5092592592592593,0.5083179297597042,-0.0009413294995550547,0.5261956961683756,0.5235811121323529,-0.00261458403602266,0.5109135651734291,0.5196728316164978,0.00875926644306868,0.47889908256880737,0.4834558823529412,0.004556799784133814,0.4944852941176471,0.4944852941176471,0.0
affinity,SVM,0.5436179981634527,0.5395220588235294,-0.004095939339923249,0.545631067961165,0.541747572815534,-0.003883495145631022,0.5165441176470589,0.5128676470588235,-0.003676470588235392,0.5306893295561851,0.5269121813031161,-0.0037771482530689626,0.5605015515380465,0.552815473615917,-0.007686077922129497,0.5499143838097785,0.54759048950897,-0.0023238943008084822,0.42935779816513764,0.4338235294117647,0.00446573124662708,0.4834558823529412,0.48713235294117646,0.003676470588235281
pairwise,Gradient Boosting,0.5876951331496786,0.5818014705882353,-0.0058936625614433025,0.5871559633027523,0.5787610619469027,-0.008394901355849638,0.5882352941176471,0.6011029411764706,0.012867647058823484,0.5876951331496786,0.5897204688908927,0.002025335741214107,0.6391948866702645,0.6289670739619377,-0.010227812708326733,0.616694657351087,0.6109932495496123,-0.005701407801474656,0.41284403669724773,0.4375,0.02465596330275227,0.4117647058823529,0.39889705882352944,-0.012867647058823484
pairwise,KNN,0.5968778696051423,0.5845588235294118,-0.012319046075730533,0.5956284153005464,0.5807017543859649,-0.014926660914581502,0.6011029411764706,0.6084558823529411,0.007352941176470562,0.5983531564501372,0.5942549371633752,-0.004098219286762017,0.6254300458715596,0.6003730536332179,-0.02505699223834168,0.5851474516326821,0.5631215958224208,-0.022025855810261286,0.4073394495412844,0.43933823529411764,0.031998785752833214,0.39889705882352944,0.3915441176470588,-0.007352941176470618
pairwise,Logistic Regression,0.5684113865932048,0.578125,0.009713613406795218,0.5591054313099042,0.5654853620955316,0.006379930785627375,0.6433823529411765,0.6746323529411765,0.03125,0.5982905982905983,0.6152556580050293,0.016965059714431074,0.597325283324339,0.6124972967128027,0.015172013388463745,0.5792839191250638,0.5870830037763775,0.007799084651313626,0.5064220183486239,0.5183823529411765,0.011960334592552635,0.35661764705882354,0.32536764705882354,-0.03125
pairwise,Random Forest,0.5840220385674931,0.5818014705882353,-0.002220567979257848,0.5808170515097691,0.5793226381461676,-0.0014944133636015655,0.6011029411764706,0.5974264705882353,-0.003676470588235281,0.5907859078590786,0.5882352941176471,-0.0025506137414315067,0.6321775499190502,0.6323005649870241,0.0001230150679739639,0.6136755474245359,0.6182638872756787,0.00458833985114282,0.43302752293577984,0.4338235294117647,0.0007960064759848784,0.39889705882352944,0.4025735294117647,0.003676470588235281
pairwise,SVM,0.5876951331496786,0.5863970588235294,-0.0012980743261491456,0.5798319327731093,0.5727554179566563,-0.0070765148164529945,0.6341911764705882,0.6801470588235294,0.045955882352941235,0.6057945566286216,0.6218487394957983,0.016054182867176747,0.617620075553157,0.6275140570934257,0.00989398154026866,0.5810962849491005,0.6070100225534604,0.025913737604359888,0.45871559633027525,0.5073529411764706,0.04863734484619531,0.36580882352941174,0.31985294117647056,-0.04595588235294118
