Feature Set,Classifier,Train Rows,Test Rows,Features,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,False Positive Rate,False Negative Rate
topology,Logistic Regression,5816,1454,3,0.796423658872077,0.8221225710014948,0.7565337001375516,0.7879656160458453,0.8677253282222924,0.8596913818766412,0.16368638239339753,0.24346629986244842
topology,Random Forest,5816,1454,3,0.843878954607978,0.852112676056338,0.8321870701513068,0.8420320111343076,0.9151333228640245,0.9190888136027813,0.14442916093535077,0.16781292984869325
topology,Extra Trees,5816,1454,3,0.842503438789546,0.8661764705882353,0.8101788170563962,0.8372423596304194,0.8951864514529948,0.8852687435211677,0.12517193947730398,0.18982118294360384
identity_plus_topology,Logistic Regression,5816,1454,2108,0.7579092159559835,0.760778859527121,0.7524071526822559,0.7565698478561549,0.7928382359340735,0.7638536946114785,0.23658872077028886,0.24759284731774414
identity_plus_topology,Random Forest,5816,1454,2108,0.8645116918844566,0.8514588859416445,0.8830811554332875,0.8669817690749494,0.9303765734708975,0.9341074555369779,0.15405777166437415,0.11691884456671252
identity_plus_topology,Extra Trees,5816,1454,2108,0.8493810178817056,0.8256410256410256,0.8858321870701513,0.8546781685467817,0.9267741221389934,0.9264419103757375,0.18707015130674004,0.11416781292984869
molecular,Logistic Regression,5816,1454,630,0.7297111416781293,0.7250673854447439,0.7400275103163686,0.7324710687542546,0.7893493072281748,0.7591239536147877,0.28060522696011003,0.25997248968363135
molecular,Random Forest,5816,1454,630,0.781292984869326,0.7892503536067893,0.7675378266850069,0.7782426778242678,0.8454644872845198,0.8675588961639489,0.20495185694635487,0.2324621733149931
molecular,Extra Trees,5816,1454,630,0.8418156808803301,0.8627737226277372,0.81292984869326,0.8371104815864022,0.898953510592607,0.9196560610175689,0.12929848693259974,0.18707015130674004
molecular_plus_topology,Logistic Regression,5816,1454,633,0.7971114167812929,0.8008356545961003,0.7909215955983494,0.7958477508650519,0.8643253255734312,0.8507111693760263,0.19669876203576342,0.20907840440165062
molecular_plus_topology,Random Forest,5816,1454,633,0.8404401650618982,0.8451882845188284,0.8335625859697386,0.8393351800554016,0.8999600778765214,0.9179942937341876,0.15268225584594222,0.16643741403026135
molecular_plus_topology,Extra Trees,5816,1454,633,0.8583218707015131,0.8726752503576538,0.8390646492434664,0.8555399719495091,0.9172902527581267,0.9346459647513327,0.12242090784044017,0.1609353507565337
molecular_plus_identity,Logistic Regression,5816,1454,2735,0.7455295735900963,0.7517630465444288,0.7331499312242091,0.7423398328690808,0.7771702215015639,0.742335670846826,0.24209078404401652,0.2668500687757909
molecular_plus_identity,Random Forest,5816,1454,2735,0.765474552957359,0.7658402203856749,0.7647867950481431,0.7653131452167928,0.8294568509958772,0.8512929536292659,0.23383768913342504,0.23521320495185694
molecular_plus_identity,Extra Trees,5816,1454,2735,0.8314993122420908,0.8492753623188406,0.8060522696011004,0.8270995059985886,0.8943227334734707,0.9157859079421236,0.14305364511691884,0.1939477303988996
molecular_plus_identity_plus_topology,Logistic Regression,5816,1454,2738,0.7558459422283357,0.7597765363128491,0.7482806052269602,0.753984753984754,0.7908837547230142,0.7630286513652805,0.23658872077028886,0.2517193947730399
molecular_plus_identity_plus_topology,Random Forest,5816,1454,2738,0.8026134800550206,0.8081232492997199,0.7936726272352133,0.8008327550312283,0.8696334543610662,0.8908018649078355,0.18844566712517194,0.2063273727647868
molecular_plus_identity_plus_topology,Extra Trees,5816,1454,2738,0.8507565337001376,0.8611898016997167,0.8363136176066025,0.848569434752268,0.9071744407591635,0.9265926632507377,0.13480055020632736,0.16368638239339753
