kegg_target,target_uniprots,positive_pair_count
hsa:10060,O60706,1
hsa:10161,B3KVQ5;P43657,1
hsa:1018,Q00526,1
hsa:10279,Q9NQE7,2
hsa:10295,O14874,2
hsa:107,Q08828,3
hsa:10720,O75310,1
hsa:108,Q08462;Q71UM8,1
hsa:10825,Q9UQ49,3
hsa:109,O60266,1
hsa:10941,P0DTE4,1
hsa:111,A0A384P5Q5;B7Z2C7;O95622,1
hsa:112,O43306,1
hsa:11238,Q9Y2D0,10
hsa:11254,B2R8J1;Q9UN76,1
hsa:11280,Q9UI33,1
hsa:113,P51828;Q86YI0,1
hsa:1138,P30532;Q6EWN4,10
hsa:114,A0A0K0K1K3;P40145;Q4F7X0,1
hsa:1140,P11230,1
hsa:1144,Q07001,1
hsa:1145,Q04844,4
hsa:115,O60503,1
hsa:116443,Q8TCU5,7
hsa:116444,O60391;Q5F0I5,3
hsa:116447,E5KMK7;Q969P6,6
hsa:1181,P51788,1
hsa:129807,B3KR54;Q8WWR8,3
hsa:13,P22760,2
hsa:130399,Q8NER5,1
hsa:132160,Q96MI6,2
hsa:133121,Q6UWR7,3
hsa:136,P29275,3
hsa:1363,A0A384N679;P16870,1
hsa:1376,A0A140VK13;P23786,1
hsa:140,P0DMS8,2
hsa:146,P25100,25
hsa:147,P35368,24
hsa:148,P35348,32
hsa:1504,P17538,2
hsa:1549,P20853,19
hsa:155,A8KAG8;P13945,16
hsa:1572,P24903,18
hsa:1573,P51589,18
hsa:1579,Q02928,10
hsa:1580,P13584,18
hsa:1593,Q02318,12
hsa:1594,O15528,13
hsa:169522,Q8TDN2,2
hsa:170572,Q8WXA8,4
hsa:1733,A8K415;P49895,5
hsa:1734,Q92813,5
hsa:1735,P55073;Q86TU3,5
hsa:18,P80404;X5D8S1,2
hsa:1806,Q12882,3
hsa:1816,P21918,8
hsa:1909,P25101,1
hsa:196883,Q8NFM4,1
hsa:1990,Q9UNI1,1
hsa:199974,Q86W10,18
hsa:200909,Q70Z44,4
hsa:2103,A0A2R8Y491,1
hsa:2135,Q9UBQ6,1
hsa:2180,A8K9T3;P33121,1
hsa:222545,Q5T6X5,3
hsa:2232,A0A0A0MT64;P22570,1
hsa:225689,Q8TD08,3
hsa:22843,Q8WY54,2
hsa:22953,A0ACM8Q8Y1;Q32MC3;Q9UBL9,1
hsa:23035,Q6ZVD8,2
hsa:23097,Q9BWU1,1
hsa:23236,Q9NQ66,3
hsa:23239,O60346,2
hsa:2326,B2RCG5;Q01740,2
hsa:2328,A0A024R8Z4;P31513;Q53FW5,3
hsa:23430,Q9BZJ3,2
hsa:23436,P08861,2
hsa:2356,Q05932,1
hsa:23620,O95665,1
hsa:23630,Q9UJ90,2
hsa:23704,Q8WWG9,2
hsa:242,O75342,8
hsa:246,P16050,8
hsa:2555,P47869,16
hsa:2556,P34903,16
hsa:2559,Q16445,16
hsa:2560,P18505;X5DNL6,10
hsa:2564,P78334,10
hsa:2567,Q99928,10
hsa:2569,P24046,10
hsa:2570,P28476,3
hsa:25796,A0A0K0K1K7;O95336,1
hsa:2595,Q8TET4,4
hsa:260293,Q8N118,18
hsa:26251,Q9UJ96,2
hsa:26279,Q9UNK4,1
hsa:2677,P38435,2
hsa:270,P23109,1
hsa:27012,Q6PIU1,2
hsa:27032,P98194,6
hsa:27092,Q9UBN1,9
hsa:27094,Q9NPA1,2
hsa:27115,Q9NP56,21
hsa:27133,Q8NCM2,5
hsa:2822,P80108,3
hsa:284541,Q5TCH4,11
hsa:2846,Q99677,1
hsa:285220,Q9UF33,8
hsa:285242,A5X5Y0,8
hsa:2892,P42263;Q17R51,2
hsa:2893,P48058;Q1WWK6,2
hsa:2899,Q13003,2
hsa:2900,A0A8D9PH79;B2RAP6;Q16099,2
hsa:2901,Q16478,2
hsa:2905,A0A8D9PH81;O15398;Q14957,3
hsa:2906,O15399;Q59G17,3
hsa:2916,O15303,2
hsa:29785,Q96SQ9,18
hsa:29941,Q6P5Z2,1
hsa:3034,P42357,1
hsa:3141,P50747,1
hsa:327,P13798,1
hsa:3283,P14060,1
hsa:3291,P80365,1
hsa:3359,B4E398;P46098,12
hsa:3376,P41252,1
hsa:338442,Q8TDS4,1
hsa:3708,Q14643,9
hsa:3736,Q09470,10
hsa:3737,P16389,5
hsa:3739,P22459,5
hsa:3741,P22460,10
hsa:3742,P17658,2
hsa:3743,Q96RP8,7
hsa:3744,Q16322,4
hsa:3747,Q96PR1,3
hsa:3748,Q14003,2
hsa:3750,Q9NSA2,2
hsa:3754,Q9H3M0,2
hsa:3755,Q86Y85;Q9UIX4,2
hsa:3758,A8K432;P48048,11
hsa:3760,P48549,2
hsa:3762,A0A5J6E2W8;P48544,2
hsa:3763,P48051,9
hsa:3764,Q15842,2
hsa:3766,P78508,2
hsa:3768,Q14500,2
hsa:3769,O60928,2
hsa:3772,Q99712,2
hsa:3773,Q9NPI9,2
hsa:3779,Q16558,2
hsa:3780,Q92952,6
hsa:3782,Q9UGI6,13
hsa:3787,A2RUL8;Q96KK3,2
hsa:3788,Q9ULS6,2
hsa:3790,Q9BQ31,2
hsa:3990,A6H8L5;P11150,2
hsa:3991,A8K8W7;Q05469,1
hsa:4025,P22079,5
hsa:4051,Q08477,11
hsa:4329,A0A024R6G4;Q02252,1
hsa:4482,Q9UJ68,1
hsa:4593,O15146,9
hsa:4758,Q5JQI0;Q99519,3
hsa:4881,A0A140VJE6;P16066,3
hsa:49,P10323,2
hsa:495,A0A384MR29;P20648;Q658V6,2
hsa:50,Q99798,1
hsa:5023,P51575,1
hsa:5025,Q99571,1
hsa:5026,Q93086,1
hsa:5027,Q99572,1
hsa:5029,P41231,1
hsa:5030,P51582,1
hsa:5031,Q15077,1
hsa:5032,Q96G91,1
hsa:50487,Q9NZ20,1
hsa:5050,A0A024R0L6;Q15102,1
hsa:5051,Q99487,1
hsa:50940,Q9HCR9,17
hsa:5096,P05166,4
hsa:51,Q15067,5
hsa:51004,Q9Y2Z9,10
hsa:51172,Q9UK23,3
hsa:5122,P29120,2
hsa:5126,P16519,2
hsa:513,P30049,6
hsa:51302,Q9NYL5,10
hsa:5136,P54750,20
hsa:51365,Q53H76,1
hsa:5137,Q14123,20
hsa:5145,P16499,3
hsa:5149,Q13956,20
hsa:5158,P35913,3
hsa:51601,Q9Y234,1
hsa:5167,P22413,5
hsa:51802,Q9NY37,9
hsa:53,P11117,1
hsa:5322,P39877,1
hsa:5332,Q15147,3
hsa:5333,A0A384MR47;A8K8F9;P51178,3
hsa:5351,Q02809,1
hsa:5444,P27169,1
hsa:5445,Q15165,1
hsa:54490,Q9BY64,1
hsa:54575,Q5DT02;Q9HAW8,1
hsa:54576,Q5DSZ6;Q9HAW9,1
hsa:54577,Q5DSZ7;Q9HAW7,1
hsa:54578,P19224;Q5DSZ8,1
hsa:54579,P35504;Q5DSZ9,1
hsa:54600,O60656;Q5DSZ5,1
hsa:54657,P22310,1
hsa:54658,P22309;Q5DT03,1
hsa:54659,P35503;Q5DT01,1
hsa:54677,Q9UKG9,1
hsa:5470,O14830,2
hsa:5475,O14829,2
hsa:5481,E5KN55;Q08752,1
hsa:5496,O15355;Q6IAU5,2
hsa:5500,P62140;V9HW04,2
hsa:5516,A0A140VJS0;P62714,2
hsa:5531,A0A024R625;P60510,2
hsa:55359,Q6J9G0,1
hsa:5537,A0A024R861;O00743,2
hsa:55515,A0A8I5KPF5,9
hsa:55799,Q8IZS8,9
hsa:55879,Q9UN88,10
hsa:55902,Q6DKJ3;Q9NR19,1
hsa:5596,P31152,3
hsa:5606,P46734;Q6FI23,1
hsa:5625,O43272,1
hsa:56413,B4E292;Q9NPC1,1
hsa:5645,P07478;Q5NV56;Q6PK75,2
hsa:56659,Q9HB14,3
hsa:56660,Q9HB15,1
hsa:57053,Q9GZZ6,14
hsa:57105,A4ZKH2;Q5KU17;Q9NS75,2
hsa:57176,A0A0G2JH62;B4DG77;B4E0K6;Q5ST30,1
hsa:5724,P25105,1
hsa:5729,Q13258,1
hsa:5731,P34995,4
hsa:5737,P43088,3
hsa:5739,P43119,4
hsa:57657,Q9P1Z3,2
hsa:57665,Q53RX3;Q9HBH5,1
hsa:59284,P62955,9
hsa:59340,Q9H3N8,6
hsa:60598,Q9H427,2
hsa:6096,A0A1L4FMK7;Q92753,2
hsa:63036,P08217,2
hsa:6334,Q6B4S4;Q9UQD0,23
hsa:6339,P51172,9
hsa:63904,Q9H596,2
hsa:64087,A0A140VK29;Q9HCC0,1
hsa:64600,Q9BZM2,1
hsa:64816,Q9HB55,18
hsa:64902,Q9BYV1,1
hsa:6530,P23975,10
hsa:6531,Q01959,4
hsa:6534,Q99884,1
hsa:6610,O60906,3
hsa:6725,Q9H3Y6,1
hsa:6751,P30872;Q86SW9,1
hsa:6753,P32745,1
hsa:6755,P35346,1
hsa:686,P43251,1
hsa:6915,P21731;Q05C92;Q0VAB0,2
hsa:7084,O00142;Q8IZR3,1
hsa:7173,P07202;Q502Y3;Q6P534,2
hsa:7174,P29144,2
hsa:7363,P06133,1
hsa:7365,P36537,1
hsa:7367,O75795,1
hsa:763,P35218,10
hsa:778,O60840,17
hsa:783,Q08289,11
hsa:786,Q06432,13
hsa:7881,Q14722,2
hsa:79799,Q6UWM9,1
hsa:80339,Q9NST1,2
hsa:81033,B4DKC0;Q9H252,3
hsa:81579,Q542Y6;Q9BZM1,1
hsa:8288,P11678,5
hsa:83795,Q96T55,4
hsa:8398,O60733,1
hsa:84152,B3KVQ9;Q9UD71,2
hsa:84171,Q96JB6,1
hsa:84618,Q9BXI3,1
hsa:84695,P58215,1
hsa:84812,Q9BRC7,3
hsa:8529,P78329,11
hsa:85313,Q8WUA2,1
hsa:8556,Q59EF4;Q9UNH5,2
hsa:8558,B7Z537;Q15131,1
hsa:8622,B3KN77;O95263,20
hsa:8645,O95279,17
hsa:8843,P49019,4
hsa:8912,B3KQH9;O95180,15
hsa:8973,Q15825,14
hsa:89822,Q96T54,2
hsa:90134,Q9NS40,3
hsa:9023,O95992,11
hsa:9052,Q8NFJ5,1
hsa:9127,O15547,1
hsa:9177,O95264,8
hsa:9254,Q9NY47,9
hsa:9283,O60883,1
hsa:93107,Q32MC1;Q547S7;Q8TDN1,2
hsa:9311,Q9UHC3,9
hsa:9312,Q92953,5
hsa:93589,Q7Z3S7,11
hsa:93650,Q9BZG2,1
hsa:9388,Q9Y5X9,2
hsa:9420,O75881;Q05C57,10
hsa:9424,B2RDS2;Q9Y257,5
hsa:9563,O95479,1
hsa:9641,Q14164,1
hsa:9647,P49593,2
