uniprot_id,top_hit_count,example_cids,example_affinities
P15328,30,11065;151166;20179;216322;2482;2554;2662;2803,-11.8326;-10.6575;-7.9979;-17.1419;-8.1109;-12.4015;-11.6103;-8.059
Q9UGL1,23,135398745;135409453;151170;156391;208910;2118;2161;2249,-10.905;-9.82;-10.6171;-10.4689;-10.0033;-11.5006;-12.2382;-8.9523
P21589,21,107706;2179;3025;3105;31477;3386;3759;4235,-11.3441;-12.8856;-10.4356;-9.7231;-8.953;-10.6254;-9.9851;-8.9711
P17516,11,10660;122142;41022;41693;5265;5311035;53232;5342,-14.3227;-9.9758;-11.2424;-9.9091;-11.9663;-9.4287;-11.1375;-11.9362
Q8N335,11,11224;160024;1775;2343;3308;3395;441278;4909,-10.0698;-10.6472;-10.9523;-11.0687;-10.455;-11.2272;-10.6835;-9.5541
Q16819,11,13290219;15895902;16759173;16760658;23663959;23667301;23669229;23675769,-2.1455;-2.1455;-2.1455;-2.1455;-2.1455;-2.1455;-2.1455;-2.1455
P0DPD7,11,135398641;135413520;1983;2405;3748;4171;5468;5807,-9.6299;-12.4838;-7.9058;-8.7375;-7.715;-8.5445;-10.2937;-8.4546
P50225,10,104741;3100;4237;4659569;4763;4781;5280483;5583,-11.6074;-9.1673;-10.8452;-10.8593;-9.8978;-10.7942;-11.3958;-10.2014
O14744,10,108173;122824;157838;34312;4044;444030;4888;5463984,-8.2552;-10.5178;-12.2622;-11.1575;-10.448;-12.3658;-11.7268;-11.4957
P09086,9,123596;132228;135398735;166558;24244;55245;5720;68551,-13.897;-13.3488;-12.6521;-10.986;-12.7772;-11.6333;-11.1906;-11.3428
P00323,9,123631;157920;3559;4168;5311221;60790;6420040;876,-11.6043;-10.46;-11.4836;-9.2404;-10.6262;-11.0545;-8.6931;-5.5054
Q9Y2T5,9,123631;157920;3559;4168;5311221;60790;6420040;876,-11.6043;-10.46;-11.4836;-9.2404;-10.6262;-11.0545;-8.6931;-5.5054
Q16678,8,10649;2337;2519;3715;4055;4114;4943;5284566,-11.6907;-7.4777;-7.9814;-11.5374;-9.9549;-10.1071;-8.8369;-10.8646
P21695,8,107994;135400182;1548887;15851;3032285;33630;3475;59694,-12.5304;-11.7475;-12.6132;-8.8575;-8.7998;-13.5791;-11.058;-10.4841
O75908,8,13109;247839;4595;5757;5870;5994;8955;9270,-11.8161;-12.0408;-10.9104;-11.809;-12.2264;-12.3963;-12.3121;-12.1219
O95568,8,27072;34521;3762;4100;5147;62882;66068;89594,-9.5673;-9.6198;-8.4856;-7.9464;-8.0006;-11.3741;-8.2144;-7.4442
P0ABE7,7,150311;2375;2520;2726;3394;3672;4189,-12.6964;-11.5883;-9.9907;-9.3019;-11.0402;-9.1671;-10.6269
P17752,7,1547484;204101;3749;4192;444031;48040;60699,-12.3815;-13.0262;-12.0649;-12.066;-12.6699;-11.3233;-11.904
Q7Z5W3,7,2266;243;338;4075;52542;564;938,-7.1998;-7.8019;-7.7823;-8.2959;-11.1176;-6.1508;-7.1351
O94760,7,23724780;358641;3784;4485;59774;65889;66383,-13.9474;-13.8837;-9.6323;-8.7362;-11.7691;-11.8488;-13.1278
Q14994,7,3016;31640;3608;5360515;6420042;9651;9795678,-10.9027;-11.1827;-9.4013;-10.9719;-13.9814;-10.5775;-10.6905
Q9BXT4,6,10429215;10547;11693;441351;657201;7550,-1.7929;-1.6659;-1.7929;-1.7929;-1.7929;-1.7927
P51857,6,115366;159324;23663992;5282421;54892;66062,-11.5504;-12.816;-10.6078;-12.6366;-11.9994;-11.2111
O95714,6,11954253;11954363;156665;185462;64119;6918034,-2.5668;-2.5668;-2.5668;-2.5668;-2.5668;-2.5668
O75897,6,121586;124886;171548;27522;3365;6049,-9.4808;-8.2545;-8.1824;-10.149;-10.8757;-8.185
Q02127,6,126941;135398658;23678981;5311309;5505;71329,-11.879;-11.5051;-13.2987;-10.8768;-9.1929;-10.5695
P54289,6,145742;3284;54686350;5852;6306;936,-6.0859;-7.9399;-10.7902;-5.7559;-6.4567;-6.9158
P14920,6,176871;4020;4634;5965;6918078;71764,-10.1011;-10.4553;-9.7531;-10.3659;-10.2483;-10.5361
Q9H3R0,5,119607;2187;53359;5746;66259,-11.5722;-11.0057;-10.3441;-9.9855;-9.4392
P00720,5,121587;3397;4066;5284627;54746,-10.4136;-10.1567;-10.7695;-9.557;-10.8862
P51580,5,129791;135403648;5284472;60824;6256,-10.7464;-11.4358;-11.3929;-9.5435;-9.9184
O75751,5,13769;60198;6446;656583;9878,-12.4548;-12.6038;-12.0772;-11.7546;-11.8873
P05177,5,157313;39147;5282375;62969;9373,-12.3274;-9.4654;-11.0456;-10.5682;-8.3021
D9IEF7,5,159271;2170;37274;5070;5284603,-10.9718;-10.7301;-10.218;-8.5246;-10.1747
P50226,5,1978;5702160;6314;6444692;6883,-9.5827;-9.0958;-8.2456;-11.9698;-9.0739
Q8WXI4,5,1989;4493;4740;9034;9859832,-10.5605;-10.5016;-8.9879;-9.5014;-10.1039
P29375,5,2284;34632;4616;4771;65329,-8.5597;-11.3615;-11.6054;-8.6108;-12.7195
Q9UJM8,5,3038;5284583;5905;6083;68844,-8.6848;-7.4159;-9.076;-10.1691;-8.5066
P07101,5,441313;4507;4940;5452;667467,-10.184;-9.2175;-9.9454;-10.0868;-10.2189
P11086,5,441348;517321;5359;60490;60857,-7.8922;-8.6182;-9.6452;-10.2221;-10.2359
P12104,4,135398737;190816;3019;3488,-11.2634;-12.5619;-8.839;-12.4321
P20393,4,1549008;21467;4158;656664,-11.5646;-8.1824;-9.9741;-10.5219
P11245,4,1549120;1613;3964;71177,-10.5217;-12.1805;-11.2148;-11.7312
Q5TAX3,4,189729;3957;54676228;54677470,-10.072;-11.7604;-10.9997;-10.7045
P35398,4,2157;2176;5833;6279,-9.9547;-10.5474;-11.3815;-11.4886
Q9UNN8,4,2247;229455;5090;5280793,-12.6559;-13.7358;-11.1496;-13.0346
P42330,4,22502;31101;63030;6420009,-13.9696;-14.1911;-14.4712;-13.5936
O43704,4,2756;2973;5910;66070,-8.3489;-9.5089;-8.3115;-9.2484
Q8NE35,4,3151;5281074;5282183;5493444,-79.1645;-79.2961;-34.2469;-38.2458
P15121,4,3292;37542;5816;60750,-9.2585;-8.7578;-7.7036;-9.2349
P35228,4,3702;38945;4906;5440,-11.4428;-8.3106;-8.755;-10.1352
O60825,4,41774;47576;5282474;54690031,-11.2605;-12.4527;-12.0183;-10.2902
P04798,4,43815;441325;62770;65348,-11.2883;-10.4437;-13.0919;-12.6416
Q7KZF4,3,107979;5831;8307,-1.6634;-1.6634;-1.6635
O95399,3,119442;60795;6850814,-55.0396;-29.1498;-19.3352
O95136,3,119828;3055;68553,-11.2485;-10.5663;-12.8066
P55055,3,123619;60953;6918003,-11.1521;-9.7933;-11.976
P14207,3,133264;3440;5983,-9.427;-9.4721;-9.9794
O14653,3,135462830;2724385;78000,-17.4653;-71.8399;-59.9689
P08912,3,159271;2170;5284603,-10.9718;-10.7301;-10.1747
P09960,3,2097;4201;636399,-8.9278;-8.8093;-8.9781
P21397,3,2145;5073;9570076,-9.6708;-12.9915;-10.2941
P31639,3,2329;5362129;59772,-11.6991;-10.44;-10.9855
Q13133,3,2381;5282379;71793,-10.7228;-10.8821;-9.835
P00268,3,2726;4189;4823,-9.3019;-10.6269;-12.3564
Q86TU7,3,2789;60781;71320,-10.6502;-11.8791;-9.1437
P17066,3,3033824;444020;5815,-8.5679;-8.5739;-11.7772
Q9NPB1,3,3114;5281037;6230,-9.8225;-10.3507;-11.5383
Q9Y6Y0,3,3639;4121;439693,-9.3739;-9.4025;-9.1802
P0AEY0,3,40973;5282381;91430,-11.7288;-8.967;-12.3531
P35610,3,444795;65999;68304,-11.1852;-13.8694;-9.4089
Q86Y34,3,4497;65494;9642,-9.6123;-13.9176;-12.0089
Q99720,3,5280453;5280795;5311071,-11.4738;-12.3736;-13.1277
P30281,3,5360696;5853;656652,-10.3115;-6.2489;-11.114
P16401,2,10457278;5893,-111.587;-39.9737
P52848,2,110635;4078,-13.2885;-10.8576
P00736,2,1174;3385,-6.404;-6.8519
P49888,2,135398513;2479,-8.0072;-8.4272
P38646,2,135398740;135398748,-8.4421;-8.5572
P36897,2,135401907;65327,-7.3385;-10.4786
P28223,2,150311;2520,-12.6964;-9.9907
Q9P270,2,151114;23724775,-16.9865;-235.299
Q9V2J8,2,16078;3899,-11.1799;-10.3299
P21554,2,16078;3899,-11.1799;-10.3299
Q9UGM6,2,16362;5280954,-13.7556;-12.2264
Q9BVM4,2,163727;2733,-8.1746;-7.9102
P63252,2,170321;3333,-59.3413;-11.5912
P04040,2,20279;5312125,-9.2705;-10.8629
Q9P2T1,2,2153;3182,-7.8018;-8.7537
Q95460,2,2244;441358,-8.3723;-11.8944
O00622,2,2585;6450551,-13.9119;-16.9345
P02768,2,259331;5878,-11.2837;-11.8686
Q9P2K8,2,26757;4754,-8.6711;-7.7056
P48449,2,26758;3339,-8.4815;-11.2527
P49286,2,2726;4189,-9.3019;-10.6269
Q8N6T7,2,27661;5281081,-8.2478;-10.2168
P34931,2,3001055;44093,-7.9842;-7.5643
P27338,2,3033637;4679,-7.573;-10.2327
Q04828,2,3033702;5741,-10.3149;-11.8406
Q9UGB7,2,3052775;5936,-10.7299;-6.5431
P00395,2,3058754;5663,-10.9171;-11.9102
P0DMM9,2,30751;3324,-10.49;-9.7148
P52597,2,3086651;5282469,-57.5654;-23.2576
Q00722,2,3117;3291,-5.9264;-7.2164
Q96SW2,2,3226;4116,-6.4812;-5.5355
O60218,2,3331;5362376,-8.8873;-10.5304
