reranked_rank_1_based,pubchem_cid,ligand_title,uniprot_id,known_target_yamanishi,known_target_bindingdb,known_target_any_supported,hit_value_score,affinity,raw_affinity_rank_1_based,rank_percentile,reverse_rank_percentile,affinity_zscore_within_ligand,affinity_robust_zscore_within_ligand,affinity_gap_to_next_weaker,affinity_gap_to_previous_stronger,total_ranked_uniprots
1,1794427,ChlorogenicAcid,P35354,0,0,0,0.9599655179118932,-8.8413,467,0.06204331074797396,0.9380895443071608,-1.4328106864926287,-2.4663132933463534,0.00019999999999953388,0.000600000000000378,7527
2,1794427,ChlorogenicAcid,P07550,0,0,0,0.9448371958268064,-9.1398,252,0.03347947389398167,0.9666533811611532,-1.6777336536223195,-2.8826893569535494,0.0,0.0,7527
3,1794427,ChlorogenicAcid,P33261,0,0,0,0.887125944588252,-8.3892,1027,0.13644214162348878,0.863690713431646,-1.0618570066288644,-1.8356814060538442,0.0001000000000015433,9.999999999976694e-05,7527
4,1794427,ChlorogenicAcid,P23219,0,0,0,0.8120644610877328,-8.5769,776,0.10309552278464196,0.8970373322704929,-1.2158671939998629,-2.097503138513043,0.0009999999999994458,0.0005000000000006111,7527
5,1794427,ChlorogenicAcid,P06276,0,0,0,0.7986577159814783,-8.5883,759,0.10083698684734954,0.8992958682077853,-1.2252210359605948,-2.1134049379271875,0.0,9.999999999976694e-05,7527
6,1794427,ChlorogenicAcid,P08684,0,0,0,0.7816014804869158,-8.685,638,0.08476152517603294,0.9153713298791019,-1.3045645901362775,-2.2482912540103235,0.0005000000000006111,0.0017999999999993577,7527
7,1794427,ChlorogenicAcid,P10635,0,0,0,0.7302015670313446,-9.4328,126,0.016739736946990835,0.983393118108144,-1.9181438022621853,-3.291393499790767,0.001800000000001134,0.0031999999999996476,7527
8,1794427,ChlorogenicAcid,P04798,0,0,0,0.716484585795588,-8.7895,525,0.06974890394579514,0.9303839511093397,-1.390308141442987,-2.3940577486399786,0.000600000000000378,0.0002999999999993008,7527
9,1794427,ChlorogenicAcid,P14867,0,0,0,0.7089039736476146,-6.9362,4167,0.5536070147469111,0.44652584030822373,0.1303475871381113,0.19110057190682048,0.00010000000000065512,0.00019999999999953388,7527
10,1794427,ChlorogenicAcid,P10632,0,0,0,0.6941514766210612,-9.5008,103,0.013684070678889331,0.9864487843762455,-1.9739386490454984,-3.386246338401451,0.0015999999999998238,0.00420000000000087,7527
11,1794427,ChlorogenicAcid,P05177,0,0,0,0.6858393672865511,-9.5237,94,0.0124883751826757,0.9876444798724592,-1.9927283842122319,-3.4181894266982846,0.002000000000000668,0.010899999999999466,7527
12,1794427,ChlorogenicAcid,P31644,0,0,0,0.5723356996596816,-7.2256,3371,0.4478543908595722,0.5522784641955627,-0.1071087166720486,-0.21258195006277042,0.0,0.00039999999999995595,7527
13,1794427,ChlorogenicAcid,P48169,0,0,0,0.5571507716980901,-7.1398,3579,0.47548824232762055,0.5246446127275143,-0.036708748230750356,-0.09289998605105346,0.0004999999999997229,9.999999999976694e-05,7527
14,1794427,ChlorogenicAcid,P11509,0,0,0,0.5546297134548702,-8.9939,344,0.04570213896638767,0.9544307160887472,-1.558020886774005,-2.6791742223462136,0.0007999999999999119,0.0002999999999993008,7527
15,1794427,ChlorogenicAcid,P20815,0,0,0,0.5458267970151169,-8.5901,753,0.10003985651654046,0.9000929985385944,-1.226697958375447,-2.1159157483609987,0.00039999999999906777,0.0005000000000006111,7527
16,1794427,ChlorogenicAcid,Q16696,0,0,0,0.5403325161456917,-8.8295,481,0.06390328151986183,0.936229573535273,-1.4231286395508176,-2.4498535360580274,9.999999999976694e-05,0.0,7527
17,1794427,ChlorogenicAcid,Q16678,0,0,0,0.4781650129018031,-8.8991,415,0.055134847880961874,0.9449980071741729,-1.4802363062584452,-2.546938206165436,0.0007999999999999119,0.005300000000000082,7527
18,1794427,ChlorogenicAcid,P51168,0,0,0,0.44162200498547827,-7.5306,2631,0.34954165005978477,0.6505912049953501,-0.3573650147442628,-0.6380248291254009,0.00019999999999953388,0.00140000000000029,7527
19,1794427,ChlorogenicAcid,P24462,0,0,0,0.44098355219188384,-8.2854,1202,0.15969177627208717,0.8404410787830476,-0.9766878140390408,-1.6908913377040027,0.0025999999999992696,0.0004000000000008441,7527
20,1794427,ChlorogenicAcid,P03372,0,0,0,0.4408482182569477,-8.3653,1065,0.141490633718613,0.8586422213365219,-1.0422467590094342,-1.8023434230715578,0.0004999999999988347,0.0005000000000006111,7527
21,1794427,ChlorogenicAcid,Q16850,0,0,0,0.3921994358028448,-8.2177,1285,0.17071874584827954,0.8294141092068553,-0.9211391209915374,-1.596456967498955,0.0001000000000015433,0.0016999999999995907,7527
22,1794427,ChlorogenicAcid,P08588,0,0,0,0.3742429688018351,-8.8774,438,0.05819051414906337,0.9419423409060714,-1.462431186034946,-2.5166689914911426,0.0,0.0,7527
23,1794427,ChlorogenicAcid,P05181,0,0,0,0.36789659528960017,-8.1972,1329,0.17656436827421285,0.823568486780922,-0.9043186157112736,-1.5678616264472043,0.0022999999999999687,9.999999999976694e-05,7527
24,1794427,ChlorogenicAcid,P20309,0,0,0,0.3582915440900823,-7.255,3297,0.4380231167795935,0.5621097382755413,-0.13123178278130457,-0.25359185381503696,0.00140000000000029,0.000300000000000189,7527
25,1794427,ChlorogenicAcid,Q16790,0,0,0,0.32781830513633947,-8.0186,1630,0.21655373986980206,0.7835791151853329,-0.7577750916598055,-1.3187334356256095,0.00039999999999906777,0.0004000000000008441,7527
26,1794427,ChlorogenicAcid,P20813,0,0,0,0.3272792587203913,-8.2501,1234,0.16394313803640229,0.8361897170187326,-0.9477237244588801,-1.6416515553075743,0.0015999999999998238,0.004699999999999704,7527
27,1794427,ChlorogenicAcid,O76074,0,0,0,0.3040943232740543,-8.6948,628,0.08343297462468446,0.9166998804304504,-1.3126056121726963,-2.261961221927746,0.0,9.999999999976694e-05,7527
28,1794427,ChlorogenicAcid,P27338,0,0,0,0.2826034251092835,-9.6709,60,0.007971303308090873,0.992161551747044,-2.1135078172490513,-3.623517924396708,0.0037000000000002586,0.000600000000000378,7527
29,1794427,ChlorogenicAcid,P11229,0,0,0,0.27760600823295156,-8.2616,1225,0.16274744254018866,0.8373854125149462,-0.9571596176648814,-1.6576928441902634,0.0,0.0003000000000010772,7527
30,1794427,ChlorogenicAcid,Q13946,0,0,0,0.2775008933452028,-9.0983,272,0.036136574996678626,0.9639962800584563,-1.643682386835445,-2.824801227507324,0.0005000000000006111,0.00140000000000029,7527
31,1794427,ChlorogenicAcid,P09917,0,0,0,0.2641540605985145,-8.2386,1252,0.16633452902882956,0.8337983260263053,-0.9382878312528786,-1.6256102664248853,0.0008999999999996788,0.0015999999999998238,7527
32,1794427,ChlorogenicAcid,Q9Y6A2,0,0,0,0.2504066689196414,-8.4417,958,0.12727514281918428,0.8728577122359505,-1.1049339103953935,-1.908913377040035,0.00020000000000131024,0.0010999999999992127,7527
33,1794427,ChlorogenicAcid,O00555,0,0,0,0.2419268495622988,-5.373,7022,0.9329081971569019,0.06722465789823306,1.4129726531921625,2.371599944204213,0.0,0.0030000000000001137,7527
34,1794427,ChlorogenicAcid,P05093,0,0,0,0.23830667722270024,-8.3129,1159,0.15397900890128868,0.8461538461538461,-0.9992519064881763,-1.7292509415539143,0.000600000000000378,0.0014999999999982805,7527
35,1794427,ChlorogenicAcid,P08172,0,0,0,0.23674120928182407,-8.5525,811,0.10774544971436163,0.8923874053407732,-1.1958466901540858,-2.0634677081880324,0.0,0.0009999999999994458,7527
36,1794427,ChlorogenicAcid,Q02641,0,0,0,0.22447408301004887,-7.1191,3636,0.4830609804703069,0.517071874584828,-0.019724140459947838,-0.06402566606221301,0.00010000000000065512,9.999999999976694e-05,7527
37,1794427,ChlorogenicAcid,O43924,0,0,0,0.22107220805584205,-7.5706,2547,0.33838182542845757,0.6617510296266773,-0.3901855128520942,-0.6938206165434508,0.0,0.00039999999999995595,7527
38,1794427,ChlorogenicAcid,Q01118,0,0,0,0.2193576329759076,-8.1399,1425,0.18931845356715823,0.8108144014879766,-0.8573032521718054,-1.487934160970848,0.001300000000000523,9.999999999976694e-05,7527
39,1794427,ChlorogenicAcid,P05108,0,0,0,0.2156868333239894,-8.3238,1144,0.15198618307426598,0.8481466719808689,-1.0081954922225598,-1.7444552936253321,9.999999999976694e-05,0.00039999999999906777,7527
40,1794427,ChlorogenicAcid,P21397,0,0,0,0.1985603898809908,-9.7629,42,0.005579912315663611,0.9945529427394713,-2.188994962897064,-3.751848235458224,0.0058000000000006935,0.006199999999999761,7527
41,1794427,ChlorogenicAcid,P09960,0,0,0,0.19308201013073337,-8.805,503,0.06682609273282848,0.9333067623223064,-1.403026084459771,-2.415678616264472,9.999999999976694e-05,0.0031999999999996476,7527
42,1794427,ChlorogenicAcid,P17735,0,0,0,0.19234695944193161,-7.1358,3591,0.47708250298923877,0.5230503520658961,-0.03342669841996685,-0.08732040730924784,9.999999999976694e-05,0.00039999999999995595,7527
43,1794427,ChlorogenicAcid,P00374,0,0,0,0.18805671322884177,-8.3369,1118,0.14853195164075994,0.8516009034143749,-1.0189442053528743,-1.762728414004743,0.000600000000000378,0.0002999999999993008,7527
44,1794427,ChlorogenicAcid,P19099,0,0,0,0.17639465096068063,-9.1721,223,0.029626677295071076,0.9705061777600638,-1.7042362058443943,-2.9277444552936265,0.00019999999999953388,0.0,7527
45,1794427,ChlorogenicAcid,P10275,0,0,0,0.16772722460797973,-7.3663,3035,0.40321509233426334,0.5969177627208715,-0.2225548187663454,-0.4088436323057609,9.999999999976694e-05,0.0004999999999997229,7527
46,1794427,ChlorogenicAcid,P08912,0,0,0,0.15442785350194801,-8.7963,515,0.06842035339444666,0.9317125016606882,-1.3958876261213184,-2.403543032501047,0.001200000000000756,0.00039999999999906777,7527
47,1794427,ChlorogenicAcid,P54284,0,0,0,0.15126666773096212,-7.5237,2647,0.35166733094194236,0.6484655241131925,-0.35170347882066194,-0.6284000557957874,0.00039999999999995595,9.999999999976694e-05,7527
48,1794427,ChlorogenicAcid,Q14524,0,0,0,0.14109868946725698,-8.5248,838,0.11133253620300253,0.8888003188521323,-1.1731184952144131,-2.024829125401034,0.0005000000000006111,0.0,7527
49,1794427,ChlorogenicAcid,O15554,0,0,0,0.13512192242239568,-7.1102,3664,0.48678092201408263,0.5133519330410522,-0.012421579630954879,-0.051611103361696095,0.0004999999999997229,0.0,7527
50,1794427,ChlorogenicAcid,P06401,0,0,0,0.13207335283210403,-8.1618,1389,0.18453567158230372,0.8155971834728312,-0.875272474885842,-1.5184823545822288,0.00019999999999953388,0.001100000000000989,7527
51,1794427,ChlorogenicAcid,P08173,0,0,0,0.12898292078588092,-8.6426,688,0.09140427793277534,0.9087285771223595,-1.2697748621419758,-2.1891477193471895,0.000600000000000378,0.00019999999999953388,7527
52,1794427,ChlorogenicAcid,P35610,0,0,0,0.1283229840726961,-8.7949,517,0.06868606350471636,0.9314467915504185,-1.3947389086875441,-2.401590179941415,0.0005000000000006111,0.00019999999999953388,7527
